
"1991 census - small area statistics"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Analysis   :","standard"
"Date       :","1991"

"enumeration districts","mnemonic","S12:1 (All ages : Total persons )","S12:4 (0 - 15 : Total persons )","S12:7 (16 - 29 : Total persons )","S12:10 (30 - 44 : Total persons )","S12:13 (45 - 59 : Total persons )","S12:16 (60 - 64 : Total persons )","S12:19 (65 - 74 : Total persons )","S12:22 (75 & over : Total persons )"

"CNFA01 (Acock's Green)",59174,107,7,5,10,32,10,24,19
"CNFA02 (Acock's Green)",59175,82,9,5,7,11,8,26,16
"CNFA03 (Acock's Green)",59176,66,7,7,8,12,7,11,14
"CNFA04 (Acock's Green)",59177,64,8,4,8,11,4,11,18
"CNFA05 (Acock's Green)",59178,92,4,11,14,6,7,21,29
"CNFA06 (Acock's Green)",59179,110,8,10,12,19,13,28,20
"CNFA07 (Acock's Green)",59180,70,7,4,4,16,10,16,13
"CNFA08 (Acock's Green)",59181,68,4,2,7,16,8,23,8
"CNFA09 (Acock's Green)",59182,70,1,3,5,12,6,16,27
"CNFA10 (Acock's Green)",59183,105,4,6,6,24,6,27,32
"CNFA11 (Acock's Green)",59184,76,9,4,11,14,10,18,10
"CNFA12 (Acock's Green)",59185,52,1,8,8,11,3,12,9
"CNFA13 (Acock's Green)",59186,34,3,0,2,9,1,11,8
"CNFA14 (Acock's Green)",59187,73,3,6,12,15,4,11,22
"CNFA15 (Acock's Green)",59188,47,2,1,3,12,7,14,8
"CNFA16 (Acock's Green)",59189,48,2,2,5,7,5,9,18
"CNFA17 (Acock's Green)",59190,71,3,1,8,11,9,19,20
"CNFA18 (Acock's Green)",59191,82,3,4,4,14,17,28,12
"CNFA19 (Acock's Green)",59192,78,2,8,3,15,7,20,23
"CNFA20 (Acock's Green)",59193,81,3,6,6,14,12,21,19
"CNFA21 (Acock's Green)",59194,51,0,0,2,13,14,11,11
"CNFA22 (Acock's Green)",59195,87,0,0,2,9,10,29,37
"CNFA23 (Acock's Green)",59196,32,2,8,5,9,0,2,6
"CNFA24 (Acock's Green)",59197,56,3,2,3,6,4,16,22
"CNFA25 (Acock's Green)",59198,56,2,2,6,13,7,13,13
"CNFA26 (Acock's Green)",59199,62,4,3,5,12,5,18,15
"CNFA27 (Acock's Green)",59200,102,3,10,11,19,9,31,19
"CNFA28 (Acock's Green)",59201,68,2,5,3,14,11,19,14
"CNFA29 (Acock's Green)",59202,82,1,7,4,14,10,32,14
"CNFA30 (Acock's Green)",59203,36,0,1,5,7,6,5,12
"CNFA31 (Acock's Green)",59204,72,3,2,4,12,4,17,30
"CNFA32 (Acock's Green)",59205,56,0,0,3,16,8,12,17
"CNFA33 (Acock's Green)",59206,47,1,1,3,12,3,12,15
"CNFA34 (Acock's Green)",59207,54,3,0,6,7,5,17,16
"CNFA35 (Acock's Green)",59208,83,2,1,5,14,6,27,28
"CNFA37 (Acock's Green)",59209,91,5,6,8,16,12,10,34
