
"1991 census - small area statistics"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Analysis   :","standard"
"Date       :","1991"

"enumeration districts","mnemonic","S12:1 (All ages : Total persons )","S12:4 (0 - 15 : Total persons )","S12:7 (16 - 29 : Total persons )","S12:10 (30 - 44 : Total persons )","S12:13 (45 - 59 : Total persons )","S12:16 (60 - 64 : Total persons )","S12:19 (65 - 74 : Total persons )","S12:22 (75 & over : Total persons )","S84:1 (All persons aged 18 and over : Total persons )","S84:7 (Level a (higher degree) : Total persons )","S84:10 (Level b (degree) : Total persons )","S84:13 (Level c (diploma etc.) : Total persons )","S84:28 (All persons qualified at level a, b or c aged 18 up to pensionable age : Total persons )","S84:31 (Employee(s) or self-employed qualified at level a, b or c aged 18 up to pensionable age : Total persons )","S84:37 (Unemployed qualified at level a, b or c aged 18 up to pensionable age : Total persons )"

"CNFA01 (Acock's Green)",59174,107,7,5,10,32,10,24,19,46,0,0,0,0,0,0
"CNFA02 (Acock's Green)",59175,82,9,5,7,11,8,26,16,30,0,0,1,1,1,0
"CNFA03 (Acock's Green)",59176,66,7,7,8,12,7,11,14,43,0,0,1,1,0,0
"CNFA04 (Acock's Green)",59177,64,8,4,8,11,4,11,18,36,0,0,1,1,0,0
"CNFA05 (Acock's Green)",59178,92,4,11,14,6,7,21,29,38,0,1,0,1,1,0
"CNFA06 (Acock's Green)",59179,110,8,10,12,19,13,28,20,51,0,0,3,3,2,0
"CNFA07 (Acock's Green)",59180,70,7,4,4,16,10,16,13,36,0,0,0,0,0,0
"CNFA08 (Acock's Green)",59181,68,4,2,7,16,8,23,8,35,0,2,1,3,2,0
"CNFA09 (Acock's Green)",59182,70,1,3,5,12,6,16,27,39,0,1,2,2,2,0
"CNFA10 (Acock's Green)",59183,105,4,6,6,24,6,27,32,37,0,1,1,2,2,0
"CNFA11 (Acock's Green)",59184,76,9,4,11,14,10,18,10,29,0,0,0,0,0,0
"CNFA12 (Acock's Green)",59185,52,1,8,8,11,3,12,9,31,0,3,0,3,2,0
"CNFA13 (Acock's Green)",59186,34,3,0,2,9,1,11,8,28,0,1,1,2,2,0
"CNFA14 (Acock's Green)",59187,73,3,6,12,15,4,11,22,38,0,1,3,3,3,0
"CNFA15 (Acock's Green)",59188,47,2,1,3,12,7,14,8,27,0,3,0,3,3,0
"CNFA16 (Acock's Green)",59189,48,2,2,5,7,5,9,18,34,0,0,0,0,0,0
"CNFA17 (Acock's Green)",59190,71,3,1,8,11,9,19,20,38,0,1,1,2,1,0
"CNFA18 (Acock's Green)",59191,82,3,4,4,14,17,28,12,40,0,2,0,2,2,0
"CNFA19 (Acock's Green)",59192,78,2,8,3,15,7,20,23,34,0,1,0,1,1,0
"CNFA20 (Acock's Green)",59193,81,3,6,6,14,12,21,19,35,0,0,2,2,2,0
"CNFA21 (Acock's Green)",59194,51,0,0,2,13,14,11,11,45,0,1,1,2,2,0
"CNFA22 (Acock's Green)",59195,87,0,0,2,9,10,29,37,22,0,0,0,0,0,0
"CNFA23 (Acock's Green)",59196,32,2,8,5,9,0,2,6,30,0,3,2,5,5,0
"CNFA24 (Acock's Green)",59197,56,3,2,3,6,4,16,22,24,0,0,0,0,0,0
"CNFA25 (Acock's Green)",59198,56,2,2,6,13,7,13,13,48,0,0,4,4,3,0
"CNFA26 (Acock's Green)",59199,62,4,3,5,12,5,18,15,27,0,0,0,0,0,0
"CNFA27 (Acock's Green)",59200,102,3,10,11,19,9,31,19,45,0,0,1,1,1,0
"CNFA28 (Acock's Green)",59201,68,2,5,3,14,11,19,14,43,0,1,1,2,2,0
"CNFA29 (Acock's Green)",59202,82,1,7,4,14,10,32,14,32,0,1,1,2,2,0
"CNFA30 (Acock's Green)",59203,36,0,1,5,7,6,5,12,31,0,1,4,5,4,0
"CNFA31 (Acock's Green)",59204,72,3,2,4,12,4,17,30,45,1,1,0,2,1,0
"CNFA32 (Acock's Green)",59205,56,0,0,3,16,8,12,17,33,0,2,1,3,2,0
"CNFA33 (Acock's Green)",59206,47,1,1,3,12,3,12,15,44,0,1,2,2,2,0
"CNFA34 (Acock's Green)",59207,54,3,0,6,7,5,17,16,49,0,1,1,2,2,0
"CNFA35 (Acock's Green)",59208,83,2,1,5,14,6,27,28,36,0,0,0,0,0,0
"CNFA37 (Acock's Green)",59209,91,5,6,8,16,12,10,34,54,0,0,0,0,0,0
"CNFA38 (Acock's Green)",59210,36,1,0,6,12,2,7,8,28,0,0,0,0,0,0
"CNFA39 (Acock's Green)",59211,56,7,3,6,13,3,9,15,42,0,4,1,5,3,0
"CNFA40 (Acock's Green)",59212,65,4,2,6,19,9,19,6,43,3,1,0,4,4,0
"CNFA41 (Acock's Green)",59213,61,3,0,14,13,6,14,11,35,1,1,0,2,1,0
"CNFA42 (Acock's Green)",59214,60,6,4,3,15,5,11,16,42,0,4,1,5,4,0
"CNFA43 (Acock's Green)",59215,50,1,2,4,8,5,14,16,35,1,1,2,4,4,0
"CNFA44 (Acock's Green)",59216,24,4,3,4,6,3,2,2,37,0,1,3,4,4,0
"CNFA45 (Acock's Green)",59217,84,1,3,5,15,5,18,37,37,0,0,0,0,0,0
"CNFA46 (Acock's Green)",59218,43,0,3,1,5,3,16,15,39,0,2,2,4,4,0
"CNFA47 (Acock's Green)",59219,52,5,2,14,12,4,5,10,32,0,2,2,4,3,0
"CNFA48 (Acock's Green)",59220,59,1,2,11,6,5,17,17,38,0,1,2,3,2,0
"CNFA49 (Acock's Green)",59221,65,0,1,3,10,1,13,37,37,0,1,0,1,1,0
"CNFA50 (Acock's Green)",59222,50,1,2,6,8,7,14,12,35,0,0,2,2,2,0
"CNFA51 (Acock's Green)",59223,48,3,2,10,6,4,10,13,41,0,4,2,6,3,2
"CNFA52 (Acock's Green)",59224,81,0,5,9,14,8,21,24,35,1,1,3,5,4,1
"CNFA53 (Acock's Green)",59225,80,3,1,10,20,8,23,15,43,0,3,0,3,2,0
"CNFA54 (Acock's Green)",59226,63,2,0,7,8,5,12,29,32,0,1,1,2,2,0
"CNFB01 (Aston)",59227,70,1,1,7,8,5,28,20,38,0,0,0,0,0,0
"CNFB02 (Aston)",59228,61,3,8,9,6,1,16,18,28,0,1,0,1,1,0
"CNFB03 (Aston)",59229,74,9,9,6,11,6,15,18,45,0,0,1,1,1,0
