
"1991 census - small area statistics"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Analysis   :","standard"
"Date       :","1991"

"enumeration districts","mnemonic","S73:1 (Total persons : Total persons )","S73:2 (Total persons : Agriculture forestry and fishing )","S73:3 (Total persons : Energy and water )","S73:4 (Total persons : Mining )","S73:5 (Total persons : Manufacturing metal etc )","S73:6 (Total persons : Other manufacturing )","S73:7 (Total persons : Construction )","S73:8 (Total persons : Distribution and catering )","S73:9 (Total persons : Transport )","S73:10 (Total persons : Banking, finance etc )","S73:11 (Total persons : Other services )","S73:12 (Total persons : Not stated, inadequately described, or workplace outside UK )","S73:13 (Males aged 16 and over : Total persons )","S73:14 (Males aged 16 and over : Agriculture forestry and fishing )","S73:15 (Males aged 16 and over : Energy and water )","S73:16 (Males aged 16 and over : Mining )","S73:17 (Males aged 16 and over : Manufacturing metal etc )","S73:18 (Males aged 16 and over : Other manufacturing )","S73:19 (Males aged 16 and over : Construction )","S73:20 (Males aged 16 and over : Distribution and catering )","S73:21 (Males aged 16 and over : Transport )","S73:22 (Males aged 16 and over : Banking, finance etc )","S73:23 (Males aged 16 and over : Other services )","S73:24 (Males aged 16 and over : Not stated, inadequately described, or workplace outside UK )","S73:85 (Females aged 16 and over : Total persons )","S73:86 (Females aged 16 and over : Agriculture forestry and fishing )","S73:87 (Females aged 16 and over : Energy and water )","S73:88 (Females aged 16 and over : Mining )","S73:89 (Females aged 16 and over : Manufacturing metal etc )","S73:90 (Females aged 16 and over : Other manufacturing )","S73:91 (Females aged 16 and over : Construction )","S73:92 (Females aged 16 and over : Distribution and catering )","S73:93 (Females aged 16 and over : Transport )","S73:94 (Females aged 16 and over : Banking, finance etc )","S73:95 (Females aged 16 and over : Other services )","S73:96 (Females aged 16 and over : Not stated, inadequately described, or workplace outside UK )"

"CNFA01 (Acock's Green)",59174,23,0,0,2,4,2,1,8,1,0,5,0,15,0,0,2,4,2,1,3,1,0,2,0,8,0,0,0,0,0,0,5,0,0,3,0
"CNFA02 (Acock's Green)",59175,17,0,0,0,3,1,1,4,3,0,5,0,8,0,0,0,3,0,1,2,0,0,2,0,9,0,0,0,0,1,0,2,3,0,3,0
"CNFA03 (Acock's Green)",59176,22,0,0,0,6,1,3,7,1,1,3,0,12,0,0,0,5,1,2,2,1,0,1,0,10,0,0,0,1,0,1,5,0,1,2,0
"CNFA04 (Acock's Green)",59177,19,0,0,1,4,1,2,3,2,3,3,0,10,0,0,1,2,1,2,2,1,0,1,0,9,0,0,0,2,0,0,1,1,3,2,0
"CNFA05 (Acock's Green)",59178,17,0,0,1,6,2,2,1,1,2,2,0,9,0,0,1,2,2,2,1,1,0,0,0,8,0,0,0,4,0,0,0,0,2,2,0
"CNFA06 (Acock's Green)",59179,23,0,0,2,1,1,2,3,0,4,8,2,12,0,0,1,1,1,2,1,0,1,3,2,11,0,0,1,0,0,0,2,0,3,5,0
"CNFA07 (Acock's Green)",59180,20,0,0,0,2,1,2,8,2,0,4,1,12,0,0,0,2,0,2,3,2,0,3,0,8,0,0,0,0,1,0,5,0,0,1,1
"CNFA08 (Acock's Green)",59181,16,0,0,0,6,0,1,2,2,2,3,0,10,0,0,0,5,0,1,1,1,1,1,0,6,0,0,0,1,0,0,1,1,1,2,0
"CNFA09 (Acock's Green)",59182,20,0,0,0,1,1,0,10,2,2,3,1,11,0,0,0,1,0,0,5,1,1,2,1,9,0,0,0,0,1,0,5,1,1,1,0
"CNFA10 (Acock's Green)",59183,13,1,0,1,0,2,1,6,1,0,1,0,7,1,0,0,0,2,1,3,0,0,0,0,6,0,0,1,0,0,0,3,1,0,1,0
"CNFA11 (Acock's Green)",59184,10,0,0,0,4,0,0,2,3,0,1,0,6,0,0,0,4,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,1,0,1,0
"CNFA12 (Acock's Green)",59185,18,0,0,0,2,2,1,5,2,0,6,0,9,0,0,0,2,1,0,2,1,0,3,0,9,0,0,0,0,1,1,3,1,0,3,0
"CNFA13 (Acock's Green)",59186,11,0,0,0,1,0,2,3,1,0,3,1,6,0,0,0,1,0,2,1,0,0,1,1,5,0,0,0,0,0,0,2,1,0,2,0
"CNFA14 (Acock's Green)",59187,23,1,0,1,3,1,2,6,4,0,5,0,15,1,0,1,3,1,2,2,4,0,1,0,8,0,0,0,0,0,0,4,0,0,4,0
"CNFA15 (Acock's Green)",59188,17,0,0,1,3,0,2,5,0,1,5,0,8,0,0,1,3,0,2,2,0,0,0,0,9,0,0,0,0,0,0,3,0,1,5,0
"CNFA16 (Acock's Green)",59189,26,0,1,0,8,1,1,7,2,1,4,1,13,0,0,0,7,0,1,3,1,0,1,0,13,0,1,0,1,1,0,4,1,1,3,1
"CNFA17 (Acock's Green)",59190,21,0,0,1,3,2,2,2,2,0,8,1,14,0,0,1,3,0,2,2,2,0,3,1,7,0,0,0,0,2,0,0,0,0,5,0
"CNFA18 (Acock's Green)",59191,22,0,0,0,7,0,1,2,1,3,8,0,13,0,0,0,7,0,1,1,1,1,2,0,9,0,0,0,0,0,0,1,0,2,6,0
"CNFA19 (Acock's Green)",59192,21,0,1,0,1,0,4,7,2,1,5,0,11,0,0,0,1,0,4,3,1,1,1,0,10,0,1,0,0,0,0,4,1,0,4,0
"CNFA20 (Acock's Green)",59193,20,0,0,2,3,3,0,3,1,5,3,0,9,0,0,2,3,1,0,1,0,2,0,0,11,0,0,0,0,2,0,2,1,3,3,0
"CNFA21 (Acock's Green)",59194,23,0,1,1,1,1,5,5,2,4,3,0,15,0,1,1,1,1,4,3,2,1,1,0,8,0,0,0,0,0,1,2,0,3,2,0
"CNFA22 (Acock's Green)",59195,4,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0
"CNFA23 (Acock's Green)",59196,22,0,0,0,4,1,1,6,1,2,6,1,14,0,0,0,4,1,1,4,1,0,2,1,8,0,0,0,0,0,0,2,0,2,4,0
"CNFA24 (Acock's Green)",59197,9,0,0,1,2,0,0,2,1,1,2,0,5,0,0,1,1,0,0,1,1,1,0,0,4,0,0,0,1,0,0,1,0,0,2,0
"CNFA25 (Acock's Green)",59198,34,0,1,0,11,1,2,9,1,1,8,0,18,0,1,0,8,1,2,3,1,0,2,0,16,0,0,0,3,0,0,6,0,1,6,0
"CNFA26 (Acock's Green)",59199,11,0,0,0,5,1,1,4,0,0,0,0,6,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0
"CNFA27 (Acock's Green)",59200,25,0,0,1,5,1,1,10,1,1,5,0,12,0,0,1,3,1,1,5,0,0,1,0,13,0,0,0,2,0,0,5,1,1,4,0
"CNFA28 (Acock's Green)",59201,28,0,0,2,5,0,2,7,1,1,10,0,16,0,0,2,4,0,1,5,1,0,3,0,12,0,0,0,1,0,1,2,0,1,7,0
"CNFA29 (Acock's Green)",59202,25,0,0,0,4,2,0,9,1,8,1,0,12,0,0,0,3,1,0,3,0,4,1,0,13,0,0,0,1,1,0,6,1,4,0,0
"CNFA30 (Acock's Green)",59203,20,0,0,0,2,1,2,6,0,2,7,0,10,0,0,0,2,1,1,3,0,1,2,0,10,0,0,0,0,0,1,3,0,1,5,0
"CNFA31 (Acock's Green)",59204,25,0,1,2,6,0,2,3,3,4,4,0,15,0,1,1,5,0,2,3,2,1,0,0,10,0,0,1,1,0,0,0,1,3,4,0
"CNFA32 (Acock's Green)",59205,16,0,0,0,3,1,6,1,1,2,2,0,9,0,0,0,1,1,5,0,1,0,1,0,7,0,0,0,2,0,1,1,0,2,1,0
"CNFA33 (Acock's Green)",59206,30,0,0,1,5,1,3,5,1,3,11,0,16,0,0,0,4,0,3,4,1,2,2,0,14,0,0,1,1,1,0,1,0,1,9,0
"CNFA34 (Acock's Green)",59207,32,0,0,1,8,2,1,8,1,5,6,0,19,0,0,1,7,1,1,5,1,2,1,0,13,0,0,0,1,1,0,3,0,3,5,0
"CNFA35 (Acock's Green)",59208,16,0,0,1,6,3,1,2,1,2,0,0,8,0,0,1,3,1,1,1,1,0,0,0,8,0,0,0,3,2,0,1,0,2,0,0
"CNFA37 (Acock's Green)",59209,25,0,0,0,7,2,4,5,1,2,4,0,16,0,0,0,5,2,3,3,1,1,1,0,9,0,0,0,2,0,1,2,0,1,3,0
"CNFA38 (Acock's Green)",59210,12,0,0,2,4,0,1,0,2,2,1,0,9,0,0,1,4,0,1,0,2,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0
