
"1991 census - small area statistics"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Analysis   :","standard"
"Date       :","1991"

"enumeration districts","mnemonic","S92:89 (8 Foremen and supervisors - manual : Males )","S92:90 (8 Foremen and supervisors - manual : Females )","S92:97 (9 Skilled manual workers : Males )","S92:98 (9 Skilled manual workers : Females )","S92:105 (10 Semi-skilled manual workers : Males )","S92:106 (10 Semi-skilled manual workers : Females )","S92:113 (11 Unskilled manual workers : Males )","S92:114 (11 Unskilled manual workers : Females )"

"CNFA01 (Acock's Green)",59174,1,0,3,1,8,0,2,2
"CNFA02 (Acock's Green)",59175,0,0,3,0,0,2,3,1
"CNFA03 (Acock's Green)",59176,0,0,6,0,3,0,1,3
"CNFA04 (Acock's Green)",59177,0,0,4,0,4,0,0,1
"CNFA05 (Acock's Green)",59178,0,0,4,0,3,3,1,1
"CNFA06 (Acock's Green)",59179,0,0,5,0,3,2,2,1
"CNFA07 (Acock's Green)",59180,1,0,6,1,2,0,0,1
"CNFA08 (Acock's Green)",59181,1,0,5,0,1,0,1,1
"CNFA09 (Acock's Green)",59182,0,0,0,0,1,0,0,0
"CNFA10 (Acock's Green)",59183,1,0,2,0,2,0,1,1
"CNFA11 (Acock's Green)",59184,0,0,3,1,3,0,0,0
"CNFA12 (Acock's Green)",59185,0,0,2,0,2,1,1,1
"CNFA13 (Acock's Green)",59186,0,0,2,0,2,0,0,1
"CNFA14 (Acock's Green)",59187,0,1,8,0,3,1,0,1
"CNFA15 (Acock's Green)",59188,0,0,3,1,3,2,0,2
"CNFA16 (Acock's Green)",59189,0,0,5,0,2,2,2,0
"CNFA17 (Acock's Green)",59190,0,0,6,0,4,1,1,2
"CNFA18 (Acock's Green)",59191,0,0,3,0,5,1,0,1
"CNFA19 (Acock's Green)",59192,0,1,6,1,3,1,0,2
"CNFA20 (Acock's Green)",59193,0,1,3,0,4,0,0,0
"CNFA21 (Acock's Green)",59194,0,0,4,0,2,0,0,1
"CNFA22 (Acock's Green)",59195,0,0,1,0,2,0,0,0
"CNFA23 (Acock's Green)",59196,1,0,2,0,1,0,1,0
"CNFA24 (Acock's Green)",59197,0,0,3,0,4,1,0,0
"CNFA25 (Acock's Green)",59198,1,0,6,1,2,5,1,2
"CNFA26 (Acock's Green)",59199,1,0,2,1,1,0,2,2
"CNFA27 (Acock's Green)",59200,1,1,1,0,7,4,1,2
"CNFA28 (Acock's Green)",59201,3,0,7,1,2,2,1,0
"CNFA29 (Acock's Green)",59202,1,0,3,1,2,3,0,1
"CNFA30 (Acock's Green)",59203,0,0,4,0,1,1,0,0
"CNFA31 (Acock's Green)",59204,0,0,9,1,1,1,0,1
"CNFA32 (Acock's Green)",59205,0,0,3,0,1,1,0,0
"CNFA33 (Acock's Green)",59206,1,0,5,0,2,1,0,3
"CNFA34 (Acock's Green)",59207,1,0,5,0,4,0,1,0
"CNFA35 (Acock's Green)",59208,0,0,4,0,1,0,0,0
"CNFA37 (Acock's Green)",59209,0,0,6,1,1,1,4,0
"CNFA38 (Acock's Green)",59210,1,0,5,0,2,2,1,1
"CNFA39 (Acock's Green)",59211,0,0,7,0,4,7,1,1
"CNFA40 (Acock's Green)",59212,1,0,1,0,2,2,0,0
"CNFA41 (Acock's Green)",59213,0,1,5,0,3,0,0,0
"CNFA42 (Acock's Green)",59214,2,0,5,0,2,1,0,0
"CNFA43 (Acock's Green)",59215,2,0,5,0,3,2,0,0
"CNFA44 (Acock's Green)",59216,1,0,5,0,3,0,0,0
"CNFA45 (Acock's Green)",59217,1,0,5,0,1,0,0,0
"CNFA46 (Acock's Green)",59218,2,1,6,0,1,1,1,1
"CNFA47 (Acock's Green)",59219,0,0,5,2,1,1,0,0
