
"1991 census - small area statistics"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Analysis   :","standard"
"Date       :","1991"

"enumeration districts","mnemonic","S08:12 (Males Economically Active : Total Aged 16 and Over )","S08:23 (Males EA full time : Total Aged 16 and Over )","S08:34 (Males EA part time : Total Aged 16 and Over )","S08:45 (Males EA SE with employees : Total Aged 16 and Over )","S08:56 (Males EA SE w/o employees : Total Aged 16 and Over )","S08:67 (Males EA on a Gov Scheme : Total Aged 16 and Over )","S08:78 (Males EA unemployed : Total Aged 16 and Over )","S08:89 (Males EA students (incl. above) : Total Aged 16 and Over )","S08:100 (Males Economically Inactive : Total Aged 16 and Over )","S08:111 (Males EI students : Total Aged 16 and Over )","S08:122 (Males EI permanently sick : Total Aged 16 and Over )","S08:133 (Males EI retired : Total Aged 16 and Over )","S08:140 (Males EI retired : Aged 55-59 )","S08:141 (Males EI retired : Aged 60-64 )","S08:142 (Males EI retired : Aged 65 & over )","S08:144 (Males EI other : Total Aged 16 and Over )","S08:155 (Total females : Total Aged 16 and Over )","S08:166 (Females Economically Active : Total Aged 16 and Over )","S08:177 (Females EA full time : Total Aged 16 and Over )","S08:188 (Females EA part time : Total Aged 16 and Over )","S08:199 (Females EA SE with employees : Total Aged 16 and Over )","S08:210 (Females EA SE w/o employees : Total Aged 16 and Over )","S08:221 (Females EA on a Gov Scheme : Total Aged 16 and Over )","S08:232 (Females EA unemployed : Total Aged 16 and Over )","S08:254 (Females Economically Inactive : Total Aged 16 and Over )","S08:265 (Females EI students : Total Aged 16 and Over )","S08:276 (Females EI permanently sick : Total Aged 16 and Over )","S08:287 (Females EI retired : Total Aged 16 and Over )","S08:294 (Females EI retired : Aged 55-59 )","S08:295 (Females EI retired : Aged 60-64 )","S08:296 (Females EI retired : Aged 65 & over )","S08:298 (Females EI other : Total Aged 16 and Over )"

"CNFA01 (Acock's Green)",59174,160,113,5,0,8,2,32,1,75,4,29,38,1,4,33,4,253,114,56,42,0,1,3,12,139,8,13,56,0,12,44,62
"CNFA02 (Acock's Green)",59175,106,74,5,0,7,1,19,0,60,5,16,36,0,1,35,3,192,86,41,35,0,0,0,10,106,5,8,47,2,9,36,46
"CNFA03 (Acock's Green)",59176,175,116,3,3,14,6,33,0,42,5,9,27,0,3,24,1,244,119,56,40,0,1,6,16,125,6,6,47,3,8,36,66
"CNFA04 (Acock's Green)",59177,161,121,5,3,15,1,16,1,52,14,10,27,0,3,24,1,241,124,68,38,1,4,1,12,117,9,7,44,0,6,38,57
"CNFA05 (Acock's Green)",59178,120,79,6,2,4,3,26,1,49,4,11,34,0,1,33,0,204,74,44,25,0,1,0,4,130,6,15,76,0,14,62,33
"CNFA06 (Acock's Green)",59179,176,103,4,1,10,1,57,1,55,4,18,31,0,3,28,2,273,115,67,30,1,1,1,15,158,8,15,58,1,7,50,77
"CNFA07 (Acock's Green)",59180,144,102,6,1,7,1,27,0,25,2,11,11,0,0,11,1,191,107,54,41,0,1,1,10,84,7,7,25,0,3,22,45
"CNFA08 (Acock's Green)",59181,151,111,5,1,6,6,22,0,47,5,11,30,0,1,29,1,199,93,49,32,0,2,1,9,106,11,10,37,1,5,31,48
"CNFA09 (Acock's Green)",59182,156,111,7,6,20,2,10,1,63,2,11,50,1,2,47,0,262,143,79,54,1,5,0,4,119,7,6,57,0,14,43,49
"CNFA10 (Acock's Green)",59183,110,71,5,0,4,1,29,0,65,4,12,46,0,3,43,3,206,77,42,25,0,1,2,7,129,4,11,68,1,6,61,46
"CNFA11 (Acock's Green)",59184,118,79,1,2,7,2,27,0,46,4,13,27,0,0,27,2,179,76,41,21,1,2,1,10,103,11,8,39,1,9,29,45
"CNFA12 (Acock's Green)",59185,120,80,3,3,9,2,23,0,45,1,13,29,1,4,23,2,168,96,62,18,3,2,2,9,72,2,2,27,1,3,23,41
"CNFA13 (Acock's Green)",59186,122,90,1,1,11,2,17,0,29,3,3,23,0,2,19,0,160,88,53,26,0,1,1,7,72,1,5,34,0,6,25,32
"CNFA14 (Acock's Green)",59187,146,115,0,0,11,2,18,0,49,2,12,30,0,2,28,5,218,115,59,41,0,4,4,7,103,8,4,43,0,10,33,48
"CNFA15 (Acock's Green)",59188,119,87,0,2,15,0,15,0,37,4,13,20,0,1,18,0,167,91,53,27,1,2,2,6,76,2,2,26,0,5,21,46
"CNFA16 (Acock's Green)",59189,145,109,7,1,11,0,17,2,33,1,6,26,0,3,23,0,189,108,65,34,0,1,2,6,81,1,6,41,2,4,34,33
"CNFA17 (Acock's Green)",59190,148,114,4,1,6,0,23,1,40,1,8,31,0,2,29,0,197,91,48,24,0,5,3,11,106,4,7,54,1,8,44,41
"CNFA18 (Acock's Green)",59191,148,95,4,4,14,3,28,0,63,5,18,39,0,2,37,1,220,103,59,35,0,1,0,8,117,6,3,52,1,15,36,56
"CNFA19 (Acock's Green)",59192,127,84,4,4,11,2,22,0,55,6,11,33,0,0,33,5,162,97,57,27,0,5,1,7,65,1,3,37,0,4,33,24
"CNFA20 (Acock's Green)",59193,119,85,4,1,12,0,17,0,47,7,10,29,1,0,28,1,214,90,59,19,1,2,3,6,124,8,7,67,0,10,57,42
"CNFA21 (Acock's Green)",59194,175,134,1,6,16,2,16,0,51,4,9,38,0,2,36,0,234,133,82,32,0,8,3,8,101,3,1,45,0,10,35,52
"CNFA22 (Acock's Green)",59195,51,34,0,0,1,1,15,0,51,0,12,39,0,1,38,0,115,22,12,7,0,1,0,2,93,0,4,69,1,5,62,20
"CNFA23 (Acock's Green)",59196,123,92,5,1,6,0,19,2,25,5,3,15,1,1,13,2,168,97,69,19,0,0,2,7,71,6,2,21,0,5,16,42
"CNFA24 (Acock's Green)",59197,79,65,2,0,0,0,12,0,32,0,3,28,0,1,27,1,154,70,38,20,0,2,3,7,84,4,4,41,0,3,37,35
"CNFA25 (Acock's Green)",59198,178,141,0,1,15,2,19,0,44,6,7,29,0,3,26,2,225,127,82,35,0,5,1,4,98,5,12,34,0,5,29,47
"CNFA26 (Acock's Green)",59199,87,66,2,1,5,2,11,0,55,2,14,36,0,2,33,3,148,45,32,10,0,0,0,3,103,4,4,59,1,5,53,36
"CNFA27 (Acock's Green)",59200,159,117,3,0,8,4,27,0,59,2,16,40,0,3,37,1,234,101,56,35,0,0,0,10,133,7,6,67,1,11,55,53
"CNFA28 (Acock's Green)",59201,165,106,3,3,18,4,31,0,55,5,10,39,0,3,36,1,218,119,71,27,1,3,6,11,99,6,4,45,0,7,38,44
"CNFA29 (Acock's Green)",59202,131,97,0,2,12,0,20,0,44,2,11,30,0,3,27,1,170,82,46,30,0,0,0,6,88,0,9,43,0,5,38,36
"CNFA30 (Acock's Green)",59203,122,92,1,4,14,1,10,1,32,2,9,21,0,2,19,0,160,93,72,13,0,4,1,3,67,0,6,31,0,4,27,30
"CNFA31 (Acock's Green)",59204,165,118,8,5,20,2,12,2,62,7,2,53,0,2,50,0,227,114,68,39,0,1,0,6,113,5,3,62,1,9,52,43
"CNFA32 (Acock's Green)",59205,131,103,2,2,13,1,10,0,49,4,9,36,2,1,33,0,175,95,54,34,0,1,2,4,80,0,7,47,0,9,38,26
"CNFA33 (Acock's Green)",59206,166,128,3,5,10,0,20,1,53,7,8,38,1,5,32,0,231,134,79,46,0,1,1,7,97,3,7,49,0,6,43,38
"CNFA34 (Acock's Green)",59207,172,140,6,2,17,1,6,1,44,5,4,35,1,5,28,0,230,128,72,52,0,1,0,3,102,5,6,47,1,4,42,44
"CNFA35 (Acock's Green)",59208,131,113,1,0,11,0,6,1,70,4,8,57,0,4,53,1,246,111,58,47,1,3,0,2,135,5,6,96,2,11,83,28
"CNFA37 (Acock's Green)",59209,209,126,4,8,15,8,48,1,66,11,12,39,0,0,38,4,299,127,63,40,1,2,3,18,172,5,5,80,2,9,68,82
"CNFA38 (Acock's Green)",59210,80,43,2,0,2,0,33,1,29,3,4,16,0,1,15,6,116,37,15,13,0,1,0,8,79,5,5,25,0,5,20,44
"CNFA39 (Acock's Green)",59211,180,142,8,3,11,1,15,1,41,12,5,22,0,2,19,2,228,123,69,42,0,1,0,11,105,8,6,32,2,2,27,59
"CNFA40 (Acock's Green)",59212,157,115,0,9,13,4,16,3,64,13,13,33,0,1,32,5,236,129,84,29,4,3,2,7,107,14,11,35,1,5,29,47
"CNFA41 (Acock's Green)",59213,162,120,0,6,17,1,18,0,30,3,6,21,0,1,20,0,185,102,52,39,2,2,1,6,83,10,6,24,0,2,22,43
"CNFA42 (Acock's Green)",59214,149,108,2,6,14,0,19,1,40,2,8,29,1,1,27,1,212,106,69,23,1,5,2,6,106,6,4,55,1,7,47,41
"CNFA43 (Acock's Green)",59215,121,88,1,3,17,2,10,2,41,4,5,31,0,3,28,1,179,96,58,24,2,8,0,4,83,6,5,45,0,5,39,27
"CNFA44 (Acock's Green)",59216,187,147,3,11,13,2,11,3,23,5,1,17,1,2,14,0,194,151,103,35,4,2,0,7,43,7,0,16,0,4,12,20
"CNFA45 (Acock's Green)",59217,120,95,4,1,9,0,11,0,65,3,9,50,0,2,48,3,213,91,51,33,1,0,0,6,122,5,4,85,0,8,77,28
"CNFA46 (Acock's Green)",59218,177,134,7,5,18,0,13,0,33,3,2,27,0,2,25,1,227,139,89,40,1,1,0,8,88,4,2,49,1,6,42,33
"CNFA47 (Acock's Green)",59219,140,85,4,7,10,6,28,2,43,11,12,16,1,2,13,4,191,101,61,20,0,3,4,13,90,8,8,26,0,5,21,48
"CNFA48 (Acock's Green)",59220,108,73,3,7,15,3,7,0,55,6,13,35,0,0,35,1,269,96,62,20,2,4,0,8,173,5,40,107,1,8,97,21
"CNFA49 (Acock's Green)",59221,86,64,3,4,3,2,10,0,49,1,9,38,0,2,36,1,238,73,49,14,0,1,0,9,165,1,27,107,1,2,104,30
"CNFA50 (Acock's Green)",59222,145,118,3,1,10,2,11,1,30,6,8,16,0,0,15,0,158,92,57,24,1,2,2,6,66,3,2,25,1,4,20,36
"CNFA51 (Acock's Green)",59223,157,108,4,6,22,1,16,1,57,11,7,38,0,5,33,1,200,109,64,21,3,8,4,9,91,8,4,38,1,12,25,41
"CNFA52 (Acock's Green)",59224,126,87,5,4,11,3,16,0,51,10,13,28,0,1,27,0,188,90,59,20,1,1,2,7,98,7,10,47,1,6,40,34
"CNFA53 (Acock's Green)",59225,141,84,3,2,22,2,28,0,55,5,14,34,0,3,30,2,224,86,50,30,0,1,2,3,138,5,6,51,1,7,43,76
"CNFA54 (Acock's Green)",59226,105,79,2,2,7,0,15,0,45,4,5,36,1,0,35,0,195,80,38,25,1,3,4,9,115,7,6,69,1,12,56,33
"CNFB01 (Aston)",59227,138,105,3,4,7,2,17,0,49,4,3,42,0,3,39,0,200,100,58,32,0,2,1,7,100,7,3,63,2,11,49,27
"CNFB02 (Aston)",59228,119,78,4,3,11,4,19,0,32,5,6,21,0,0,21,0,155,87,51,21,2,7,2,4,68,3,6,33,0,5,28,26
"CNFB03 (Aston)",59229,141,101,3,4,6,2,25,0,43,1,8,34,0,3,31,0,221,109,73,24,2,2,2,6,112,7,5,46,0,2,44,54
"CNFB04 (Aston)",59230,146,79,0,6,8,4,49,0,87,20,20,39,1,3,35,8,239,88,37,29,2,2,1,17,151,26,11,31,0,6,23,83
"CNFB05 (Aston)",59231,108,52,0,6,13,0,37,0,53,16,13,21,1,5,15,3,181,63,20,13,0,3,4,23,118,15,8,20,0,2,18,75
"CNFB07 (Aston)",59232,121,73,0,3,7,6,32,2,43,9,6,27,0,3,22,1,195,68,37,19,0,2,0,10,127,7,12,49,0,8,40,59
"CNFB08 (Aston)",59233,166,86,4,1,12,9,54,0,78,24,20,29,4,5,20,5,255,99,47,23,0,3,4,22,156,17,15,39,0,6,33,85
"CNFB09 (Aston)",59234,80,33,3,0,3,2,39,1,25,3,13,8,0,0,8,1,118,46,14,14,0,0,2,16,72,0,8,15,1,1,13,49
"CNFB10 (Aston)",59235,77,41,2,1,2,0,31,0,58,2,12,42,0,2,40,2,151,37,19,7,0,0,2,9,114,2,12,61,1,9,51,39
"CNFB11 (Aston)",59236,133,78,4,8,2,0,41,0,72,19,11,40,2,5,33,2,198,68,27,21,3,0,3,14,130,9,7,44,1,11,32,70
"CNFB12 (Aston)",59237,112,72,7,2,5,4,22,0,45,10,7,25,0,2,23,3,169,55,30,11,0,0,4,10,114,11,7,35,0,11,23,61
"CNFB13 (Aston)",59238,162,70,3,6,9,7,67,5,68,18,23,25,0,8,17,2,214,72,36,7,0,2,2,25,142,18,15,21,2,8,11,88
"CNFB14 (Aston)",59239,131,66,0,5,6,5,49,0,61,16,16,26,1,2,23,3,192,40,14,5,1,2,2,16,152,17,8,23,2,6,14,104
"CNFB15 (Aston)",59240,80,41,3,3,5,0,28,0,54,4,13,37,0,2,35,0,187,62,34,19,3,0,1,5,125,8,14,70,0,5,65,33
"CNFB16 (Aston)",59241,91,51,4,1,3,0,32,0,37,5,12,15,0,0,15,5,163,66,32,13,1,0,4,16,97,6,10,52,0,11,41,29
"CNFB17 (Aston)",59242,114,60,2,0,6,4,42,0,77,13,16,46,0,2,44,2,220,81,36,24,0,3,3,15,139,13,15,68,2,11,55,43
"CNFB18 (Aston)",59243,166,87,1,5,12,6,55,0,113,38,25,37,2,7,21,13,291,84,40,11,2,2,6,23,207,21,11,26,0,6,18,149
"CNFB19 (Aston)",59244,94,44,2,4,1,3,40,0,55,5,18,28,0,3,24,4,205,78,25,13,0,0,1,39,127,11,6,36,2,4,29,74
"CNFB20 (Aston)",59245,116,59,6,0,10,3,38,0,78,25,26,24,0,4,20,3,183,76,38,15,0,0,2,21,107,11,8,10,0,2,8,78
"CNFB21 (Aston)",59246,128,77,2,1,5,3,40,1,27,4,12,11,0,2,9,0,171,89,66,18,0,0,1,4,82,4,7,35,1,8,26,36
"CNFB22 (Aston)",59247,67,30,1,7,2,0,27,1,31,6,8,16,0,3,13,1,121,40,16,13,3,2,1,5,81,7,8,13,1,2,9,53
"CNFB23 (Aston)",59248,56,32,4,0,1,1,18,0,60,6,16,36,0,5,31,2,155,57,23,11,0,0,1,22,98,4,7,41,1,6,33,46
"CNFB24 (Aston)",59249,161,73,5,4,10,5,64,0,59,19,11,25,0,2,23,4,239,100,42,17,1,1,5,34,139,17,13,20,1,10,8,89
"CNFB25 (Aston)",59250,160,68,1,4,13,10,64,0,65,17,20,23,0,0,23,5,261,85,35,7,0,1,3,39,176,23,18,40,1,3,36,95
"CNFB26 (Aston)",59251,111,63,1,2,10,5,30,0,58,8,28,18,1,1,16,4,240,105,60,27,0,0,4,14,135,12,34,42,1,3,38,47
"CNFB27 (Aston)",59252,152,66,4,2,8,7,65,0,70,14,25,26,1,2,22,5,240,119,46,24,0,0,7,42,121,13,14,25,0,3,22,69
"CNFB28 (Aston)",59253,110,55,4,0,0,5,46,1,73,15,15,41,0,5,34,2,213,93,50,18,1,0,10,14,120,8,12,32,1,2,29,68
"CNFB29 (Aston)",59254,106,40,2,0,7,4,53,1,37,4,19,14,3,2,9,0,130,58,26,9,0,0,4,19,72,3,3,37,1,7,28,29
"CNFB30 (Aston)",59255,117,61,2,1,7,4,42,3,52,4,16,31,0,6,25,1,217,85,33,21,5,0,1,25,132,9,14,34,0,5,29,75
