
"1991 census - small area statistics"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Analysis   :","standard"
"Date       :","1991"

"enumeration districts","mnemonic","S20:1 (Total Households : Residents all permanent )","S20:2 (Total Households : Owner occupied owned outright )","S20:3 (Total Households : Owner occupied buying )","S20:4 (Total Households : Rented privately furnished )","S20:5 (Total Households : Rented privately unfurnished )","S20:6 (Total Households : Rented with a job or business )","S20:7 (Total Households : Rented from a housing association )","S20:8 (Total Households : Rented from a LA, new town or Scottish Homes )","S20:9 (Total Households : Non-permanent accomodation )","S20:131 (Households with no car : Residents all permanent )","S20:132 (Households with no car : Owner occupied owned outright )","S20:133 (Households with no car : Owner occupied buying )","S20:134 (Households with no car : Rented privately furnished )","S20:135 (Households with no car : Rented privately unfurnished )","S20:136 (Households with no car : Rented with a job or business )","S20:137 (Households with no car : Rented from a housing association )","S20:138 (Households with no car : Rented from a LA, new town or Scottish Homes )","S20:139 (Households with no car : Non-permanent accomodation )","S20:10 (Total Households : No car )"

"CNFA01 (Acock's Green)",59174,242,27,68,0,2,3,1,141,0,138,10,16,0,2,3,0,107,0,138
"CNFA02 (Acock's Green)",59175,183,18,63,1,0,4,2,95,0,102,11,20,1,0,2,1,67,0,102
"CNFA03 (Acock's Green)",59176,220,27,74,2,1,0,11,105,0,115,14,22,1,1,0,5,72,0,115
"CNFA04 (Acock's Green)",59177,217,28,96,2,11,1,75,4,0,77,8,13,0,7,0,49,0,0,77
"CNFA05 (Acock's Green)",59178,197,17,67,0,1,1,1,110,0,121,9,22,0,0,1,1,88,0,121
"CNFA06 (Acock's Green)",59179,242,28,81,1,1,3,4,124,0,150,18,33,1,1,2,2,93,0,149
"CNFA07 (Acock's Green)",59180,187,18,57,0,0,4,5,103,0,106,10,11,0,0,3,5,77,0,105
"CNFA08 (Acock's Green)",59181,191,34,84,3,1,1,2,66,0,91,17,18,2,0,1,1,52,0,90
"CNFA09 (Acock's Green)",59182,224,90,107,4,6,2,2,13,0,73,39,16,3,2,1,2,10,0,72
"CNFA10 (Acock's Green)",59183,210,14,31,4,0,2,5,154,0,148,6,8,2,0,0,4,128,0,147
"CNFA11 (Acock's Green)",59184,161,18,50,0,2,2,3,86,0,96,11,22,0,1,2,3,57,0,95
"CNFA12 (Acock's Green)",59185,156,43,62,2,17,3,6,23,15,73,21,18,1,8,0,6,19,8,83
"CNFA13 (Acock's Green)",59186,158,42,70,7,17,2,0,20,0,76,25,21,6,7,1,0,16,0,77
"CNFA14 (Acock's Green)",59187,200,57,85,3,2,5,2,46,0,80,28,8,2,0,4,2,36,0,81
"CNFA15 (Acock's Green)",59188,173,42,92,11,24,0,0,4,0,73,20,28,6,15,0,0,4,0,74
"CNFA16 (Acock's Green)",59189,187,71,97,7,10,0,0,2,0,73,35,28,4,5,0,0,1,0,74
"CNFA17 (Acock's Green)",59190,201,31,86,2,1,3,3,75,0,111,13,29,0,2,2,2,63,0,112
"CNFA18 (Acock's Green)",59191,204,56,83,1,0,1,1,62,0,83,20,14,0,0,0,1,48,0,84
"CNFA19 (Acock's Green)",59192,169,60,86,10,5,0,7,1,0,65,28,19,7,4,0,6,1,0,66
"CNFA20 (Acock's Green)",59193,205,45,81,1,6,3,0,69,0,116,28,25,1,6,2,0,54,0,117
"CNFA21 (Acock's Green)",59194,227,77,132,2,12,1,0,3,0,87,40,33,1,11,0,0,2,0,88
"CNFA22 (Acock's Green)",59195,153,20,24,0,1,2,3,103,0,129,12,13,0,1,2,3,98,0,130
"CNFA23 (Acock's Green)",59196,177,40,84,6,13,5,11,18,0,89,22,30,2,11,1,10,13,0,89
"CNFA24 (Acock's Green)",59197,155,28,44,4,20,2,10,47,0,94,14,16,2,10,2,9,41,0,94
"CNFA25 (Acock's Green)",59198,230,58,146,7,13,1,2,3,0,80,31,32,4,8,0,2,3,0,80
"CNFA26 (Acock's Green)",59199,159,28,44,2,11,1,3,70,0,98,17,15,1,8,1,1,55,0,98
"CNFA27 (Acock's Green)",59200,233,37,92,1,1,2,0,100,0,131,23,25,0,1,1,0,81,0,131
"CNFA28 (Acock's Green)",59201,228,52,88,14,16,0,4,54,0,106,28,18,5,7,0,2,46,0,106
"CNFA29 (Acock's Green)",59202,174,44,73,5,2,3,3,44,0,89,28,20,1,2,3,2,33,0,89
"CNFA30 (Acock's Green)",59203,160,35,99,2,10,3,2,9,0,54,15,22,1,9,0,2,5,0,54
