
"1991 census - small area statistics"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Analysis   :","standard"
"Date       :","1991"

"enumeration districts","mnemonic","S23:1 (Total households : Total households )","S23:2 (Total households : Up to 0.5 persons per room )","S23:3 (Total households : Over 1 and up to 1.5 persons per room )","S23:4 (Total households : Over 1.5 persons per room )"

"CNFA01 (Acock's Green)",59174,243,131,11,2
"CNFA02 (Acock's Green)",59175,183,95,5,0
"CNFA03 (Acock's Green)",59176,220,112,16,0
"CNFA04 (Acock's Green)",59177,216,127,8,1
"CNFA05 (Acock's Green)",59178,195,129,7,0
"CNFA06 (Acock's Green)",59179,241,140,11,2
"CNFA07 (Acock's Green)",59180,187,108,10,1
"CNFA08 (Acock's Green)",59181,190,94,14,0
"CNFA09 (Acock's Green)",59182,225,140,5,0
"CNFA10 (Acock's Green)",59183,210,146,7,0
"CNFA11 (Acock's Green)",59184,161,92,9,0
"CNFA12 (Acock's Green)",59185,172,103,9,4
"CNFA13 (Acock's Green)",59186,160,93,3,0
"CNFA14 (Acock's Green)",59187,200,115,11,0
"CNFA15 (Acock's Green)",59188,172,115,6,2
"CNFA16 (Acock's Green)",59189,187,136,3,0
"CNFA17 (Acock's Green)",59190,203,133,4,0
"CNFA18 (Acock's Green)",59191,205,134,4,1
"CNFA19 (Acock's Green)",59192,172,120,2,0
"CNFA20 (Acock's Green)",59193,206,155,2,0
"CNFA21 (Acock's Green)",59194,229,157,5,0
"CNFA22 (Acock's Green)",59195,153,121,1,0
"CNFA23 (Acock's Green)",59196,175,109,4,1
"CNFA24 (Acock's Green)",59197,154,107,5,1
"CNFA25 (Acock's Green)",59198,229,150,8,0
"CNFA26 (Acock's Green)",59199,159,108,5,0
"CNFA27 (Acock's Green)",59200,234,140,3,2
"CNFA28 (Acock's Green)",59201,227,128,7,1
"CNFA29 (Acock's Green)",59202,174,123,3,0
"CNFA30 (Acock's Green)",59203,159,124,5,0
"CNFA31 (Acock's Green)",59204,229,149,9,0
"CNFA32 (Acock's Green)",59205,201,142,3,0
"CNFA33 (Acock's Green)",59206,220,119,7,0
"CNFA34 (Acock's Green)",59207,223,143,7,0
"CNFA35 (Acock's Green)",59208,244,171,5,0
"CNFA37 (Acock's Green)",59209,259,142,9,2
"CNFA38 (Acock's Green)",59210,105,50,12,0
"CNFA39 (Acock's Green)",59211,210,106,14,1
"CNFA40 (Acock's Green)",59212,183,116,1,1
"CNFA41 (Acock's Green)",59213,200,119,6,1
"CNFA42 (Acock's Green)",59214,228,167,5,0
"CNFA43 (Acock's Green)",59215,180,111,4,1
"CNFA44 (Acock's Green)",59216,200,131,4,0
"CNFA45 (Acock's Green)",59217,232,168,3,1
"CNFA46 (Acock's Green)",59218,234,159,2,1
"CNFA47 (Acock's Green)",59219,167,97,3,2
"CNFA48 (Acock's Green)",59220,173,122,3,1
"CNFA49 (Acock's Green)",59221,183,117,0,2
"CNFA50 (Acock's Green)",59222,166,102,1,3
"CNFA51 (Acock's Green)",59223,213,129,3,2
"CNFA52 (Acock's Green)",59224,179,112,4,3
"CNFA53 (Acock's Green)",59225,225,146,5,3
"CNFA54 (Acock's Green)",59226,181,129,5,0
"CNFB01 (Aston)",59227,192,129,6,1
"CNFB02 (Aston)",59228,166,109,4,2
"CNFB03 (Aston)",59229,247,159,5,0
"CNFB04 (Aston)",59230,237,124,18,4
"CNFB05 (Aston)",59231,165,70,18,9
"CNFB07 (Aston)",59232,192,118,16,6
"CNFB08 (Aston)",59233,241,112,28,10
"CNFB09 (Aston)",59234,165,107,9,2
"CNFB10 (Aston)",59235,201,140,1,0
"CNFB11 (Aston)",59236,194,103,20,8
"CNFB12 (Aston)",59237,134,67,15,7
"CNFB13 (Aston)",59238,181,71,33,11
"CNFB14 (Aston)",59239,147,55,21,14
"CNFB15 (Aston)",59240,197,139,5,4
"CNFB16 (Aston)",59241,165,125,4,1
"CNFB17 (Aston)",59242,198,116,9,3
"CNFB18 (Aston)",59243,193,53,48,20
"CNFB19 (Aston)",59244,196,108,16,6
"CNFB20 (Aston)",59245,168,78,12,1
"CNFB21 (Aston)",59246,188,117,9,7
"CNFB22 (Aston)",59247,128,52,13,10
"CNFB23 (Aston)",59248,190,114,6,5
"CNFB24 (Aston)",59249,187,74,41,12
"CNFB25 (Aston)",59250,213,100,32,13
"CNFB26 (Aston)",59251,189,99,11,5
"CNFB27 (Aston)",59252,208,94,17,2
"CNFB28 (Aston)",59253,210,117,25,7
"CNFB29 (Aston)",59254,174,117,10,4
"CNFB30 (Aston)",59255,206,95,18,5
"CNFB32 (Aston)",59256,143,84,3,4
"CNFB33 (Aston)",59257,109,41,13,5
"CNFB34 (Aston)",59258,182,70,25,5
"CNFB35 (Aston)",59259,164,82,27,6
"CNFB36 (Aston)",59260,228,170,3,8
