
"CS052 - Tenure and persons per room by accommodation type"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2001"
"Tenure     :","All categories: Tenure"
"Accommodation type:","All categories: Accommodation type"

"2001 output area","mnemonic","All categories: Number of persons per room in household","Up to 0.5 persons per room","Over 0.5 and up to 1.0 persons per room","Over 1.0 and up to 1.5 persons per room","Over 1.5 persons per room"

"00CNFA0001","E00045077",116,72,44,0,0
"00CNFA0002","E00045078",154,110,44,0,0
"00CNFA0003","E00045079",120,86,34,0,0
"00CNFA0004","E00045080",129,97,32,0,0
"00CNFA0005","E00045081",126,101,19,3,3
"00CNFA0006","E00045082",130,93,33,4,0
"00CNFA0007","E00045083",138,98,37,3,0
"00CNFA0008","E00045084",123,83,40,0,0
"00CNFA0009","E00045085",130,106,24,0,0
"00CNFA0010","E00045086",143,104,39,0,0
"00CNFA0011","E00045087",125,101,21,0,3
"00CNFA0012","E00045088",135,76,53,3,3
"00CNFA0013","E00045089",139,100,36,3,0
"00CNFA0014","E00045090",129,87,42,0,0
"00CNFA0015","E00045091",148,102,40,3,3
"00CNFA0016","E00045092",139,107,32,0,0
"00CNFA0017","E00045093",99,69,27,3,0
"00CNFA0018","E00045094",114,77,37,0,0
"00CNFA0019","E00045095",121,85,36,0,0
"00CNFA0020","E00045096",119,90,26,3,0
"00CNFA0021","E00045097",104,75,29,0,0
"00CNFA0022","E00045098",112,79,30,3,0
"00CNFA0023","E00045099",110,72,35,3,0
"00CNFA0024","E00045100",130,77,37,10,6
"00CNFA0025","E00045101",100,52,48,0,0
"00CNFA0026","E00045102",113,73,40,0,0
"00CNFA0027","E00045103",125,76,46,3,0
"00CNFA0028","E00045104",114,74,36,4,0
"00CNFA0029","E00045105",117,67,43,7,0
"00CNFA0030","E00045106",112,59,46,7,0
"00CNFA0031","E00045107",120,83,34,3,0
"00CNFA0032","E00045108",122,89,33,0,0
"00CNFA0033","E00045109",120,61,52,7,0
"00CNFA0034","E00045110",119,81,38,0,0
"00CNFA0035","E00045111",109,53,50,6,0
"00CNFA0036","E00045112",116,66,47,3,0
"00CNFA0037","E00045113",121,63,52,6,0
"00CNFA0038","E00045114",126,79,44,3,0
"00CNFA0039","E00045115",106,53,43,10,0
"00CNFA0040","E00045116",128,94,31,3,0
"00CNFA0041","E00045117",102,57,42,3,0
"00CNFA0042","E00045118",119,80,36,3,0
"00CNFA0043","E00045119",128,86,39,3,0
"00CNFA0044","E00045120",153,96,42,9,6
"00CNFA0045","E00045121",134,83,47,4,0
"00CNFA0046","E00045122",109,80,29,0,0
"00CNFA0047","E00045123",116,102,14,0,0
"00CNFA0048","E00045124",144,94,47,0,3
"00CNFA0049","E00045125",116,82,28,6,0
"00CNFA0050","E00045126",154,97,51,6,0
"00CNFA0051","E00045127",109,70,39,0,0
"00CNFA0052","E00045128",128,89,39,0,0
"00CNFA0053","E00045129",142,85,46,8,3
"00CNFA0054","E00045130",121,81,37,3,0
"00CNFA0055","E00045131",139,97,39,0,3
"00CNFA0056","E00045132",108,73,35,0,0
"00CNFA0057","E00045133",110,80,27,3,0
"00CNFA0058","E00045134",115,85,30,0,0
"00CNFA0059","E00045135",123,92,28,3,0
"00CNFA0060","E00045136",136,97,36,3,0
"00CNFA0061","E00045137",122,84,38,0,0
"00CNFA0062","E00045138",125,78,41,6,0
"00CNFA0063","E00045139",112,103,9,0,0
"00CNFA0064","E00045140",132,79,47,3,3
"00CNFA0065","E00045141",111,85,26,0,0
"00CNFA0066","E00045142",131,80,42,3,6
"00CNFA0067","E00045143",132,81,48,3,0
"00CNFA0068","E00045144",132,97,35,0,0
"00CNFA0069","E00045145",131,82,46,3,0
"00CNFA0070","E00045146",139,92,47,0,0
"00CNFA0071","E00045147",125,101,24,0,0
"00CNFA0072","E00045148",125,98,24,0,3
"00CNFA0073","E00045149",118,80,35,3,0
"00CNFA0074","E00045150",124,81,40,3,0
"00CNFA0075","E00045151",139,109,24,6,0
"00CNFA0076","E00045152",119,84,32,3,0
"00CNFA0077","E00045153",119,83,33,3,0
"00CNFA0078","E00045154",133,107,23,3,0
"00CNFA0079","E00045155",141,84,57,0,0
"00CNFA0080","E00045156",107,66,41,0,0
"00CNFA0081","E00045157",126,78,48,0,0
"00CNFA0082","E00045158",138,103,35,0,0
"00CNFA0083","E00045159",129,94,32,3,0
"00CNFA0084","E00045160",127,75,49,3,0
"00CNFA0085","E00045161",127,82,42,3,0
"00CNFA0086","E00045162",138,92,37,6,3
"00CNFA0087","E00045163",120,91,29,0,0
"00CNFA0088","E00045164",149,125,24,0,0
"00CNFA0089","E00045165",126,72,51,3,0
"00CNFB0001","E00045166",116,66,41,6,3
"00CNFB0002","E00045167",126,70,43,4,9
"00CNFB0003","E00045168",117,50,53,11,3
"00CNFB0004","E00045169",129,81,42,3,3
"00CNFB0005","E00045170",128,60,46,16,6
"00CNFB0006","E00045171",177,86,79,6,6
"00CNFB0007","E00045172",130,47,65,15,3
"00CNFB0008","E00045173",110,34,55,11,10
"00CNFB0009","E00045174",149,84,59,3,3
"00CNFB0010","E00045175",173,99,49,13,12
"00CNFB0011","E00045176",104,45,51,8,0
"00CNFB0012","E00045177",112,63,33,6,10
"00CNFB0013","E00045178",113,52,49,6,6
"00CNFB0014","E00045179",169,88,63,12,6
"00CNFB0015","E00045180",96,39,35,10,12
"00CNFB0016","E00045181",122,69,40,4,9
"00CNFB0017","E00045182",128,75,50,3,0
"00CNFB0018","E00045183",124,49,55,13,7
"00CNFB0019","E00045184",118,73,42,0,3
"00CNFB0020","E00045185",131,101,24,3,3
"00CNFB0021","E00045186",117,79,28,7,3
"00CNFB0022","E00045187",99,54,41,4,0
"00CNFB0023","E00045188",148,122,23,0,3
"00CNFB0024","E00045189",118,91,21,6,0
"00CNFB0025","E00045190",119,58,47,8,6
"00CNFB0026","E00045191",112,54,42,12,4
