
"KS012a - Occupation groups"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Population :","All people aged 16 to 74 in employment"
"Units      :","Persons"
"Date       :","2001"

"2001 output area","mnemonic","All categories: Occupation","1. Managers and senior officials","2. Professional occupations","3. Associate professional and technical occupations","4. Administrative and secretarial occupations","5. Skilled trades occupations","6. Personal service occupations","7. Sales and customer service occupations","8. Process, plant and machine operatives","9. Elementary occupations"

"00CNFA0001","E00045077",189,44,17,30,29,21,7,7,19,15
"00CNFA0002","E00045078",231,38,23,43,40,24,16,15,20,12
"00CNFA0003","E00045079",93,10,18,18,14,6,7,7,8,5
"00CNFA0004","E00045080",175,29,34,23,25,14,10,16,8,16
"00CNFA0005","E00045081",86,15,20,9,7,4,5,7,11,8
"00CNFA0006","E00045082",145,7,21,23,15,16,21,12,12,18
"00CNFA0007","E00045083",161,13,6,20,31,31,14,14,15,17
"00CNFA0008","E00045084",143,15,17,20,28,13,13,6,17,14
"00CNFA0009","E00045085",105,17,10,18,19,8,14,6,7,6
"00CNFA0010","E00045086",145,8,19,21,30,18,12,7,13,17
"00CNFA0011","E00045087",126,16,14,24,21,11,6,10,10,14
"00CNFA0012","E00045088",174,14,14,23,25,28,14,10,19,27
"00CNFA0013","E00045089",202,21,18,25,32,26,15,22,17,26
"00CNFA0014","E00045090",147,27,23,17,19,13,13,7,12,16
"00CNFA0015","E00045091",139,11,30,14,12,13,12,13,17,17
"00CNFA0016","E00045092",165,16,24,32,25,21,9,5,16,17
"00CNFA0017","E00045093",121,12,13,17,17,14,11,11,12,14
"00CNFA0018","E00045094",128,13,14,9,13,20,10,10,23,16
"00CNFA0019","E00045095",123,16,13,17,12,17,9,14,9,16
"00CNFA0020","E00045096",61,3,4,8,15,6,0,3,12,10
"00CNFA0021","E00045097",123,13,11,12,25,18,6,9,9,20
"00CNFA0022","E00045098",105,10,13,17,10,16,8,4,10,17
"00CNFA0023","E00045099",94,8,3,6,11,13,9,8,20,16
"00CNFA0024","E00045100",103,8,6,9,14,11,7,7,18,23
"00CNFA0025","E00045101",108,5,3,8,9,16,10,11,21,25
"00CNFA0026","E00045102",127,13,7,18,16,18,13,8,16,18
"00CNFA0027","E00045103",156,11,15,15,25,19,16,12,21,22
"00CNFA0028","E00045104",90,4,4,10,9,13,4,7,14,25
"00CNFA0029","E00045105",100,9,4,9,13,14,7,4,14,26
"00CNFA0030","E00045106",107,7,0,8,14,12,7,14,20,25
"00CNFA0031","E00045107",122,8,3,7,15,17,12,11,26,23
"00CNFA0032","E00045108",81,4,4,5,11,14,11,7,11,14
"00CNFA0033","E00045109",115,7,9,10,12,17,8,9,20,23
"00CNFA0034","E00045110",116,21,13,13,17,15,9,10,9,9
"00CNFA0035","E00045111",98,6,4,7,11,10,6,10,18,26
"00CNFA0036","E00045112",142,18,9,18,25,19,10,10,14,19
"00CNFA0037","E00045113",99,11,0,9,8,20,9,10,20,12
"00CNFA0038","E00045114",97,7,4,10,6,12,8,6,19,25
"00CNFA0039","E00045115",84,8,3,5,9,10,4,9,16,20
"00CNFA0040","E00045116",113,10,4,9,17,15,11,11,17,19
"00CNFA0041","E00045117",93,0,5,10,10,6,10,3,23,26
"00CNFA0042","E00045118",118,9,4,14,17,22,10,14,13,15
"00CNFA0043","E00045119",133,11,7,12,16,25,9,11,20,22
"00CNFA0044","E00045120",104,9,3,6,14,13,11,14,14,20
"00CNFA0045","E00045121",128,12,7,13,20,22,11,16,9,18
"00CNFA0046","E00045122",97,11,4,7,11,10,11,7,12,24
"00CNFA0047","E00045123",63,5,4,3,11,9,11,5,6,9
"00CNFA0048","E00045124",116,5,4,12,10,23,6,7,20,29
"00CNFA0049","E00045125",116,9,12,14,17,14,7,11,18,14
"00CNFA0050","E00045126",156,19,10,13,26,21,11,17,14,25
"00CNFA0051","E00045127",115,9,10,9,17,14,5,14,15,22
"00CNFA0052","E00045128",150,16,17,21,23,16,13,10,16,18
"00CNFA0053","E00045129",156,18,13,21,23,7,15,16,24,19
"00CNFA0054","E00045130",137,14,7,10,18,17,14,14,31,12
"00CNFA0055","E00045131",140,14,9,18,20,19,12,3,23,22
"00CNFA0056","E00045132",102,8,8,7,17,13,11,6,13,19
"00CNFA0057","E00045133",118,15,7,10,14,14,9,15,12,22
"00CNFA0058","E00045134",95,14,5,9,11,15,7,4,12,18
"00CNFA0059","E00045135",93,10,8,11,9,7,11,12,15,10
"00CNFA0060","E00045136",115,13,8,11,15,20,10,10,12,16
"00CNFA0061","E00045137",154,20,10,24,23,20,15,14,14,14
"00CNFA0062","E00045138",124,11,8,12,19,17,8,5,17,27
"00CNFA0063","E00045139",17,0,3,0,4,3,4,0,3,0
"00CNFA0064","E00045140",107,9,3,8,17,10,12,6,19,23
"00CNFA0065","E00045141",124,17,6,17,19,17,8,9,16,15
"00CNFA0066","E00045142",157,13,7,15,22,23,14,12,32,19
"00CNFA0067","E00045143",149,18,11,23,19,21,13,12,10,22
"00CNFA0068","E00045144",189,25,24,34,35,19,10,12,15,15
