
"KS017 - Cars or Vans"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Population :","All households"
"Units      :","Persons and Households"
"Date       :","2001"

"2001 output area","mnemonic","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 cars or vans in household","4 or more cars or vans in household"

"00CNFA0001","E00045077",9,45,61,3,0
"00CNFA0002","E00045078",12,78,51,11,0
"00CNFA0003","E00045079",69,45,8,0,0
"00CNFA0004","E00045080",23,57,42,11,3
"00CNFA0005","E00045081",74,38,11,4,0
"00CNFA0006","E00045082",51,60,19,3,0
"00CNFA0007","E00045083",29,65,38,3,3
"00CNFA0008","E00045084",45,63,12,6,0
"00CNFA0009","E00045085",57,54,15,0,0
"00CNFA0010","E00045086",44,73,19,3,0
"00CNFA0011","E00045087",51,50,15,4,0
"00CNFA0012","E00045088",19,69,31,7,3
"00CNFA0013","E00045089",22,68,40,9,3
"00CNFA0014","E00045090",51,53,17,6,0
"00CNFA0015","E00045091",58,67,18,0,3
"00CNFA0016","E00045092",46,60,29,6,0
"00CNFA0017","E00045093",40,46,15,0,3
"00CNFA0018","E00045094",37,58,18,3,0
"00CNFA0019","E00045095",43,62,15,3,3
"00CNFA0020","E00045096",78,36,5,0,0
"00CNFA0021","E00045097",35,50,21,3,0
"00CNFA0022","E00045098",44,52,12,3,0
"00CNFA0023","E00045099",55,43,11,3,0
"00CNFA0024","E00045100",69,47,12,3,0
"00CNFA0025","E00045101",35,54,12,3,0
"00CNFA0026","E00045102",31,63,23,4,0
"00CNFA0027","E00045103",28,69,21,5,3
"00CNFA0028","E00045104",60,51,5,3,0
"00CNFA0029","E00045105",60,46,11,0,0
"00CNFA0030","E00045106",49,48,14,0,3
"00CNFA0031","E00045107",49,59,14,0,0
"00CNFA0032","E00045108",68,52,5,0,0
"00CNFA0033","E00045109",54,53,16,0,0
"00CNFA0034","E00045110",38,49,23,6,0
"00CNFA0035","E00045111",54,41,12,3,0
"00CNFA0036","E00045112",37,56,17,4,0
"00CNFA0037","E00045113",49,53,9,3,3
"00CNFA0038","E00045114",61,46,13,0,0
"00CNFA0039","E00045115",58,37,10,0,0
"00CNFA0040","E00045116",54,49,18,4,0
"00CNFA0041","E00045117",46,40,11,0,3
"00CNFA0042","E00045118",41,60,16,3,0
"00CNFA0043","E00045119",60,56,15,4,0
"00CNFA0044","E00045120",71,55,10,3,3
"00CNFA0045","E00045121",49,59,19,0,0
"00CNFA0046","E00045122",64,35,11,0,0
"00CNFA0047","E00045123",63,48,5,0,3
"00CNFA0048","E00045124",67,65,7,3,0
"00CNFA0049","E00045125",46,57,11,0,3
"00CNFA0050","E00045126",44,80,18,3,0
"00CNFA0051","E00045127",40,51,12,0,0
"00CNFA0052","E00045128",43,53,29,6,0
"00CNFA0053","E00045129",50,65,19,3,3
"00CNFA0054","E00045130",40,60,17,3,0
"00CNFA0055","E00045131",73,55,12,0,0
"00CNFA0056","E00045132",60,44,3,0,0
"00CNFA0057","E00045133",43,57,9,0,0
"00CNFA0058","E00045134",58,43,14,0,0
"00CNFA0059","E00045135",66,48,8,0,0
"00CNFA0060","E00045136",67,54,12,3,0
"00CNFA0061","E00045137",29,53,30,5,3
"00CNFA0062","E00045138",49,56,17,0,0
"00CNFA0063","E00045139",97,14,0,0,0
"00CNFA0064","E00045140",61,52,6,3,3
"00CNFA0065","E00045141",34,63,17,0,0
"00CNFA0066","E00045142",44,58,25,3,0
"00CNFA0067","E00045143",37,63,19,3,3
"00CNFA0068","E00045144",25,73,28,5,0
"00CNFA0069","E00045145",45,69,16,3,0
"00CNFA0070","E00045146",33,66,36,5,3
"00CNFA0071","E00045147",69,40,12,3,3
"00CNFA0072","E00045148",59,51,11,0,0
"00CNFA0073","E00045149",27,62,21,5,0
"00CNFA0074","E00045150",32,61,27,4,0
"00CNFA0075","E00045151",50,58,25,3,3
"00CNFA0076","E00045152",40,56,21,3,0
"00CNFA0077","E00045153",37,60,22,0,3
"00CNFA0078","E00045154",28,72,30,4,0
"00CNFA0079","E00045155",22,75,42,4,3
"00CNFA0080","E00045156",28,56,19,5,0
"00CNFA0081","E00045157",23,62,34,6,3
"00CNFA0082","E00045158",34,79,21,3,0
"00CNFA0083","E00045159",39,67,23,0,3
"00CNFA0084","E00045160",45,71,11,5,0
"00CNFA0085","E00045161",58,56,11,0,0
"00CNFA0086","E00045162",49,78,13,0,0
"00CNFA0087","E00045163",37,65,19,0,0
"00CNFA0088","E00045164",100,41,8,3,0
"00CNFA0089","E00045165",51,55,19,3,0
"00CNFB0001","E00045166",70,32,9,0,0
"00CNFB0002","E00045167",76,45,3,3,0
"00CNFB0003","E00045168",63,50,8,4,0
"00CNFB0004","E00045169",81,41,10,0,0
"00CNFB0005","E00045170",75,31,13,0,0
"00CNFB0006","E00045171",111,43,13,0,0
"00CNFB0007","E00045172",65,49,12,3,0
"00CNFB0008","E00045173",55,50,7,0,0
"00CNFB0009","E00045174",97,49,5,3,0
"00CNFB0010","E00045175",107,56,6,0,3
"00CNFB0011","E00045176",61,46,5,0,0
"00CNFB0012","E00045177",69,38,4,0,0
"00CNFB0013","E00045178",59,52,0,0,0
"00CNFB0014","E00045179",98,57,7,0,3
"00CNFB0015","E00045180",53,32,8,0,0
"00CNFB0016","E00045181",75,45,6,3,3
"00CNFB0017","E00045182",83,42,4,0,0
"00CNFB0018","E00045183",66,51,7,0,0
"00CNFB0019","E00045184",83,32,3,3,3
"00CNFB0020","E00045185",108,19,5,0,0
"00CNFB0021","E00045186",79,38,4,0,0
"00CNFB0022","E00045187",72,30,3,0,0
"00CNFB0023","E00045188",109,33,3,0,0
"00CNFB0024","E00045189",77,38,5,0,0
"00CNFB0025","E00045190",58,44,16,3,3
"00CNFB0026","E00045191",64,35,7,0,0
"00CNFB0027","E00045192",88,36,0,0,0
"00CNFB0028","E00045193",74,50,8,0,0
"00CNFB0029","E00045194",86,38,5,0,0
"00CNFB0030","E00045195",63,49,10,3,3
"00CNFB0031","E00045196",104,28,3,0,0
"00CNFB0032","E00045197",39,44,19,0,0
"00CNFB0033","E00045198",78,21,0,0,0
"00CNFB0034","E00045199",86,40,6,0,3
"00CNFB0035","E00045200",87,48,5,0,0
"00CNFB0036","E00045201",106,39,4,0,3
"00CNFB0037","E00045202",100,41,5,0,0
"00CNFB0038","E00045203",108,51,9,0,0
"00CNFB0039","E00045204",114,37,4,6,0
"00CNFB0040","E00045205",95,37,0,3,3
"00CNFB0041","E00045206",85,58,6,0,0
"00CNFB0042","E00045207",92,42,4,0,0
"00CNFB0043","E00045208",111,41,7,0,0
"00CNFB0044","E00045209",55,48,12,3,0
"00CNFB0045","E00045210",133,26,8,0,0
"00CNFB0046","E00045211",76,61,10,0,0
"00CNFB0047","E00045212",126,33,6,0,0
"00CNFB0048","E00045213",45,60,23,3,0
"00CNFB0049","E00045214",72,50,8,0,0
"00CNFB0050","E00045215",71,55,16,3,0
"00CNFB0051","E00045216",56,41,13,0,0
"00CNFB0052","E00045217",67,43,6,0,0
"00CNFB0053","E00045218",65,65,6,0,0
"00CNFB0054","E00045219",73,59,5,0,0
"00CNFB0055","E00045220",50,49,6,3,0
"00CNFB0056","E00045221",56,45,9,0,0
"00CNFB0057","E00045222",76,39,3,0,0
"00CNFB0058","E00045223",58,43,5,0,0
"00CNFB0059","E00045224",61,35,4,0,0
"00CNFB0060","E00045225",58,30,3,0,3
"00CNFB0061","E00045226",56,30,3,0,0
"00CNFB0062","E00045227",41,47,7,0,3
"00CNFB0063","E00045228",44,54,9,3,0
"00CNFB0064","E00045229",118,47,3,0,0
"00CNFB0065","E00045230",127,34,5,0,0
"00CNFB0066","E00045231",40,32,4,0,0
"00CNFB0067","E00045232",52,44,7,3,0
"00CNFB0068","E00045233",100,28,3,0,0
"00CNFB0069","E00045234",68,35,9,0,0
"00CNFB0070","E00045235",42,46,4,3,0
"00CNFB0071","E00045236",75,41,7,0,0
"00CNFB0072","E00045237",53,28,12,0,0
"00CNFB0073","E00045238",52,43,12,0,3
"00CNFB0074","E00045239",50,47,18,0,3
"00CNFB0075","E00045240",58,33,5,0,0
"00CNFB0076","E00045241",60,44,9,0,0
"00CNFB0077","E00045242",79,26,3,0,0
"00CNFB0078","E00045243",93,21,0,0,0
"00CNFB0079","E00045244",52,38,9,0,0
"00CNFB0080","E00045245",70,50,6,3,0
"00CNFB0081","E00045246",63,31,6,3,0
"00CNFB0082","E00045247",54,25,7,0,0
"00CNFB0083","E00045248",87,44,0,3,0
"00CNFC0001","E00045249",61,55,11,0,0
"00CNFC0002","E00045250",69,52,13,3,3
"00CNFC0003","E00045251",47,42,13,0,0
"00CNFC0004","E00045252",62,58,14,3,0
"00CNFC0005","E00045253",11,60,41,5,0
"00CNFC0006","E00045254",43,49,11,3,0
"00CNFC0007","E00045255",6,58,70,9,3
"00CNFC0008","E00045256",79,57,4,0,0
"00CNFC0009","E00045257",24,80,34,5,0
"00CNFC0010","E00045258",52,58,21,3,3
"00CNFC0011","E00045259",63,58,7,0,0
"00CNFC0012","E00045260",23,70,27,4,0
"00CNFC0013","E00045261",59,74,10,3,0
"00CNFC0014","E00045262",71,53,18,0,0
"00CNFC0015","E00045263",71,33,6,0,0
"00CNFC0016","E00045264",76,42,14,0,3
"00CNFC0017","E00045265",62,56,9,6,0
"00CNFC0018","E00045266",59,43,13,3,3
"00CNFC0019","E00045267",74,26,7,0,0
"00CNFC0020","E00045268",54,31,17,3,0
"00CNFC0021","E00045269",12,58,38,4,3
"00CNFC0022","E00045270",37,42,18,0,0
"00CNFC0023","E00045271",64,29,3,4,0
"00CNFC0024","E00045272",62,26,5,0,0
"00CNFC0025","E00045273",61,18,6,0,0
"00CNFC0026","E00045274",43,22,8,3,0
"00CNFC0027","E00045275",13,50,48,11,3
"00CNFC0028","E00045276",68,47,15,5,0
"00CNFC0029","E00045277",57,59,13,3,0
"00CNFC0030","E00045278",9,62,47,6,0
"00CNFC0031","E00045279",21,49,33,0,0
"00CNFC0032","E00045280",54,40,11,3,0
"00CNFC0033","E00045281",57,56,11,4,0
"00CNFC0034","E00045282",42,58,16,4,0
"00CNFC0035","E00045283",64,59,18,0,0
"00CNFC0036","E00045284",80,42,10,3,0
"00CNFC0037","E00045285",60,56,12,0,0
"00CNFC0038","E00045286",65,51,15,0,0
"00CNFC0039","E00045287",44,50,14,3,0
"00CNFC0040","E00045288",51,49,18,4,3
"00CNFC0041","E00045289",70,33,6,0,0
"00CNFC0042","E00045290",65,38,8,0,0
"00CNFC0043","E00045291",57,40,16,4,0
"00CNFC0044","E00045292",59,48,13,3,0
"00CNFC0045","E00045293",98,48,10,0,0
"00CNFC0046","E00045294",71,39,17,3,3
"00CNFC0047","E00045295",68,38,11,3,0
"00CNFC0048","E00045296",27,68,37,4,0
"00CNFC0049","E00045297",16,68,35,9,3
"00CNFC0050","E00045298",28,64,37,4,0
"00CNFC0051","E00045299",44,57,29,4,0
"00CNFC0052","E00045300",46,58,24,3,0
"00CNFC0053","E00045301",22,59,32,9,0
"00CNFC0054","E00045302",70,40,4,0,0
"00CNFC0055","E00045303",46,83,20,0,0
"00CNFC0056","E00045304",61,45,9,0,0
"00CNFC0057","E00045305",10,68,34,10,5
"00CNFC0058","E00045306",14,64,40,9,0
"00CNFC0059","E00045307",82,41,5,0,0
"00CNFC0060","E00045308",54,50,22,4,0
"00CNFC0061","E00045309",66,50,13,3,0
"00CNFC0062","E00045310",67,52,6,3,0
"00CNFC0063","E00045311",54,48,12,3,3
"00CNFC0064","E00045312",16,70,34,7,0
"00CNFC0065","E00045313",28,55,35,8,3
"00CNFC0066","E00045314",91,32,3,0,0
"00CNFC0067","E00045315",66,57,12,3,0
"00CNFC0068","E00045316",88,34,5,0,0
"00CNFC0069","E00045317",45,52,23,3,3
"00CNFC0070","E00045318",58,48,20,0,0
"00CNFC0071","E00045319",75,45,9,0,0
"00CNFC0072","E00045320",61,60,15,3,0
"00CNFC0073","E00045321",76,40,7,3,0
"00CNFC0074","E00045322",92,31,7,3,0
"00CNFC0075","E00045323",92,29,3,0,0
"00CNFC0076","E00045324",63,55,13,3,0
"00CNFC0077","E00045325",61,63,5,3,0
"00CNFD0001","E00045326",12,50,50,7,0
"00CNFD0002","E00045327",16,45,32,5,0
"00CNFD0003","E00045328",23,73,46,5,4
"00CNFD0004","E00045329",56,57,9,3,0
"00CNFD0005","E00045330",70,43,13,0,0
"00CNFD0006","E00045331",49,66,5,3,0
"00CNFD0007","E00045332",58,52,17,0,0
"00CNFD0008","E00045333",53,52,21,0,3
"00CNFD0009","E00045334",84,52,8,0,0
"00CNFD0010","E00045335",50,54,14,3,0
"00CNFD0011","E00045336",34,63,22,0,3
"00CNFD0012","E00045337",66,49,11,3,0
"00CNFD0013","E00045338",37,63,20,4,3
"00CNFD0014","E00045339",47,53,11,10,0
"00CNFD0015","E00045340",55,43,14,3,3
"00CNFD0016","E00045341",45,56,13,3,0
"00CNFD0017","E00045342",27,71,24,5,3
"00CNFD0018","E00045343",39,61,29,3,0
"00CNFD0019","E00045344",68,48,4,0,0
"00CNFD0020","E00045345",51,61,23,3,3
"00CNFD0021","E00045346",52,62,14,0,0
"00CNFD0022","E00045347",40,62,17,3,3
"00CNFD0023","E00045348",63,58,16,0,0
"00CNFD0024","E00045349",14,58,39,7,4
"00CNFD0025","E00045350",46,63,12,3,3
"00CNFD0026","E00045351",60,54,18,3,0
"00CNFD0027","E00045352",41,68,18,3,3
"00CNFD0028","E00045353",53,71,15,3,0
"00CNFD0029","E00045354",41,55,31,3,0
"00CNFD0030","E00045355",48,59,13,4,0
"00CNFD0031","E00045356",60,50,9,0,3
"00CNFD0032","E00045357",54,51,16,3,0
"00CNFD0033","E00045358",37,55,16,0,0
"00CNFD0034","E00045359",38,63,33,0,3
"00CNFD0035","E00045360",26,63,41,3,0
"00CNFD0036","E00045361",25,47,34,9,0
"00CNFD0037","E00045362",63,67,17,3,0
"00CNFD0038","E00045363",43,66,16,3,0
"00CNFD0039","E00045364",35,61,28,4,3
"00CNFD0040","E00045365",22,55,39,6,0
"00CNFD0041","E00045366",31,63,26,3,0
"00CNFD0042","E00045367",59,34,12,0,0
"00CNFD0043","E00045368",29,58,27,3,3
"00CNFD0044","E00045369",8,60,54,9,0
"00CNFD0045","E00045370",31,71,38,5,0
"00CNFD0046","E00045371",27,65,35,4,3
"00CNFD0047","E00045372",11,72,43,3,0
"00CNFD0048","E00045373",18,65,41,10,0
"00CNFD0049","E00045374",21,67,45,4,3
"00CNFD0050","E00045375",48,68,14,6,0
"00CNFD0051","E00045376",50,63,10,0,0
"00CNFD0052","E00045377",13,53,55,7,3
"00CNFD0053","E00045378",54,41,22,6,0
"00CNFD0054","E00045379",58,63,18,0,0
"00CNFD0055","E00045380",37,59,20,3,0
"00CNFD0056","E00045381",68,47,21,3,0
"00CNFD0057","E00045382",9,48,39,6,3
"00CNFD0058","E00045383",68,53,21,3,0
"00CNFD0059","E00045384",71,64,9,3,0
"00CNFD0060","E00045385",84,40,6,0,3
"00CNFD0061","E00045386",19,53,42,9,0
"00CNFD0062","E00045387",20,43,43,9,4
"00CNFD0063","E00045388",53,51,16,3,0
"00CNFD0064","E00045389",94,40,5,0,0
"00CNFD0065","E00045390",16,46,37,6,3
"00CNFD0066","E00045391",34,56,34,10,0
"00CNFD0067","E00045392",74,37,3,0,0
"00CNFD0068","E00045393",54,48,10,3,0
"00CNFD0069","E00045394",64,55,18,0,0
"00CNFD0070","E00045395",52,58,8,0,0
"00CNFD0071","E00045396",49,52,15,4,0
"00CNFD0072","E00045397",46,56,19,0,3
"00CNFD0073","E00045398",80,47,5,3,0
"00CNFD0074","E00045399",52,56,16,3,0
"00CNFD0075","E00045400",47,52,9,3,3
"00CNFD0076","E00045401",51,44,16,0,0
"00CNFD0077","E00045402",52,62,19,5,0
"00CNFD0078","E00045403",40,48,26,3,0
"00CNFD0079","E00045404",75,25,0,0,0
"00CNFD0080","E00045405",46,44,5,3,0
"00CNFD0081","E00045406",38,68,19,3,0
"00CNFD0082","E00045407",39,60,25,0,0
"00CNFD0083","E00045408",52,48,8,0,0
"00CNFD0084","E00045409",39,45,17,3,0
"00CNFD0085","E00045410",44,46,15,3,0
"00CNFD0086","E00045411",34,50,27,5,0
"00CNFD0087","E00045412",66,56,8,0,0
"00CNFE0001","E00045413",87,21,0,0,0
"00CNFE0002","E00045414",44,49,8,0,0
"00CNFE0003","E00045415",46,71,19,3,0
"00CNFE0004","E00045416",20,67,26,3,0
"00CNFE0005","E00045417",22,47,32,3,3
"00CNFE0006","E00045418",57,26,23,0,0
"00CNFE0007","E00045419",55,68,12,3,0
"00CNFE0008","E00045420",59,76,13,3,0
"00CNFE0009","E00045421",50,67,26,4,0
"00CNFE0010","E00045422",28,68,23,0,0
"00CNFE0011","E00045423",30,71,28,3,0
"00CNFE0012","E00045424",11,46,48,11,0
"00CNFE0013","E00045425",25,57,21,3,0
"00CNFE0014","E00045426",48,58,13,3,0
"00CNFE0015","E00045427",39,59,20,6,0
"00CNFE0016","E00045428",45,63,24,0,0
"00CNFE0017","E00045429",34,57,28,0,0
"00CNFE0018","E00045430",42,59,18,3,0
"00CNFE0019","E00045431",31,67,26,3,0
"00CNFE0020","E00045432",49,60,17,0,0
"00CNFE0021","E00045433",14,55,39,7,0
"00CNFE0022","E00045434",84,26,8,0,0
"00CNFE0023","E00045435",71,54,8,4,0
"00CNFE0024","E00045436",37,66,29,0,0
"00CNFE0025","E00045437",73,34,20,0,0
"00CNFE0026","E00045438",65,59,25,5,3
"00CNFE0027","E00045439",37,67,21,0,0
"00CNFE0028","E00045440",45,39,23,5,0
"00CNFE0029","E00045441",39,44,30,7,3
"00CNFE0030","E00045442",31,47,39,4,0
"00CNFE0031","E00045443",42,80,27,3,0
"00CNFE0032","E00045444",41,47,34,4,0
"00CNFE0033","E00045445",51,56,19,3,0
"00CNFE0034","E00045446",24,54,31,5,4
"00CNFE0035","E00045447",43,70,18,3,0
"00CNFE0036","E00045448",75,55,10,0,0
"00CNFE0037","E00045449",31,69,26,7,0
"00CNFE0038","E00045450",33,54,20,7,6
"00CNFE0039","E00045451",25,71,29,9,0
"00CNFE0040","E00045452",56,55,20,3,0
"00CNFE0041","E00045453",35,62,16,0,0
"00CNFE0042","E00045454",50,60,15,3,3
"00CNFE0043","E00045455",91,24,3,0,3
"00CNFE0044","E00045456",76,31,18,4,0
"00CNFE0045","E00045457",63,46,13,0,0
"00CNFE0046","E00045458",34,54,34,3,3
"00CNFE0047","E00045459",47,62,22,4,0
"00CNFE0048","E00045460",45,56,20,3,3
"00CNFE0049","E00045461",34,72,16,3,0
"00CNFE0050","E00045462",56,53,19,5,0
"00CNFE0051","E00045463",47,63,13,4,0
"00CNFE0052","E00045464",40,60,21,3,0
"00CNFE0053","E00045465",28,36,30,5,3
"00CNFE0054","E00045466",24,62,18,0,0
"00CNFE0055","E00045467",39,54,20,0,0
"00CNFE0056","E00045468",36,57,22,0,0
"00CNFE0057","E00045469",46,57,22,5,3
"00CNFE0058","E00045470",32,73,24,3,3
"00CNFE0059","E00045471",29,58,38,10,3
"00CNFE0060","E00045472",53,56,20,0,0
"00CNFE0061","E00045473",42,68,19,3,3
"00CNFE0062","E00045474",27,61,34,3,0
"00CNFE0063","E00045475",44,53,12,4,3
"00CNFE0064","E00045476",42,72,24,3,0
"00CNFE0065","E00045477",51,36,20,3,0
"00CNFE0066","E00045478",45,52,11,4,0
"00CNFE0067","E00045479",5,59,54,8,3
"00CNFE0068","E00045480",32,75,22,3,3
"00CNFE0069","E00045481",52,66,19,3,0
"00CNFE0070","E00045482",50,41,13,3,3
"00CNFE0071","E00045483",20,88,32,3,0
"00CNFE0072","E00045484",18,76,35,0,0
"00CNFE0073","E00045485",82,32,3,3,0
"00CNFE0074","E00045486",39,74,24,3,0
"00CNFE0075","E00045487",29,67,27,5,0
"00CNFE0076","E00045488",50,57,22,3,0
"00CNFE0077","E00045489",57,40,9,0,3
"00CNFE0078","E00045490",14,44,29,8,3
"00CNFE0079","E00045491",61,46,17,3,0
"00CNFE0080","E00045492",56,31,8,0,0
"00CNFE0081","E00045493",36,58,35,4,0
"00CNFE0082","E00045494",23,59,36,0,0
"00CNFE0083","E00045495",27,51,26,4,0
"00CNFE0084","E00045496",69,45,14,3,0
"00CNFE0085","E00045497",24,64,19,3,0
"00CNFF0001","E00045498",22,53,44,6,0
"00CNFF0002","E00045499",46,53,27,3,0
"00CNFF0003","E00045500",56,56,16,0,0
"00CNFF0004","E00045501",52,60,17,0,3
"00CNFF0005","E00045502",57,53,12,3,0
"00CNFF0006","E00045503",63,56,12,3,0
"00CNFF0007","E00045504",71,51,13,0,3
"00CNFF0008","E00045505",77,44,12,3,0
"00CNFF0009","E00045506",42,58,34,5,0
"00CNFF0010","E00045507",57,60,13,3,0
"00CNFF0011","E00045508",39,64,15,6,3
"00CNFF0012","E00045509",107,34,3,3,0
"00CNFF0013","E00045510",82,41,3,0,0
"00CNFF0014","E00045511",63,51,13,3,0
"00CNFF0015","E00045512",75,54,5,0,3
"00CNFF0016","E00045513",85,52,0,0,3
"00CNFF0017","E00045514",85,48,7,0,0
"00CNFF0018","E00045515",91,38,6,3,0
"00CNFF0019","E00045516",62,61,16,0,3
"00CNFF0020","E00045517",82,52,4,0,0
"00CNFF0021","E00045518",99,47,3,0,3
"00CNFF0022","E00045519",70,47,5,0,0
