
"KS018 - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2001"

"2001 output area","mnemonic","All categories: Tenure","Owned outright","Owned with a mortgage or loan","Shared ownership","Rented from council(local authority)","Rented from a housing association/registered social landlord","Rented from a private landlord or letting agency","Other"

"00CNFA0001","E00045077",119,15,74,15,6,6,0,3
"00CNFA0002","E00045078",153,20,125,0,5,0,3,0
"00CNFA0003","E00045079",122,14,15,0,12,42,33,6
"00CNFA0004","E00045080",138,50,75,0,3,3,3,4
"00CNFA0005","E00045081",129,25,26,3,46,4,16,9
"00CNFA0006","E00045082",134,40,40,0,9,11,27,7
"00CNFA0007","E00045083",137,40,80,3,4,0,10,0
"00CNFA0008","E00045084",126,34,33,0,16,7,30,6
"00CNFA0009","E00045085",128,31,26,3,7,14,41,6
"00CNFA0010","E00045086",141,38,58,3,14,21,3,4
"00CNFA0011","E00045087",118,30,35,0,19,4,30,0
"00CNFA0012","E00045088",133,55,69,0,0,3,3,3
"00CNFA0013","E00045089",141,19,102,0,14,0,3,3
"00CNFA0014","E00045090",127,36,37,0,7,21,26,0
"00CNFA0015","E00045091",146,27,25,3,8,18,56,9
"00CNFA0016","E00045092",139,42,51,0,17,4,22,3
"00CNFA0017","E00045093",106,25,29,3,5,5,35,4
"00CNFA0018","E00045094",115,32,50,3,26,0,4,0
"00CNFA0019","E00045095",124,22,58,0,37,0,4,3
"00CNFA0020","E00045096",119,18,13,0,70,0,4,14
"00CNFA0021","E00045097",104,28,51,0,3,0,22,0
"00CNFA0022","E00045098",112,31,46,0,20,3,7,5
"00CNFA0023","E00045099",110,18,33,3,45,0,6,5
"00CNFA0024","E00045100",126,23,39,0,60,0,0,4
"00CNFA0025","E00045101",102,17,43,0,36,0,6,0
"00CNFA0026","E00045102",122,26,53,0,13,23,4,3
"00CNFA0027","E00045103",122,32,50,0,0,31,6,3
"00CNFA0028","E00045104",120,20,37,3,47,3,5,5
"00CNFA0029","E00045105",118,15,38,3,52,0,5,5
"00CNFA0030","E00045106",113,20,41,0,35,7,6,4
"00CNFA0031","E00045107",122,27,51,0,34,3,3,4
"00CNFA0032","E00045108",127,26,31,0,60,3,0,7
"00CNFA0033","E00045109",126,17,42,0,54,3,3,7
"00CNFA0034","E00045110",118,39,42,3,5,24,5,0
"00CNFA0035","E00045111",107,18,36,0,46,4,3,0
"00CNFA0036","E00045112",114,37,55,0,13,0,4,5
"00CNFA0037","E00045113",117,22,32,0,52,4,3,4
