
"UV020 - General health"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Population :","All people"
"Units      :","Persons"
"Date       :","2001"

"2001 output area","mnemonic","Total","Good health","Fairly good health","Not good health"

"00CNFA0001","E00045077",350,289,52,9
"00CNFA0002","E00045078",371,302,48,21
"00CNFA0003","E00045079",213,127,57,29
"00CNFA0004","E00045080",373,282,59,32
"00CNFA0005","E00045081",264,120,71,73
"00CNFA0006","E00045082",358,236,80,42
"00CNFA0007","E00045083",301,223,64,14
"00CNFA0008","E00045084",287,174,77,36
"00CNFA0009","E00045085",244,137,75,32
"00CNFA0010","E00045086",324,204,79,41
"00CNFA0011","E00045087",231,141,59,31
"00CNFA0012","E00045088",336,249,70,17
"00CNFA0013","E00045089",335,246,66,23
"00CNFA0014","E00045090",309,197,81,31
"00CNFA0015","E00045091",369,235,89,45
"00CNFA0016","E00045092",318,209,75,34
"00CNFA0017","E00045093",269,178,58,33
"00CNFA0018","E00045094",292,192,71,29
"00CNFA0019","E00045095",304,215,54,35
"00CNFA0020","E00045096",216,109,71,36
"00CNFA0021","E00045097",279,186,74,19
"00CNFA0022","E00045098",248,172,48,28
"00CNFA0023","E00045099",255,143,80,32
"00CNFA0024","E00045100",340,195,98,47
"00CNFA0025","E00045101",269,178,57,34
"00CNFA0026","E00045102",317,210,73,34
"00CNFA0027","E00045103",318,208,75,35
"00CNFA0028","E00045104",297,197,69,31
"00CNFA0029","E00045105",297,201,65,31
"00CNFA0030","E00045106",309,209,62,38
"00CNFA0031","E00045107",273,172,72,29
"00CNFA0032","E00045108",242,142,54,46
"00CNFA0033","E00045109",368,251,82,35
"00CNFA0034","E00045110",264,163,67,34
"00CNFA0035","E00045111",303,201,69,33
"00CNFA0036","E00045112",315,202,83,30
"00CNFA0037","E00045113",303,191,78,34
"00CNFA0038","E00045114",272,167,70,35
"00CNFA0039","E00045115",304,184,83,37
"00CNFA0040","E00045116",287,154,94,39
"00CNFA0041","E00045117",264,143,69,52
"00CNFA0042","E00045118",296,192,74,30
"00CNFA0043","E00045119",311,203,73,35
"00CNFA0044","E00045120",311,188,85,38
"00CNFA0045","E00045121",316,181,93,42
"00CNFA0046","E00045122",223,125,62,36
"00CNFA0047","E00045123",209,103,60,46
"00CNFA0048","E00045124",318,183,83,52
"00CNFA0049","E00045125",271,185,55,31
"00CNFA0050","E00045126",350,240,80,30
"00CNFA0051","E00045127",257,171,61,25
"00CNFA0052","E00045128",368,255,72,41
"00CNFA0053","E00045129",375,285,63,27
"00CNFA0054","E00045130",277,186,68,23
"00CNFA0055","E00045131",324,204,92,28
"00CNFA0056","E00045132",225,132,64,29
"00CNFA0057","E00045133",245,177,43,25
"00CNFA0058","E00045134",267,190,53,24
"00CNFA0059","E00045135",270,171,58,41
"00CNFA0060","E00045136",309,190,67,52
"00CNFA0061","E00045137",304,200,74,30
"00CNFA0062","E00045138",296,193,71,32
"00CNFA0063","E00045139",131,38,51,42
"00CNFA0064","E00045140",285,177,68,40
"00CNFA0065","E00045141",251,174,50,27
"00CNFA0066","E00045142",345,215,94,36
"00CNFA0067","E00045143",327,224,81,22
"00CNFA0068","E00045144",298,230,50,18
"00CNFA0069","E00045145",321,210,84,27
"00CNFA0070","E00045146",353,238,80,35
"00CNFA0071","E00045147",232,146,53,33
"00CNFA0072","E00045148",242,151,60,31
"00CNFA0073","E00045149",270,180,69,21
"00CNFA0074","E00045150",310,225,55,30
"00CNFA0075","E00045151",276,183,71,22
"00CNFA0076","E00045152",311,208,74,29
"00CNFA0077","E00045153",292,185,75,32
"00CNFA0078","E00045154",280,203,60,17
"00CNFA0079","E00045155",380,266,88,26
"00CNFA0080","E00045156",273,184,69,20
"00CNFA0081","E00045157",317,201,88,28
"00CNFA0082","E00045158",297,215,63,19
"00CNFA0083","E00045159",281,177,79,25
"00CNFA0084","E00045160",377,266,73,38
"00CNFA0085","E00045161",320,213,71,36
"00CNFA0086","E00045162",318,210,77,31
"00CNFA0087","E00045163",274,195,50,29
"00CNFA0088","E00045164",229,110,67,52
"00CNFA0089","E00045165",371,250,83,38
"00CNFB0001","E00045166",313,202,73,38
"00CNFB0002","E00045167",389,235,105,49
"00CNFB0003","E00045168",440,307,86,47
"00CNFB0004","E00045169",345,212,95,38
"00CNFB0005","E00045170",377,253,70,54
"00CNFB0006","E00045171",467,277,131,59
"00CNFB0007","E00045172",480,355,81,44
"00CNFB0008","E00045173",485,312,126,47
"00CNFB0009","E00045174",391,248,79,64
"00CNFB0010","E00045175",507,307,137,63
"00CNFB0011","E00045176",416,271,104,41
"00CNFB0012","E00045177",302,174,77,51
"00CNFB0013","E00045178",379,237,105,37
"00CNFB0014","E00045179",443,270,123,50
"00CNFB0015","E00045180",317,210,72,35
"00CNFB0016","E00045181",393,224,118,51
"00CNFB0017","E00045182",305,179,90,36
"00CNFB0018","E00045183",448,307,105,36
"00CNFB0019","E00045184",275,170,64,41
"00CNFB0020","E00045185",235,117,85,33
"00CNFB0021","E00045186",317,193,75,49
"00CNFB0022","E00045187",286,192,54,40
"00CNFB0023","E00045188",166,80,45,41
"00CNFB0024","E00045189",262,181,56,25
"00CNFB0025","E00045190",367,239,100,28
"00CNFB0026","E00045191",324,199,86,39
"00CNFB0027","E00045192",183,95,41,47
"00CNFB0028","E00045193",352,216,97,39
"00CNFB0029","E00045194",298,183,74,41
"00CNFB0030","E00045195",335,208,84,43
"00CNFB0031","E00045196",276,170,70,36
"00CNFB0032","E00045197",323,224,74,25
"00CNFB0033","E00045198",119,43,33,43
"00CNFB0034","E00045199",305,179,89,37
"00CNFB0035","E00045200",384,251,80,53
"00CNFB0036","E00045201",286,182,69,35
"00CNFB0037","E00045202",316,192,74,50
"00CNFB0038","E00045203",335,205,90,40
"00CNFB0039","E00045204",243,140,74,29
"00CNFB0040","E00045205",242,140,66,36
"00CNFB0041","E00045206",378,240,101,37
"00CNFB0042","E00045207",213,108,75,30
"00CNFB0043","E00045208",325,204,101,20
"00CNFB0044","E00045209",277,146,90,41
"00CNFB0045","E00045210",288,166,77,45
"00CNFB0046","E00045211",192,138,38,16
"00CNFB0047","E00045212",292,160,85,47
"00CNFB0048","E00045213",345,235,82,28
"00CNFB0049","E00045214",301,181,75,45
"00CNFB0050","E00045215",334,203,85,46
"00CNFB0051","E00045216",267,170,69,28
"00CNFB0052","E00045217",362,246,77,39
"00CNFB0053","E00045218",327,229,69,29
"00CNFB0054","E00045219",395,279,82,34
"00CNFB0055","E00045220",341,217,78,46
"00CNFB0056","E00045221",294,190,74,30
"00CNFB0057","E00045222",170,104,40,26
"00CNFB0058","E00045223",307,186,80,41
"00CNFB0059","E00045224",282,183,67,32
"00CNFB0060","E00045225",327,239,57,31
"00CNFB0061","E00045226",227,137,62,28
"00CNFB0062","E00045227",374,220,101,53
"00CNFB0063","E00045228",408,269,99,40
"00CNFB0064","E00045229",281,148,84,49
"00CNFB0065","E00045230",262,130,76,56
"00CNFB0066","E00045231",330,234,66,30
"00CNFB0067","E00045232",457,303,101,53
"00CNFB0068","E00045233",311,185,85,41
"00CNFB0069","E00045234",420,270,107,43
"00CNFB0070","E00045235",435,285,108,42
"00CNFB0071","E00045236",339,194,89,56
"00CNFB0072","E00045237",389,247,98,44
"00CNFB0073","E00045238",268,152,77,39
"00CNFB0074","E00045239",434,306,80,48
"00CNFB0075","E00045240",252,142,72,38
"00CNFB0076","E00045241",424,272,100,52
"00CNFB0077","E00045242",239,122,78,39
"00CNFB0078","E00045243",145,84,38,23
"00CNFB0079","E00045244",342,200,100,42
"00CNFB0080","E00045245",325,180,81,64
"00CNFB0081","E00045246",266,157,72,37
"00CNFB0082","E00045247",236,131,83,22
"00CNFB0083","E00045248",365,209,111,45
"00CNFC0001","E00045249",256,140,66,50
"00CNFC0002","E00045250",250,131,79,40
"00CNFC0003","E00045251",258,146,76,36
"00CNFC0004","E00045252",292,197,58,37
"00CNFC0005","E00045253",275,195,55,25
"00CNFC0006","E00045254",250,158,68,24
"00CNFC0007","E00045255",396,299,83,14
"00CNFC0008","E00045256",354,233,78,43
"00CNFC0009","E00045257",378,289,66,23
"00CNFC0010","E00045258",297,191,65,41
"00CNFC0011","E00045259",284,177,71,36
"00CNFC0012","E00045260",253,197,42,14
"00CNFC0013","E00045261",232,140,70,22
"00CNFC0014","E00045262",319,182,92,45
"00CNFC0015","E00045263",217,142,54,21
"00CNFC0016","E00045264",316,200,74,42
"00CNFC0017","E00045265",313,181,77,55
"00CNFC0018","E00045266",279,173,66,40
"00CNFC0019","E00045267",194,120,44,30
"00CNFC0020","E00045268",209,146,50,13
"00CNFC0021","E00045269",317,242,60,15
"00CNFC0022","E00045270",231,139,56,36
"00CNFC0023","E00045271",225,153,50,22
"00CNFC0024","E00045272",224,143,55,26
"00CNFC0025","E00045273",202,136,46,20
"00CNFC0026","E00045274",216,131,60,25
"00CNFC0027","E00045275",328,243,64,21
"00CNFC0028","E00045276",272,145,83,44
"00CNFC0029","E00045277",329,215,75,39
"00CNFC0030","E00045278",359,271,67,21
"00CNFC0031","E00045279",248,168,62,18
"00CNFC0032","E00045280",237,161,52,24
"00CNFC0033","E00045281",286,159,78,49
"00CNFC0034","E00045282",201,135,44,22
"00CNFC0035","E00045283",325,196,95,34
"00CNFC0036","E00045284",288,184,75,29
"00CNFC0037","E00045285",269,148,82,39
"00CNFC0038","E00045286",309,179,85,45
"00CNFC0039","E00045287",284,186,64,34
"00CNFC0040","E00045288",299,191,78,30
"00CNFC0041","E00045289",197,94,67,36
"00CNFC0042","E00045290",255,162,60,33
"00CNFC0043","E00045291",242,150,67,25
"00CNFC0044","E00045292",279,174,68,37
"00CNFC0045","E00045293",261,136,85,40
"00CNFC0046","E00045294",266,154,67,45
"00CNFC0047","E00045295",275,187,57,31
"00CNFC0048","E00045296",357,259,66,32
"00CNFC0049","E00045297",359,264,74,21
"00CNFC0050","E00045298",355,242,78,35
"00CNFC0051","E00045299",326,205,82,39
"00CNFC0052","E00045300",324,202,84,38
"00CNFC0053","E00045301",309,223,64,22
"00CNFC0054","E00045302",221,130,62,29
"00CNFC0055","E00045303",370,250,85,35
"00CNFC0056","E00045304",259,146,85,28
"00CNFC0057","E00045305",362,247,90,25
"00CNFC0058","E00045306",347,269,61,17
"00CNFC0059","E00045307",227,108,75,44
"00CNFC0060","E00045308",291,169,88,34
"00CNFC0061","E00045309",233,126,73,34
"00CNFC0062","E00045310",252,143,75,34
"00CNFC0063","E00045311",258,139,70,49
"00CNFC0064","E00045312",365,265,80,20
"00CNFC0065","E00045313",315,200,94,21
"00CNFC0066","E00045314",181,98,53,30
"00CNFC0067","E00045315",302,179,81,42
"00CNFC0068","E00045316",262,166,73,23
"00CNFC0069","E00045317",478,348,101,29
"00CNFC0070","E00045318",308,196,73,39
"00CNFC0071","E00045319",237,142,65,30
"00CNFC0072","E00045320",304,187,76,41
"00CNFC0073","E00045321",247,151,60,36
"00CNFC0074","E00045322",238,133,69,36
"00CNFC0075","E00045323",237,120,79,38
"00CNFC0076","E00045324",296,173,87,36
"00CNFC0077","E00045325",327,217,79,31
"00CNFD0001","E00045326",310,238,55,17
"00CNFD0002","E00045327",272,184,62,26
"00CNFD0003","E00045328",384,277,73,34
"00CNFD0004","E00045329",339,221,80,38
"00CNFD0005","E00045330",314,187,90,37
"00CNFD0006","E00045331",301,187,75,39
"00CNFD0007","E00045332",270,166,62,42
"00CNFD0008","E00045333",308,198,77,33
"00CNFD0009","E00045334",334,171,110,53
"00CNFD0010","E00045335",289,199,62,28
"00CNFD0011","E00045336",311,210,66,35
"00CNFD0012","E00045337",292,175,78,39
"00CNFD0013","E00045338",306,200,67,39
"00CNFD0014","E00045339",416,256,85,75
"00CNFD0015","E00045340",268,164,72,32
"00CNFD0016","E00045341",273,173,67,33
"00CNFD0017","E00045342",278,176,74,28
"00CNFD0018","E00045343",302,207,68,27
"00CNFD0019","E00045344",230,129,57,44
"00CNFD0020","E00045345",385,239,87,59
"00CNFD0021","E00045346",313,195,85,33
"00CNFD0022","E00045347",289,177,76,36
"00CNFD0023","E00045348",342,192,107,43
"00CNFD0024","E00045349",312,220,77,15
"00CNFD0025","E00045350",344,240,72,32
"00CNFD0026","E00045351",368,222,99,47
"00CNFD0027","E00045352",350,219,88,43
"00CNFD0028","E00045353",380,230,96,54
"00CNFD0029","E00045354",328,204,93,31
"00CNFD0030","E00045355",326,208,79,39
"00CNFD0031","E00045356",281,172,80,29
"00CNFD0032","E00045357",321,218,73,30
"00CNFD0033","E00045358",257,169,61,27
"00CNFD0034","E00045359",373,254,92,27
"00CNFD0035","E00045360",341,245,72,24
"00CNFD0036","E00045361",281,187,68,26
"00CNFD0037","E00045362",375,205,111,59
"00CNFD0038","E00045363",338,210,80,48
"00CNFD0039","E00045364",308,216,70,22
"00CNFD0040","E00045365",310,195,90,25
"00CNFD0041","E00045366",291,183,77,31
"00CNFD0042","E00045367",197,102,71,24
"00CNFD0043","E00045368",280,201,62,17
"00CNFD0044","E00045369",396,279,96,21
"00CNFD0045","E00045370",333,209,94,30
"00CNFD0046","E00045371",320,212,84,24
"00CNFD0047","E00045372",338,235,81,22
"00CNFD0048","E00045373",346,234,85,27
"00CNFD0049","E00045374",402,286,83,33
"00CNFD0050","E00045375",391,255,91,45
"00CNFD0051","E00045376",320,208,78,34
"00CNFD0052","E00045377",364,257,78,29
"00CNFD0053","E00045378",246,140,73,33
"00CNFD0054","E00045379",333,209,74,50
"00CNFD0055","E00045380",271,169,62,40
"00CNFD0056","E00045381",345,213,81,51
"00CNFD0057","E00045382",289,190,72,27
"00CNFD0058","E00045383",372,240,92,40
"00CNFD0059","E00045384",324,190,79,55
"00CNFD0060","E00045385",219,92,67,60
"00CNFD0061","E00045386",350,238,80,32
"00CNFD0062","E00045387",330,236,79,15
"00CNFD0063","E00045388",365,235,85,45
"00CNFD0064","E00045389",211,100,66,45
"00CNFD0065","E00045390",302,221,65,16
"00CNFD0066","E00045391",337,223,80,34
"00CNFD0067","E00045392",231,106,85,40
"00CNFD0068","E00045393",243,158,48,37
"00CNFD0069","E00045394",335,194,85,56
"00CNFD0070","E00045395",286,168,74,44
"00CNFD0071","E00045396",300,189,66,45
"00CNFD0072","E00045397",323,204,71,48
"00CNFD0073","E00045398",249,130,82,37
"00CNFD0074","E00045399",310,192,75,43
"00CNFD0075","E00045400",297,192,71,34
"00CNFD0076","E00045401",297,184,79,34
"00CNFD0077","E00045402",383,252,81,50
"00CNFD0078","E00045403",309,194,88,27
"00CNFD0079","E00045404",129,39,39,51
"00CNFD0080","E00045405",217,114,62,41
"00CNFD0081","E00045406",347,225,84,38
"00CNFD0082","E00045407",322,217,67,38
"00CNFD0083","E00045408",253,124,89,40
"00CNFD0084","E00045409",229,144,53,32
"00CNFD0085","E00045410",302,175,94,33
"00CNFD0086","E00045411",306,200,57,49
"00CNFD0087","E00045412",315,189,85,41
"00CNFE0001","E00045413",189,39,98,52
"00CNFE0002","E00045414",255,171,63,21
"00CNFE0003","E00045415",262,182,59,21
"00CNFE0004","E00045416",296,210,69,17
"00CNFE0005","E00045417",290,212,53,25
"00CNFE0006","E00045418",232,105,89,38
"00CNFE0007","E00045419",323,202,89,32
"00CNFE0008","E00045420",322,222,63,37
"00CNFE0009","E00045421",358,236,85,37
"00CNFE0010","E00045422",278,214,47,17
"00CNFE0011","E00045423",329,244,63,22
"00CNFE0012","E00045424",414,258,115,41
"00CNFE0013","E00045425",256,171,69,16
"00CNFE0014","E00045426",215,123,66,26
"00CNFE0015","E00045427",308,197,81,30
"00CNFE0016","E00045428",309,186,82,41
"00CNFE0017","E00045429",283,214,46,23
"00CNFE0018","E00045430",259,163,72,24
"00CNFE0019","E00045431",344,236,75,33
"00CNFE0020","E00045432",263,171,68,24
