
"UV022 - Limiting long-term illness"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Population :","All people"
"Units      :","Persons"
"Date       :","2001"

"2001 output area","mnemonic","Total","With a limiting long-term illness","Without a limiting long-term illness"

"00CNFA0001","E00045077",350,19,331
"00CNFA0002","E00045078",371,34,337
"00CNFA0003","E00045079",213,57,156
"00CNFA0004","E00045080",373,53,320
"00CNFA0005","E00045081",264,113,151
"00CNFA0006","E00045082",358,73,285
"00CNFA0007","E00045083",301,42,259
"00CNFA0008","E00045084",287,48,239
"00CNFA0009","E00045085",244,75,169
"00CNFA0010","E00045086",324,77,247
"00CNFA0011","E00045087",231,49,182
"00CNFA0012","E00045088",336,34,302
"00CNFA0013","E00045089",335,45,290
"00CNFA0014","E00045090",309,74,235
"00CNFA0015","E00045091",369,138,231
"00CNFA0016","E00045092",318,64,254
"00CNFA0017","E00045093",269,57,212
"00CNFA0018","E00045094",292,62,230
"00CNFA0019","E00045095",304,47,257
"00CNFA0020","E00045096",216,75,141
"00CNFA0021","E00045097",279,48,231
"00CNFA0022","E00045098",248,50,198
"00CNFA0023","E00045099",255,63,192
"00CNFA0024","E00045100",340,98,242
"00CNFA0025","E00045101",269,53,216
"00CNFA0026","E00045102",317,66,251
"00CNFA0027","E00045103",318,54,264
"00CNFA0028","E00045104",297,53,244
"00CNFA0029","E00045105",297,47,250
"00CNFA0030","E00045106",309,61,248
"00CNFA0031","E00045107",273,60,213
"00CNFA0032","E00045108",242,67,175
"00CNFA0033","E00045109",368,67,301
"00CNFA0034","E00045110",264,69,195
"00CNFA0035","E00045111",303,51,252
"00CNFA0036","E00045112",315,57,258
"00CNFA0037","E00045113",303,57,246
"00CNFA0038","E00045114",272,57,215
"00CNFA0039","E00045115",304,64,240
"00CNFA0040","E00045116",287,71,216
"00CNFA0041","E00045117",264,58,206
"00CNFA0042","E00045118",296,54,242
"00CNFA0043","E00045119",311,62,249
"00CNFA0044","E00045120",311,72,239
"00CNFA0045","E00045121",316,69,247
"00CNFA0046","E00045122",223,58,165
"00CNFA0047","E00045123",209,78,131
"00CNFA0048","E00045124",318,83,235
"00CNFA0049","E00045125",271,48,223
"00CNFA0050","E00045126",350,59,291
"00CNFA0051","E00045127",257,46,211
"00CNFA0052","E00045128",368,74,294
"00CNFA0053","E00045129",375,60,315
"00CNFA0054","E00045130",277,37,240
"00CNFA0055","E00045131",324,60,264
"00CNFA0056","E00045132",225,50,175
"00CNFA0057","E00045133",245,35,210
"00CNFA0058","E00045134",267,46,221
"00CNFA0059","E00045135",270,60,210
"00CNFA0060","E00045136",309,88,221
"00CNFA0061","E00045137",304,49,255
"00CNFA0062","E00045138",296,54,242
"00CNFA0063","E00045139",131,73,58
"00CNFA0064","E00045140",285,61,224
"00CNFA0065","E00045141",251,43,208
"00CNFA0066","E00045142",345,68,277
"00CNFA0067","E00045143",327,50,277
"00CNFA0068","E00045144",298,32,266
"00CNFA0069","E00045145",321,67,254
"00CNFA0070","E00045146",353,61,292
"00CNFA0071","E00045147",232,55,177
"00CNFA0072","E00045148",242,65,177
"00CNFA0073","E00045149",270,47,223
"00CNFA0074","E00045150",310,52,258
"00CNFA0075","E00045151",276,44,232
"00CNFA0076","E00045152",311,59,252
"00CNFA0077","E00045153",292,53,239
"00CNFA0078","E00045154",280,36,244
"00CNFA0079","E00045155",380,50,330
"00CNFA0080","E00045156",273,35,238
"00CNFA0081","E00045157",317,67,250
"00CNFA0082","E00045158",297,51,246
"00CNFA0083","E00045159",281,51,230
"00CNFA0084","E00045160",377,64,313
"00CNFA0085","E00045161",320,61,259
"00CNFA0086","E00045162",318,71,247
"00CNFA0087","E00045163",274,40,234
"00CNFA0088","E00045164",229,96,133
"00CNFA0089","E00045165",371,62,309
"00CNFB0001","E00045166",313,51,262
"00CNFB0002","E00045167",389,73,316
"00CNFB0003","E00045168",440,76,364
"00CNFB0004","E00045169",345,64,281
"00CNFB0005","E00045170",377,73,304
"00CNFB0006","E00045171",467,94,373
"00CNFB0007","E00045172",480,65,415
"00CNFB0008","E00045173",485,72,413
"00CNFB0009","E00045174",391,105,286
"00CNFB0010","E00045175",507,97,410
"00CNFB0011","E00045176",416,72,344
"00CNFB0012","E00045177",302,77,225
"00CNFB0013","E00045178",379,63,316
"00CNFB0014","E00045179",443,92,351
"00CNFB0015","E00045180",317,41,276
"00CNFB0016","E00045181",393,79,314
"00CNFB0017","E00045182",305,64,241
"00CNFB0018","E00045183",448,65,383
"00CNFB0019","E00045184",275,59,216
"00CNFB0020","E00045185",235,66,169
"00CNFB0021","E00045186",317,67,250
"00CNFB0022","E00045187",286,48,238
"00CNFB0023","E00045188",166,60,106
"00CNFB0024","E00045189",262,50,212
"00CNFB0025","E00045190",367,49,318
"00CNFB0026","E00045191",324,72,252
"00CNFB0027","E00045192",183,54,129
"00CNFB0028","E00045193",352,79,273
"00CNFB0029","E00045194",298,56,242
"00CNFB0030","E00045195",335,69,266
"00CNFB0031","E00045196",276,58,218
"00CNFB0032","E00045197",323,52,271
"00CNFB0033","E00045198",119,69,50
"00CNFB0034","E00045199",305,66,239
"00CNFB0035","E00045200",384,86,298
"00CNFB0036","E00045201",286,71,215
"00CNFB0037","E00045202",316,75,241
"00CNFB0038","E00045203",335,58,277
"00CNFB0039","E00045204",243,41,202
"00CNFB0040","E00045205",242,60,182
"00CNFB0041","E00045206",378,70,308
"00CNFB0042","E00045207",213,64,149
"00CNFB0043","E00045208",325,47,278
"00CNFB0044","E00045209",277,97,180
"00CNFB0045","E00045210",288,60,228
"00CNFB0046","E00045211",192,30,162
"00CNFB0047","E00045212",292,74,218
"00CNFB0048","E00045213",345,64,281
"00CNFB0049","E00045214",301,73,228
"00CNFB0050","E00045215",334,60,274
"00CNFB0051","E00045216",267,51,216
"00CNFB0052","E00045217",362,69,293
"00CNFB0053","E00045218",327,56,271
"00CNFB0054","E00045219",395,67,328
"00CNFB0055","E00045220",341,68,273
"00CNFB0056","E00045221",294,61,233
"00CNFB0057","E00045222",170,31,139
"00CNFB0058","E00045223",307,69,238
