
"KS301EW - Health and provision of unpaid care"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All categories: Long-term health problem or disability","Very good health","Good health","Fair health","Bad health","Very bad health"

"E00045077","E00045077",362,188,141,28,4,1
"E00045078","E00045078",406,196,159,40,8,3
"E00045079","E00045079",197,71,62,42,18,4
"E00045080","E00045080",444,209,158,60,13,4
"E00045081","E00045081",271,92,92,53,27,7
"E00045082","E00045082",422,189,163,40,27,3
"E00045083","E00045083",327,150,123,39,12,3
"E00045084","E00045084",325,141,112,53,18,1
"E00045085","E00045085",282,101,110,50,16,5
"E00045086","E00045086",410,211,117,63,17,2
"E00045087","E00045087",281,119,92,55,12,3
"E00045088","E00045088",323,169,100,41,10,3
"E00045090","E00045090",313,139,106,48,13,7
"E00045091","E00045091",376,106,112,114,39,5
"E00045092","E00045092",413,162,153,70,19,9
"E00045093","E00045093",317,139,117,34,21,6
"E00045094","E00045094",383,177,138,46,18,4
"E00045095","E00045095",287,124,96,45,14,8
"E00045096","E00045096",209,40,81,47,32,9
"E00045097","E00045097",320,161,110,35,11,3
"E00045098","E00045098",250,101,99,33,10,7
"E00045099","E00045099",256,115,83,37,15,6
"E00045100","E00045100",332,133,112,54,25,8
"E00045101","E00045101",285,109,103,54,11,8
"E00045102","E00045102",319,128,104,63,17,7
"E00045103","E00045103",343,172,106,50,11,4
"E00045104","E00045104",374,178,107,61,24,4
"E00045105","E00045105",317,133,105,56,15,8
"E00045106","E00045106",313,134,109,45,16,9
"E00045107","E00045107",357,173,111,50,19,4
"E00045108","E00045108",276,114,93,45,16,8
"E00045109","E00045109",404,202,136,47,13,6
"E00045110","E00045110",289,110,98,55,17,9
"E00045111","E00045111",349,166,112,50,15,6
"E00045112","E00045112",335,154,105,56,17,3
"E00045113","E00045113",312,140,100,44,22,6
"E00045114","E00045114",311,142,84,54,21,10
"E00045115","E00045115",350,172,108,48,16,6
"E00045116","E00045116",395,160,143,62,21,9
"E00045117","E00045117",325,149,102,44,18,12
"E00045118","E00045118",393,176,157,45,11,4
"E00045119","E00045119",405,134,183,63,20,5
"E00045120","E00045120",354,150,110,57,25,12
"E00045121","E00045121",340,147,101,64,21,7
"E00045122","E00045122",289,100,119,40,23,7
"E00045123","E00045123",210,54,79,43,25,9
"E00045124","E00045124",337,137,121,47,28,4
"E00045125","E00045125",337,170,97,45,23,2
"E00045126","E00045126",388,154,148,69,13,4
"E00045127","E00045127",322,162,106,37,12,5
"E00045128","E00045128",435,210,134,67,15,9
"E00045129","E00045129",481,222,177,67,12,3
"E00045130","E00045130",321,150,112,47,10,2
"E00045131","E00045131",382,199,127,36,16,4
"E00045132","E00045132",252,108,96,28,14,6
"E00045133","E00045133",258,123,81,38,13,3
"E00045134","E00045134",336,151,120,47,10,8
"E00045135","E00045135",334,146,106,51,21,10
"E00045136","E00045136",382,149,142,67,15,9
"E00045137","E00045137",342,160,112,53,14,3
"E00045138","E00045138",285,124,110,31,13,7
"E00045139","E00045139",142,10,43,48,35,6
"E00045140","E00045140",287,118,93,52,20,4
"E00045141","E00045141",240,87,98,44,10,1
"E00045142","E00045142",346,145,119,59,18,5
"E00045143","E00045143",352,148,122,62,11,9
"E00045144","E00045144",351,155,121,61,9,5
"E00045145","E00045145",402,179,166,46,8,3
"E00045146","E00045146",355,160,140,42,10,3
"E00045147","E00045147",263,99,99,37,26,2
"E00045148","E00045148",312,145,102,41,21,3
"E00045149","E00045149",259,114,87,39,16,3
"E00045150","E00045150",343,183,104,44,9,3
"E00045151","E00045151",321,135,119,49,13,5
"E00045152","E00045152",297,141,103,38,11,4
"E00045153","E00045153",329,145,105,44,29,6
"E00045154","E00045154",323,148,120,44,11,0
