
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All households","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"

"E00045077","E00045077",117,92,8,7,10,0
"E00045078","E00045078",153,128,0,3,21,1
"E00045079","E00045079",113,35,0,41,37,0
"E00045080","E00045080",138,119,0,0,16,3
"E00045081","E00045081",100,50,0,39,10,1
"E00045082","E00045082",135,65,3,18,45,4
"E00045083","E00045083",148,117,3,3,23,2
"E00045084","E00045084",143,72,0,16,54,1
"E00045085","E00045085",137,50,1,22,64,0
"E00045086","E00045086",151,89,4,29,24,5
"E00045087","E00045087",136,54,1,15,60,6
"E00045088","E00045088",126,107,1,3,14,1
"E00045090","E00045090",155,70,0,41,44,0
"E00045091","E00045091",141,56,0,14,67,4
"E00045092","E00045092",166,91,2,22,51,0
"E00045093","E00045093",132,49,0,10,69,4
"E00045094","E00045094",165,100,27,23,15,0
"E00045095","E00045095",125,78,1,28,17,1
"E00045096","E00045096",117,32,0,74,7,4
"E00045097","E00045097",111,82,0,0,28,1
"E00045098","E00045098",112,71,0,16,23,2
"E00045099","E00045099",109,45,3,52,8,1
"E00045100","E00045100",128,72,0,45,9,2
"E00045101","E00045101",98,53,2,29,11,3
"E00045102","E00045102",119,66,0,30,18,5
"E00045103","E00045103",122,77,2,30,12,1
"E00045104","E00045104",116,57,0,35,18,6
"E00045105","E00045105",123,49,1,51,21,1
"E00045106","E00045106",111,64,2,30,15,0
"E00045107","E00045107",122,76,0,34,11,1
"E00045108","E00045108",128,47,0,65,12,4
"E00045109","E00045109",123,58,0,44,20,1
"E00045110","E00045110",117,76,0,33,7,1
"E00045111","E00045111",109,52,1,41,13,2
"E00045112","E00045112",111,86,0,12,13,0
"E00045113","E00045113",116,49,1,48,17,1
"E00045114","E00045114",118,52,3,51,10,2
"E00045115","E00045115",109,50,0,38,18,3
"E00045116","E00045116",137,85,0,35,16,1
"E00045117","E00045117",101,45,0,41,13,2
"E00045118","E00045118",125,99,1,9,16,0
"E00045119","E00045119",146,81,1,39,23,2
"E00045120","E00045120",142,63,1,57,19,2
"E00045121","E00045121",139,80,0,45,12,2
"E00045122","E00045122",114,42,2,49,17,4
"E00045123","E00045123",124,50,0,57,14,3
"E00045124","E00045124",142,60,0,49,27,6
"E00045125","E00045125",122,64,0,7,49,2
"E00045126","E00045126",151,99,2,17,31,2
"E00045127","E00045127",109,68,1,6,34,0
"E00045128","E00045128",136,104,0,1,30,1
"E00045129","E00045129",144,92,1,8,42,1
"E00045130","E00045130",124,79,2,14,27,2
"E00045131","E00045131",147,49,0,36,58,4
"E00045132","E00045132",96,48,2,23,23,0
"E00045133","E00045133",111,78,0,3,30,0
"E00045134","E00045134",129,45,0,28,51,5
"E00045135","E00045135",140,51,0,51,33,5
"E00045136","E00045136",141,72,0,42,23,4
"E00045137","E00045137",124,101,2,1,19,1
"E00045138","E00045138",124,71,1,24,27,1
"E00045139","E00045139",118,8,1,103,3,3
"E00045140","E00045140",120,64,0,32,19,5
"E00045141","E00045141",111,79,0,8,24,0
"E00045142","E00045142",132,81,1,25,25,0
"E00045143","E00045143",125,102,0,4,19,0
"E00045144","E00045144",154,95,16,8,32,3
"E00045145","E00045145",147,73,3,4,67,0
"E00045146","E00045146",142,125,0,2,14,1
"E00045147","E00045147",136,55,0,45,33,3
"E00045148","E00045148",156,57,0,30,69,0
"E00045149","E00045149",113,98,1,5,8,1
"E00045150","E00045150",125,104,0,2,19,0
"E00045151","E00045151",142,104,0,4,33,1
"E00045152","E00045152",114,77,0,8,28,1
"E00045153","E00045153",124,94,2,4,24,0
"E00045154","E00045154",133,87,13,5,28,0
"E00045155","E00045155",139,119,0,4,15,1
"E00045156","E00045156",108,95,0,5,6,2
"E00045157","E00045157",125,110,1,0,14,0
"E00045158","E00045158",141,83,11,6,40,1
"E00045159","E00045159",134,93,2,20,17,2
"E00045160","E00045160",133,83,1,0,45,4
"E00045161","E00045161",125,18,2,96,8,1
"E00045162","E00045162",137,96,0,9,30,2
"E00045163","E00045163",127,90,0,14,22,1
"E00045164","E00045164",164,36,0,101,19,8
"E00045165","E00045165",125,46,11,48,20,0
"E00045166","E00045166",102,36,0,41,24,1
"E00045167","E00045167",132,23,1,88,18,2
"E00045168","E00045168",118,62,2,36,16,2
"E00045169","E00045169",127,46,8,56,13,4
"E00045170","E00045170",111,42,0,53,13,3
"E00045171","E00045171",143,27,1,99,11,5
"E00045172","E00045172",115,48,0,18,45,4
"E00045173","E00045173",104,79,0,4,20,1
"E00045174","E00045174",143,59,0,75,8,1
"E00045175","E00045175",167,72,0,71,15,9
"E00045176","E00045176",106,51,0,27,22,6
"E00045177","E00045177",115,47,0,62,6,0
"E00045178","E00045178",98,63,0,24,10,1
"E00045179","E00045179",157,51,0,94,8,4
"E00045180","E00045180",84,35,0,23,23,3
"E00045181","E00045181",109,55,0,47,4,3
"E00045182","E00045182",133,26,1,96,8,2
"E00045183","E00045183",134,58,0,36,38,2
"E00045184","E00045184",109,23,2,67,15,2
"E00045186","E00045186",107,31,0,61,6,9
"E00045187","E00045187",96,36,0,51,5,4
"E00045188","E00045188",141,5,1,127,1,7
"E00045189","E00045189",108,19,0,69,18,2
"E00045190","E00045190",118,57,0,41,16,4
"E00045191","E00045191",104,32,1,63,5,3
"E00045192","E00045192",146,4,0,129,5,8
"E00045193","E00045193",120,24,0,88,6,2
"E00045194","E00045194",131,24,0,101,3,3
"E00045195","E00045195",126,42,0,54,23,7
"E00045196","E00045196",74,24,5,32,11,2
"E00045197","E00045197",110,52,8,37,12,1
"E00045198","E00045198",103,6,0,85,8,4
"E00045199","E00045199",194,20,0,159,10,5
"E00045200","E00045200",120,47,0,63,10,0
"E00045201","E00045201",149,19,0,119,7,4
"E00045202","E00045202",150,28,0,108,13,1
"E00045203","E00045203",118,4,3,103,4,4
"E00045204","E00045204",185,5,0,162,11,7
"E00045205","E00045205",147,8,1,126,5,7
"E00045206","E00045206",151,54,0,73,18,6
"E00045207","E00045207",139,16,0,112,5,6
"E00045208","E00045208",162,23,1,117,11,10
"E00045210","E00045210",206,21,1,169,8,7
"E00045212","E00045212",156,19,2,110,12,13
"E00045213","E00045213",123,87,0,7,28,1
"E00045214","E00045214",108,36,0,41,27,4
"E00045215","E00045215",144,80,2,7,53,2
"E00045216","E00045216",103,46,1,24,29,3
"E00045217","E00045217",104,37,1,41,20,5
"E00045218","E00045218",136,79,0,5,50,2
"E00045219","E00045219",136,77,0,10,47,2
"E00045220","E00045220",106,51,0,37,16,2
"E00045221","E00045221",108,63,0,13,31,1
"E00045222","E00045222",61,22,4,11,22,2
"E00045223","E00045223",85,47,1,16,20,1
"E00045224","E00045224",82,41,1,17,19,4
"E00045225","E00045225",87,41,0,25,19,2
"E00045226","E00045226",99,27,2,64,4,2
"E00045227","E00045227",92,68,0,4,17,3
"E00045228","E00045228",94,72,0,0,20,2
"E00045231","E00045231",75,51,0,6,15,3
"E00045232","E00045232",97,49,0,28,16,4
"E00045233","E00045233",150,19,0,115,8,8
"E00045234","E00045234",104,53,0,32,18,1
"E00045235","E00045235",77,52,0,10,10,5
"E00045236","E00045236",160,46,0,86,20,8
"E00045237","E00045237",73,34,0,27,10,2
"E00045238","E00045238",105,57,0,33,10,5
"E00045239","E00045239",110,47,2,44,14,3
"E00045240","E00045240",77,28,0,42,7,0
"E00045241","E00045241",99,56,1,23,16,3
"E00045242","E00045242",109,22,2,72,10,3
"E00045243","E00045243",121,2,0,106,4,9
"E00045244","E00045244",107,39,0,45,21,2
"E00045245","E00045245",98,39,3,48,8,0
"E00045246","E00045246",107,28,0,59,18,2
"E00045247","E00045247",55,17,0,30,7,1
"E00045249","E00045249",118,60,2,46,7,3
"E00045250","E00045250",131,38,21,58,11,3
"E00045251","E00045251",104,24,12,55,7,6
"E00045252","E00045252",140,55,0,72,11,2
"E00045253","E00045253",128,108,5,3,12,0
"E00045254","E00045254",111,50,0,47,13,1
"E00045255","E00045255",142,128,0,3,10,1
"E00045256","E00045256",134,41,0,79,11,3
"E00045257","E00045257",139,123,1,1,13,1
"E00045258","E00045258",142,86,1,43,7,5
"E00045259","E00045259",124,56,0,53,10,5
"E00045260","E00045260",129,84,20,5,19,1
"E00045261","E00045261",138,47,0,73,15,3
"E00045262","E00045262",146,53,0,85,5,3
"E00045263","E00045263",114,31,1,67,10,5
"E00045264","E00045264",127,41,0,75,5,6
"E00045265","E00045265",130,64,1,55,5,5
"E00045266","E00045266",110,36,0,65,7,2
"E00045267","E00045267",87,14,15,53,4,1
"E00045269","E00045269",120,103,6,4,7,0
"E00045271","E00045271",80,21,8,37,13,1
"E00045272","E00045272",59,26,12,19,2,0
"E00045273","E00045273",80,43,13,13,10,1
"E00045274","E00045274",136,12,49,59,13,3
"E00045275","E00045275",125,117,0,3,5,0
"E00045276","E00045276",136,58,0,62,11,5
"E00045277","E00045277",127,60,0,58,9,0
"E00045278","E00045278",133,104,0,4,25,0
"E00045279","E00045279",103,76,0,11,16,0
"E00045280","E00045280",109,51,0,57,1,0
"E00045281","E00045281",131,72,1,49,7,2
"E00045282","E00045282",131,64,5,18,40,4
"E00045283","E00045283",144,58,0,72,11,3
"E00045284","E00045284",142,46,2,83,9,2
"E00045285","E00045285",128,60,0,55,8,5
"E00045286","E00045286",134,74,0,43,14,3
"E00045287","E00045287",110,58,0,39,9,4
"E00045288","E00045288",127,61,1,51,10,4
"E00045289","E00045289",109,33,0,68,4,4
"E00045290","E00045290",112,44,0,59,9,0
"E00045292","E00045292",136,43,1,82,7,3
"E00045293","E00045293",208,73,0,107,23,5
"E00045294","E00045294",116,55,0,40,14,7
"E00045295","E00045295",126,59,1,55,10,1
"E00045296","E00045296",135,121,1,2,10,1
"E00045297","E00045297",129,103,14,1,11,0
"E00045298","E00045298",146,127,2,3,14,0
"E00045299","E00045299",138,92,1,34,7,4
"E00045300","E00045300",127,79,1,32,10,5
"E00045301","E00045301",121,95,0,6,14,6
"E00045302","E00045302",111,24,0,78,8,1
"E00045303","E00045303",154,92,1,49,7,5
"E00045304","E00045304",117,29,0,80,8,0
"E00045305","E00045305",124,104,1,4,15,0
"E00045306","E00045306",126,111,2,4,8,1
"E00045307","E00045307",125,46,0,64,12,3
"E00045308","E00045308",135,77,0,30,21,7
"E00045309","E00045309",117,56,7,46,5,3
"E00045310","E00045310",124,53,0,57,12,2
"E00045311","E00045311",128,58,0,53,14,3
"E00045312","E00045312",126,114,0,3,9,0
"E00045313","E00045313",123,116,0,3,4,0
