
"KS404UK - Car or van availability"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households; All cars or vans"
"Units      :","Households"
"Date       :","2011"

"2011 output area","mnemonic","All categories: Car or van availability","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 cars or vans in household","4 or more cars or vans in household"

"E00045077","E00045077",117,8,37,60,10,2
"E00045078","E00045078",153,15,69,51,13,5
"E00045079","E00045079",113,55,46,10,2,0
"E00045080","E00045080",138,25,63,37,7,6
"E00045081","E00045081",100,55,32,9,3,1
"E00045082","E00045082",135,57,52,20,4,2
"E00045083","E00045083",148,29,81,28,9,1
"E00045084","E00045084",143,48,74,20,1,0
"E00045085","E00045085",137,68,54,10,4,1
"E00045086","E00045086",151,51,57,38,5,0
"E00045087","E00045087",136,59,55,21,0,1
"E00045088","E00045088",126,21,57,42,4,2
"E00045090","E00045090",155,74,56,15,5,5
"E00045091","E00045091",141,57,57,22,4,1
"E00045092","E00045092",166,48,84,29,3,2
"E00045093","E00045093",132,55,49,21,3,4
"E00045094","E00045094",165,39,80,39,6,1
"E00045095","E00045095",125,37,68,19,1,0
"E00045096","E00045096",117,63,50,3,1,0
"E00045097","E00045097",111,29,43,35,3,1
"E00045098","E00045098",112,37,56,15,3,1
"E00045099","E00045099",109,55,42,12,0,0
"E00045100","E00045100",128,56,40,26,5,1
"E00045101","E00045101",98,28,48,17,5,0
"E00045102","E00045102",119,34,59,19,4,3
"E00045103","E00045103",122,24,58,35,4,1
"E00045104","E00045104",116,51,47,15,2,1
"E00045105","E00045105",123,52,62,8,1,0
"E00045106","E00045106",111,45,51,14,1,0
"E00045107","E00045107",122,42,53,22,5,0
"E00045108","E00045108",128,76,37,12,2,1
"E00045109","E00045109",123,52,53,13,2,3
"E00045110","E00045110",117,43,46,24,3,1
"E00045111","E00045111",109,45,44,18,2,0
"E00045112","E00045112",111,29,46,29,4,3
"E00045113","E00045113",116,51,51,12,2,0
"E00045114","E00045114",118,54,55,8,1,0
"E00045115","E00045115",109,41,45,15,8,0
"E00045116","E00045116",137,51,58,18,8,2
"E00045117","E00045117",101,46,46,7,2,0
"E00045118","E00045118",125,33,52,35,4,1
"E00045119","E00045119",146,44,76,20,5,1
"E00045120","E00045120",142,68,59,12,2,1
"E00045121","E00045121",139,58,61,18,2,0
"E00045122","E00045122",114,57,45,11,0,1
"E00045123","E00045123",124,69,49,5,0,1
"E00045124","E00045124",142,79,54,8,1,0
"E00045125","E00045125",122,52,53,16,0,1
"E00045126","E00045126",151,54,74,17,5,1
"E00045127","E00045127",109,37,48,17,7,0
"E00045128","E00045128",136,37,55,27,14,3
"E00045129","E00045129",144,38,63,37,6,0
"E00045130","E00045130",124,44,64,12,3,1
"E00045131","E00045131",147,85,44,16,2,0
"E00045132","E00045132",96,43,42,10,1,0
"E00045133","E00045133",111,39,57,14,1,0
"E00045134","E00045134",129,67,50,9,3,0
"E00045135","E00045135",140,80,46,11,2,1
"E00045136","E00045136",141,64,65,11,1,0
"E00045137","E00045137",124,27,47,39,11,0
"E00045138","E00045138",124,43,61,18,2,0
"E00045139","E00045139",118,99,17,2,0,0
"E00045140","E00045140",120,47,56,13,4,0
"E00045141","E00045141",111,33,56,20,1,1
"E00045142","E00045142",132,48,63,17,4,0
"E00045143","E00045143",125,24,61,32,7,1
"E00045144","E00045144",154,28,77,44,5,0
"E00045145","E00045145",147,47,81,14,4,1
"E00045146","E00045146",142,19,71,48,3,1
"E00045147","E00045147",136,75,44,15,2,0
"E00045148","E00045148",156,73,56,21,4,2
"E00045149","E00045149",113,28,48,32,4,1
"E00045150","E00045150",125,24,46,44,10,1
"E00045151","E00045151",142,39,67,27,6,3
"E00045152","E00045152",114,23,65,22,3,1
