
"KS608EW to KS610EW - Occupation by sex"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents aged 16 to 74 in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"
"Sex        :","All persons"

"2011 output area","mnemonic","All categories: Occupation","1. Managers, directors and senior officials","2. Professional occupations","3. Associate professional and technical occupations","4. Administrative and secretarial occupations","5. Skilled trades occupations","6. Caring, leisure and other service occupations","7. Sales and customer service occupations","8. Process plant and machine operatives","9. Elementary occupations"

"E00045077","E00045077",197,31,36,23,26,21,25,13,15,7
"E00045078","E00045078",227,29,46,30,31,25,21,14,11,20
"E00045079","E00045079",81,9,19,10,9,4,5,7,7,11
"E00045080","E00045080",185,15,49,23,24,15,16,15,13,15
"E00045081","E00045081",65,11,10,8,8,7,9,6,3,3
"E00045082","E00045082",152,7,16,14,15,20,13,13,27,27
"E00045083","E00045083",177,10,22,17,27,34,21,21,10,15
"E00045084","E00045084",144,11,21,19,17,18,20,10,11,17
"E00045085","E00045085",117,6,22,18,11,17,13,6,13,11
"E00045086","E00045086",178,15,31,21,24,13,17,22,18,17
"E00045087","E00045087",141,17,30,18,16,13,12,9,11,15
"E00045088","E00045088",170,10,27,26,17,25,21,13,17,14
"E00045090","E00045090",157,14,27,14,14,19,14,14,17,24
"E00045091","E00045091",130,9,25,13,19,9,20,8,17,10
"E00045092","E00045092",209,16,40,24,25,22,16,12,30,24
"E00045093","E00045093",161,11,25,15,23,17,17,13,20,20
"E00045094","E00045094",204,18,30,31,29,26,12,15,19,24
"E00045095","E00045095",149,12,25,21,14,18,19,19,7,14
"E00045096","E00045096",62,5,10,5,7,2,8,7,8,10
"E00045097","E00045097",158,12,20,18,19,18,19,15,13,24
"E00045098","E00045098",125,6,16,12,17,16,21,8,13,16
"E00045099","E00045099",77,2,12,5,7,10,14,8,9,10
"E00045100","E00045100",117,5,16,9,15,13,14,13,12,20
"E00045101","E00045101",88,4,5,4,9,6,14,15,12,19
"E00045102","E00045102",116,7,12,10,21,11,9,11,17,18
"E00045103","E00045103",141,12,16,13,19,21,12,17,11,20
"E00045104","E00045104",132,5,16,6,19,16,14,18,14,24
"E00045105","E00045105",116,5,12,10,8,13,11,13,13,31
"E00045106","E00045106",103,8,7,11,14,8,13,7,17,18
"E00045107","E00045107",125,9,13,5,14,18,8,16,16,26
"E00045108","E00045108",87,5,11,7,8,5,13,10,8,20
"E00045109","E00045109",121,7,13,5,12,16,15,16,19,18
"E00045110","E00045110",110,11,6,12,20,16,11,5,11,18
"E00045111","E00045111",92,4,12,2,14,8,10,9,11,22
"E00045112","E00045112",144,10,16,17,15,17,16,18,15,20
"E00045113","E00045113",110,4,9,6,14,10,18,18,13,18
"E00045114","E00045114",90,2,10,5,6,10,14,11,17,15
"E00045115","E00045115",130,7,13,3,6,17,29,15,13,27
"E00045116","E00045116",129,7,21,8,19,14,17,9,17,17
"E00045117","E00045117",92,3,8,7,14,6,10,6,13,25
"E00045118","E00045118",167,12,15,17,18,12,23,23,19,28
"E00045119","E00045119",139,8,22,11,16,18,16,14,13,21
"E00045120","E00045120",100,4,11,8,11,17,15,3,8,23
"E00045121","E00045121",126,8,13,7,13,15,16,18,13,23
"E00045122","E00045122",91,4,6,5,11,10,9,19,15,12
"E00045123","E00045123",69,3,4,14,8,5,10,5,7,13
"E00045124","E00045124",106,6,6,11,12,19,9,9,11,23
"E00045125","E00045125",122,10,12,11,19,10,13,15,14,18
"E00045126","E00045126",163,12,19,19,20,19,18,14,17,25
"E00045127","E00045127",135,9,8,26,13,12,13,15,14,25
"E00045128","E00045128",163,6,36,15,23,12,12,11,29,19
"E00045129","E00045129",198,16,25,13,9,16,14,23,36,46
"E00045130","E00045130",150,2,17,12,16,22,23,21,19,18
"E00045131","E00045131",140,10,13,7,13,11,23,7,18,38
"E00045132","E00045132",97,5,9,7,11,10,11,10,18,16
"E00045133","E00045133",126,7,8,13,25,13,20,14,7,19
"E00045134","E00045134",113,8,12,6,6,13,19,17,11,21
"E00045135","E00045135",113,8,11,14,9,8,11,8,18,26
"E00045136","E00045136",121,5,9,10,9,29,12,12,9,26
"E00045137","E00045137",173,19,17,12,25,18,20,29,11,22
"E00045138","E00045138",121,5,10,2,18,23,8,15,13,27
