
"QS303EW - Long-term health problem or disability"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All categories: Long-term health problem or disability","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"

"E00045077","E00045077",362,12,16,334
"E00045078","E00045078",406,17,30,359
"E00045079","E00045079",197,30,29,138
"E00045080","E00045080",444,36,35,373
"E00045081","E00045081",271,49,48,174
"E00045082","E00045082",422,38,30,354
"E00045083","E00045083",327,23,27,277
"E00045084","E00045084",325,25,27,273
"E00045085","E00045085",282,48,34,200
"E00045086","E00045086",410,30,33,347
"E00045087","E00045087",281,25,31,225
"E00045088","E00045088",323,22,24,277
"E00045090","E00045090",313,26,33,254
"E00045091","E00045091",376,93,63,220
"E00045092","E00045092",413,45,54,314
"E00045093","E00045093",317,27,34,256
"E00045094","E00045094",383,26,31,326
"E00045095","E00045095",287,27,24,236
"E00045096","E00045096",209,47,38,124
"E00045097","E00045097",320,17,24,279
"E00045098","E00045098",250,24,19,207
"E00045099","E00045099",256,36,17,203
"E00045100","E00045100",332,34,40,258
"E00045101","E00045101",285,31,30,224
"E00045102","E00045102",319,32,40,247
"E00045103","E00045103",343,20,39,284
"E00045104","E00045104",374,35,36,303
"E00045105","E00045105",317,25,30,262
"E00045106","E00045106",313,33,36,244
"E00045107","E00045107",357,29,30,298
"E00045108","E00045108",276,36,24,216
"E00045109","E00045109",404,34,30,340
"E00045110","E00045110",289,39,33,217
"E00045111","E00045111",349,27,33,289
"E00045112","E00045112",335,34,32,269
"E00045113","E00045113",312,25,27,260
"E00045114","E00045114",311,32,36,243
"E00045115","E00045115",350,30,32,288
"E00045116","E00045116",395,42,36,317
"E00045117","E00045117",325,34,31,260
"E00045118","E00045118",393,16,38,339
"E00045119","E00045119",405,41,43,321
"E00045120","E00045120",354,45,34,275
"E00045121","E00045121",340,36,40,264
"E00045122","E00045122",289,40,30,219
"E00045123","E00045123",210,47,34,129
"E00045124","E00045124",337,34,35,268
"E00045125","E00045125",337,26,29,282
"E00045126","E00045126",388,25,33,330
"E00045127","E00045127",322,19,23,280
"E00045128","E00045128",435,36,36,363
"E00045129","E00045129",481,22,30,429
"E00045130","E00045130",321,24,27,270
"E00045131","E00045131",382,18,34,330
"E00045132","E00045132",252,22,22,208
"E00045133","E00045133",258,23,20,215
"E00045134","E00045134",336,25,35,276
"E00045135","E00045135",334,34,32,268
"E00045136","E00045136",382,51,46,285
"E00045137","E00045137",342,23,32,287
"E00045138","E00045138",285,23,28,234
"E00045139","E00045139",142,55,27,60
"E00045140","E00045140",287,33,28,226
"E00045141","E00045141",240,15,27,198
"E00045142","E00045142",346,32,39,275
"E00045143","E00045143",352,26,40,286
"E00045144","E00045144",351,26,23,302
"E00045145","E00045145",402,28,34,340
"E00045146","E00045146",355,24,32,299
"E00045147","E00045147",263,27,20,216
"E00045148","E00045148",312,25,25,262
"E00045149","E00045149",259,28,25,206
"E00045150","E00045150",343,20,28,295
"E00045151","E00045151",321,20,35,266
"E00045152","E00045152",297,17,33,247
"E00045153","E00045153",329,40,42,247
"E00045154","E00045154",323,15,28,280
"E00045155","E00045155",360,26,18,316
