
"QS409EW - Persons per room - Households"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All categories: Number of persons per room in household","Up to 0.5 persons per room","Over 0.5 and up to 1.0 persons per room","Over 1.0 and up to 1.5 persons per room","Over 1.5 persons per room"

"E00045077","E00045077",117,70,43,3,1
"E00045078","E00045078",153,101,50,1,1
"E00045079","E00045079",113,90,20,2,1
"E00045080","E00045080",138,96,35,6,1
"E00045081","E00045081",100,74,23,2,1
"E00045082","E00045082",135,78,51,4,2
"E00045083","E00045083",148,107,41,0,0
"E00045084","E00045084",143,89,53,1,0
"E00045085","E00045085",137,101,33,3,0
"E00045086","E00045086",151,97,47,7,0
"E00045087","E00045087",136,91,42,2,1
"E00045088","E00045088",126,87,39,0,0
"E00045090","E00045090",155,117,36,1,1
"E00045091","E00045091",141,103,33,3,2
"E00045092","E00045092",166,117,45,1,3
"E00045093","E00045093",132,94,33,4,1
"E00045094","E00045094",165,122,43,0,0
"E00045095","E00045095",125,100,24,1,0
"E00045096","E00045096",117,97,17,3,0
"E00045097","E00045097",111,67,43,1,0
"E00045098","E00045098",112,78,32,2,0
"E00045099","E00045099",109,68,34,6,1
"E00045100","E00045100",128,76,44,6,2
"E00045101","E00045101",98,50,40,7,1
"E00045102","E00045102",119,78,35,5,1
"E00045103","E00045103",122,78,37,5,2
"E00045104","E00045104",116,49,58,9,0
"E00045105","E00045105",123,69,52,2,0
"E00045106","E00045106",111,60,44,7,0
"E00045107","E00045107",122,58,55,9,0
"E00045108","E00045108",128,83,38,5,2
"E00045109","E00045109",123,50,57,14,2
"E00045110","E00045110",117,83,28,4,2
"E00045111","E00045111",109,47,49,13,0
"E00045112","E00045112",111,58,50,2,1
"E00045113","E00045113",116,68,42,6,0
"E00045114","E00045114",118,67,46,4,1
"E00045115","E00045115",109,42,62,3,2
"E00045116","E00045116",137,76,52,7,2
"E00045117","E00045117",101,50,38,12,1
"E00045118","E00045118",125,74,45,6,0
"E00045119","E00045119",146,79,59,5,3
"E00045120","E00045120",142,93,40,8,1
"E00045121","E00045121",139,80,54,5,0
"E00045122","E00045122",114,69,40,4,1
"E00045123","E00045123",124,105,18,1,0
"E00045124","E00045124",142,83,54,4,1
"E00045125","E00045125",122,76,38,7,1
"E00045126","E00045126",151,94,52,3,2
"E00045127","E00045127",109,63,41,5,0
"E00045128","E00045128",136,83,46,6,1
"E00045129","E00045129",144,71,61,11,1
"E00045130","E00045130",124,75,45,4,0
"E00045131","E00045131",147,89,51,3,4
"E00045132","E00045132",96,55,36,3,2
"E00045133","E00045133",111,76,33,2,0
"E00045134","E00045134",129,75,45,3,6
"E00045135","E00045135",140,91,42,7,0
"E00045136","E00045136",141,81,54,5,1
"E00045137","E00045137",124,85,34,5,0
"E00045138","E00045138",124,86,32,3,3
"E00045139","E00045139",118,107,11,0,0
"E00045140","E00045140",120,79,39,2,0
"E00045141","E00045141",111,85,26,0,0
"E00045142","E00045142",132,84,45,3,0
"E00045143","E00045143",125,80,40,5,0
"E00045144","E00045144",154,112,41,1,0
"E00045145","E00045145",147,82,54,9,2
"E00045146","E00045146",142,95,47,0,0
"E00045147","E00045147",136,93,40,3,0
"E00045148","E00045148",156,109,36,5,6
"E00045149","E00045149",113,82,30,1,0
"E00045150","E00045150",125,76,44,5,0
