
"QS501EW - Highest level of qualification"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All categories: Highest level of qualification","No qualifications","Level 1 qualifications","Level 2 qualifications","Apprenticeship","Level 3 qualifications","Level 4 qualifications and above","Other qualifications"

"E00045077","E00045077",263,33,55,43,11,43,66,12
"E00045078","E00045078",306,49,45,57,10,38,96,11
"E00045079","E00045079",178,59,26,16,3,17,44,13
"E00045080","E00045080",338,86,46,40,6,34,95,31
"E00045081","E00045081",236,111,29,30,1,19,37,9
"E00045082","E00045082",323,92,47,52,3,37,54,38
"E00045083","E00045083",272,75,44,45,12,29,51,16
"E00045084","E00045084",254,69,27,37,4,35,63,19
"E00045085","E00045085",246,75,36,32,7,26,56,14
"E00045086","E00045086",300,67,51,58,6,37,71,10
"E00045087","E00045087",234,53,29,27,9,28,66,22
"E00045088","E00045088",267,85,32,40,11,31,61,7
"E00045090","E00045090",262,69,32,32,5,36,71,17
"E00045091","E00045091",334,131,39,49,6,22,73,14
"E00045092","E00045092",347,89,38,57,10,43,91,19
"E00045093","E00045093",267,58,37,38,9,33,79,13
"E00045094","E00045094",302,76,36,48,3,43,77,19
"E00045095","E00045095",234,68,30,29,5,36,56,10
"E00045096","E00045096",178,94,16,25,3,9,23,8
"E00045097","E00045097",240,61,24,41,12,37,58,7
"E00045098","E00045098",197,61,28,30,9,25,35,9
"E00045099","E00045099",189,76,25,30,5,19,15,19
"E00045100","E00045100",259,100,40,38,8,27,32,14
"E00045101","E00045101",194,86,24,23,9,26,11,15
"E00045102","E00045102",242,76,35,37,5,27,45,17
"E00045103","E00045103",257,85,49,36,5,31,36,15
"E00045104","E00045104",257,95,31,46,2,25,42,16
"E00045105","E00045105",234,90,47,27,6,20,25,19
"E00045106","E00045106",219,96,31,38,3,10,27,14
"E00045107","E00045107",255,81,57,40,7,23,30,17
"E00045108","E00045108",205,77,20,30,8,20,35,15
"E00045109","E00045109",267,94,44,28,7,20,44,30
"E00045110","E00045110",236,89,41,32,5,25,31,13
"E00045111","E00045111",224,100,29,33,3,19,28,12
"E00045112","E00045112",255,65,45,45,6,33,44,17
"E00045113","E00045113",214,78,35,43,3,18,23,14
"E00045114","E00045114",214,105,28,21,3,17,25,15
"E00045115","E00045115",248,93,44,37,2,21,30,21
"E00045116","E00045116",272,90,50,44,2,22,46,18
"E00045117","E00045117",220,85,39,32,4,15,27,18
"E00045118","E00045118",300,94,49,49,10,34,46,18
"E00045119","E00045119",282,107,43,33,8,29,42,20
"E00045120","E00045120",251,109,40,28,4,16,27,27
"E00045121","E00045121",252,93,44,39,4,23,35,14
"E00045122","E00045122",215,86,36,20,3,21,23,26
"E00045123","E00045123",176,88,18,22,1,13,24,10
"E00045124","E00045124",245,99,35,28,2,27,27,27
"E00045125","E00045125",237,74,44,42,3,16,32,26
"E00045126","E00045126",293,81,44,44,11,40,61,12
"E00045127","E00045127",239,65,35,37,3,27,46,26
"E00045128","E00045128",314,70,65,41,4,31,74,29
"E00045129","E00045129",340,86,58,38,5,41,57,55
"E00045130","E00045130",235,80,31,42,4,23,41,14
"E00045131","E00045131",256,73,32,26,3,33,49,40
"E00045132","E00045132",176,55,29,19,0,22,31,20
"E00045133","E00045133",198,60,35,31,3,20,39,10
"E00045134","E00045134",215,69,36,29,5,27,27,22
"E00045135","E00045135",243,76,41,49,6,22,28,21
"E00045136","E00045136",275,102,40,41,10,26,27,29
"E00045137","E00045137",261,70,40,35,7,34,55,20
"E00045138","E00045138",218,82,28,30,8,22,27,21
"E00045139","E00045139",139,100,7,9,1,4,10,8
"E00045140","E00045140",221,91,38,30,3,25,15,19
"E00045141","E00045141",209,56,39,30,4,22,41,17
"E00045142","E00045142",252,81,39,48,5,28,37,14
"E00045143","E00045143",269,60,41,43,13,37,48,27
"E00045144","E00045144",281,55,35,49,3,35,80,24
"E00045145","E00045145",302,101,35,44,7,28,52,35
"E00045146","E00045146",280,91,35,47,14,38,45,10
"E00045147","E00045147",199,66,38,25,3,19,29,19
"E00045148","E00045148",264,55,47,34,8,31,66,23
"E00045149","E00045149",209,77,24,28,8,26,32,14
"E00045150","E00045150",264,62,43,41,8,30,60,20
"E00045151","E00045151",258,85,40,33,8,36,45,11
"E00045152","E00045152",230,58,33,47,5,28,44,15
"E00045153","E00045153",249,88,27,48,8,15,33,30
"E00045154","E00045154",242,45,41,42,5,32,56,21
"E00045155","E00045155",283,65,48,42,17,43,58,10
"E00045156","E00045156",218,54,49,31,12,26,34,12
"E00045157","E00045157",265,67,47,46,11,33,40,21
"E00045158","E00045158",281,78,40,33,4,39,75,12
"E00045159","E00045159",245,67,31,47,8,38,43,11
"E00045160","E00045160",308,69,50,49,14,37,62,27
"E00045161","E00045161",234,91,28,44,7,25,27,12
"E00045162","E00045162",268,89,42,46,4,33,31,23
"E00045163","E00045163",233,42,29,39,6,35,73,9
"E00045164","E00045164",217,115,24,28,3,13,21,13
"E00045165","E00045165",270,77,39,41,5,38,47,23
"E00045166","E00045166",279,78,43,37,6,51,40,24
"E00045167","E00045167",312,125,47,42,2,35,30,31
"E00045168","E00045168",287,139,35,36,1,25,30,21
"E00045169","E00045169",259,95,43,37,4,18,37,25
"E00045170","E00045170",261,102,45,38,2,35,19,20
"E00045171","E00045171",294,93,59,54,3,26,30,29
"E00045172","E00045172",281,120,44,31,1,21,32,32
"E00045173","E00045173",325,147,46,34,2,22,37,37
"E00045174","E00045174",275,115,42,39,4,26,27,22
"E00045175","E00045175",360,138,57,32,8,44,58,23
"E00045176","E00045176",294,117,40,38,0,22,56,21
"E00045177","E00045177",245,98,41,36,2,21,28,19
"E00045178","E00045178",255,104,52,20,1,20,27,31
"E00045179","E00045179",325,137,48,43,3,27,35,32
"E00045180","E00045180",188,81,24,21,1,19,16,26
"E00045181","E00045181",241,105,34,38,2,17,32,13
"E00045182","E00045182",230,97,23,32,6,16,29,27
"E00045183","E00045183",365,136,50,53,5,32,42,47
"E00045184","E00045184",186,89,14,16,3,16,20,28
"E00045186","E00045186",250,122,39,30,6,16,22,15
"E00045187","E00045187",203,82,23,37,2,22,20,17
"E00045188","E00045188",169,66,27,27,2,14,19,14
"E00045189","E00045189",226,61,42,27,10,32,34,20
"E00045190","E00045190",274,101,42,32,4,30,40,25
"E00045191","E00045191",211,94,36,23,3,11,25,19
"E00045192","E00045192",205,77,36,21,2,20,24,25
"E00045193","E00045193",250,86,48,46,4,21,25,20
"E00045194","E00045194",213,87,33,36,0,18,18,21
"E00045195","E00045195",231,64,46,38,0,24,38,21
"E00045196","E00045196",136,31,29,17,2,20,25,12
"E00045197","E00045197",258,70,52,33,1,29,47,26
"E00045198","E00045198",116,62,13,10,1,9,10,11
"E00045199","E00045199",326,120,46,57,2,34,40,27
"E00045200","E00045200",251,73,42,44,4,47,24,17
"E00045201","E00045201",237,75,36,32,3,31,38,22
"E00045202","E00045202",263,97,40,41,5,30,27,23
"E00045203","E00045203",190,62,37,23,0,24,21,23
"E00045204","E00045204",284,93,55,44,2,20,39,31
"E00045205","E00045205",216,73,48,30,3,19,18,25
"E00045206","E00045206",326,112,49,57,2,39,37,30
"E00045207","E00045207",182,71,36,13,0,21,28,13
"E00045208","E00045208",274,83,41,45,4,28,42,31
"E00045210","E00045210",327,116,60,50,2,27,38,34
"E00045212","E00045212",253,97,43,41,7,19,31,15
"E00045213","E00045213",255,89,41,26,5,28,44,22
"E00045214","E00045214",173,65,35,23,2,15,16,17
"E00045215","E00045215",277,64,41,38,5,36,59,34
"E00045216","E00045216",188,65,29,25,0,14,39,16
"E00045217","E00045217",239,87,43,23,4,23,29,30
"E00045218","E00045218",259,70,38,44,7,26,53,21
"E00045219","E00045219",299,119,42,29,2,26,47,34
"E00045220","E00045220",232,113,25,23,2,31,22,16
"E00045221","E00045221",208,89,32,21,3,15,26,22
"E00045222","E00045222",88,18,15,16,3,6,20,10
"E00045223","E00045223",183,69,27,12,4,28,18,25
"E00045224","E00045224",196,92,24,20,2,10,25,23
"E00045225","E00045225",213,102,24,21,2,18,28,18
"E00045226","E00045226",196,94,28,20,0,15,25,14
"E00045227","E00045227",288,118,41,28,5,24,42,30
"E00045228","E00045228",262,104,27,26,2,29,37,37
"E00045231","E00045231",225,87,46,22,0,28,21,21
"E00045232","E00045232",324,137,43,39,5,26,35,39
"E00045233","E00045233",263,100,38,39,2,19,32,33
"E00045234","E00045234",289,133,42,31,1,20,25,37
"E00045235","E00045235",249,108,30,29,1,25,34,22
"E00045236","E00045236",326,117,54,43,2,28,55,27
"E00045237","E00045237",223,93,35,29,2,14,28,22
"E00045238","E00045238",220,113,20,19,2,27,23,16
"E00045239","E00045239",284,105,31,34,2,29,50,33
"E00045240","E00045240",162,55,21,22,3,12,37,12
"E00045241","E00045241",288,133,51,22,2,34,28,18
"E00045242","E00045242",197,95,27,22,1,17,24,11
"E00045243","E00045243",174,59,30,23,0,14,19,29
"E00045244","E00045244",255,117,32,23,3,24,36,20
"E00045245","E00045245",174,74,25,18,0,20,23,14
"E00045246","E00045246",219,88,30,22,3,16,33,27
"E00045247","E00045247",126,54,25,12,3,12,5,15
"E00045249","E00045249",218,71,45,36,4,26,29,7
"E00045250","E00045250",202,70,32,33,5,23,26,13
"E00045251","E00045251",177,61,32,28,4,24,26,2
"E00045252","E00045252",225,94,22,30,6,24,36,13
"E00045253","E00045253",248,67,22,32,13,44,58,12
"E00045254","E00045254",185,68,23,30,7,21,28,8
"E00045255","E00045255",317,52,59,57,10,40,84,15
"E00045256","E00045256",239,94,45,39,1,29,20,11
"E00045257","E00045257",284,67,43,60,12,47,48,7
"E00045258","E00045258",258,78,48,34,10,35,46,7
"E00045259","E00045259",205,72,33,35,10,25,21,9
"E00045260","E00045260",224,34,34,34,8,35,73,6
"E00045261","E00045261",200,54,53,31,8,24,18,12
"E00045262","E00045262",247,105,40,41,5,24,18,14
"E00045263","E00045263",197,97,29,21,5,24,14,7
"E00045264","E00045264",239,93,31,33,8,26,34,14
"E00045265","E00045265",250,111,41,33,11,29,19,6
"E00045266","E00045266",184,76,27,30,6,21,16,8
"E00045267","E00045267",128,64,13,11,6,10,22,2
"E00045269","E00045269",273,52,49,44,9,45,62,12
"E00045271","E00045271",131,56,21,25,2,10,13,4
"E00045272","E00045272",86,22,14,9,3,12,22,4
"E00045273","E00045273",155,16,16,29,1,33,48,12
"E00045274","E00045274",250,63,30,47,9,36,53,12
"E00045275","E00045275",261,52,41,44,15,33,68,8
"E00045276","E00045276",216,81,25,36,6,25,35,8
"E00045277","E00045277",220,61,30,29,4,30,52,14
"E00045278","E00045278",262,37,32,35,8,27,104,19
"E00045279","E00045279",185,44,20,30,4,18,57,12
"E00045280","E00045280",189,74,26,36,5,16,22,10
"E00045281","E00045281",211,83,31,32,4,19,28,14
"E00045282","E00045282",206,64,27,31,5,22,48,9
"E00045283","E00045283",245,102,36,34,5,17,40,11
"E00045284","E00045284",246,97,39,47,6,24,20,13
"E00045285","E00045285",202,92,27,37,4,10,26,6
"E00045286","E00045286",256,90,30,50,8,23,44,11
"E00045287","E00045287",227,55,33,40,5,37,42,15
"E00045288","E00045288",237,69,51,37,5,24,33,18
"E00045289","E00045289",163,81,15,18,2,14,25,8
"E00045290","E00045290",195,74,23,38,3,18,19,20
"E00045292","E00045292",236,106,25,41,7,24,23,10
"E00045293","E00045293",329,101,50,54,7,49,56,12
"E00045294","E00045294",245,128,18,18,8,17,47,9
"E00045295","E00045295",224,81,38,39,2,19,29,16
"E00045296","E00045296",269,65,32,42,8,48,59,15
"E00045297","E00045297",270,60,35,51,13,45,61,5
"E00045298","E00045298",298,77,42,67,10,38,47,17
"E00045299","E00045299",255,72,36,41,11,30,54,11
"E00045300","E00045300",244,82,47,40,5,27,38,5
"E00045301","E00045301",241,72,40,37,7,25,47,13
"E00045302","E00045302",160,56,25,28,2,19,21,9
"E00045303","E00045303",294,80,68,39,8,43,45,11
"E00045304","E00045304",187,80,35,28,3,14,18,9
"E00045305","E00045305",260,63,38,48,10,35,55,11
"E00045306","E00045306",261,68,35,52,10,34,53,9
"E00045307","E00045307",185,84,17,30,3,19,24,8
"E00045308","E00045308",268,91,36,38,8,32,46,17
"E00045309","E00045309",202,60,22,22,5,32,49,12
"E00045310","E00045310",216,86,22,34,5,37,23,9
"E00045311","E00045311",221,105,39,28,10,22,16,1
"E00045312","E00045312",270,57,49,46,14,38,49,17
"E00045313","E00045313",255,69,37,40,15,25,54,15
"E00045315","E00045315",224,92,44,31,7,26,20,4
"E00045317","E00045317",426,79,44,51,16,175,52,9
"E00045318","E00045318",219,104,25,37,3,18,21,11
"E00045320","E00045320",260,81,53,47,10,38,15,16
"E00045321","E00045321",193,73,41,34,6,20,12,7
"E00045322","E00045322",207,76,42,36,3,18,20,12
"E00045323","E00045323",168,79,32,12,4,19,15,7
"E00045324","E00045324",283,102,44,45,5,39,34,14
"E00045325","E00045325",225,87,35,42,1,28,25,7
"E00045326","E00045326",241,54,31,25,1,29,87,14
"E00045327","E00045327",221,44,36,33,2,29,66,11
"E00045328","E00045328",320,53,34,45,14,38,121,15
"E00045329","E00045329",244,90,43,36,6,32,25,12
"E00045330","E00045330",258,104,42,45,4,27,26,10
"E00045331","E00045331",259,103,37,53,6,25,27,8
"E00045332","E00045332",231,72,40,42,9,23,38,7
"E00045333","E00045333",275,94,40,50,4,29,43,15
"E00045334","E00045334",332,94,37,48,4,52,78,19
"E00045335","E00045335",226,91,36,41,6,18,22,12
"E00045336","E00045336",245,72,36,39,12,29,42,15
"E00045337","E00045337",225,80,39,43,6,24,26,7
"E00045338","E00045338",219,77,31,38,6,30,33,4
"E00045339","E00045339",296,152,35,42,1,27,31,8
"E00045340","E00045340",194,83,32,21,3,23,24,8
"E00045341","E00045341",219,76,38,31,5,33,27,9
"E00045342","E00045342",442,97,55,71,14,78,111,16
"E00045343","E00045343",221,48,41,44,8,31,47,2
"E00045344","E00045344",162,60,29,32,2,15,19,5
"E00045345","E00045345",304,112,48,50,11,40,35,8
"E00045346","E00045346",257,72,48,44,8,34,40,11
"E00045347","E00045347",227,73,26,41,11,26,41,9
