
"TS037 - General health"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 output area","mnemonic","Total: All usual residents","Very good health","Good health","Fair health","Bad health","Very bad health"

"E00045077","E00045077",322,184,103,23,8,4
"E00045078","E00045078",374,162,150,49,10,3
"E00045079","E00045079",307,139,106,45,16,1
"E00045080","E00045080",381,178,137,50,12,4
"E00045081","E00045081",249,69,85,77,15,3
"E00045082","E00045082",441,223,139,50,21,8
"E00045083","E00045083",359,147,133,67,11,1
"E00045084","E00045084",349,149,134,43,20,3
"E00045085","E00045085",296,97,115,62,15,7
"E00045086","E00045086",435,194,130,78,25,8
"E00045087","E00045087",245,82,95,49,14,5
"E00045088","E00045088",312,134,134,32,10,2
"E00045090","E00045090",358,161,118,51,24,4
"E00045091","E00045091",403,133,173,71,20,6
"E00045092","E00045092",401,134,164,83,16,4
"E00045093","E00045093",291,117,113,48,7,6
"E00045094","E00045094",417,225,127,47,12,6
"E00045095","E00045095",316,164,92,40,14,6
"E00045096","E00045096",239,74,86,45,24,10
"E00045097","E00045097",322,140,118,45,14,5
"E00045098","E00045098",273,125,103,35,9,1
"E00045099","E00045099",275,143,70,41,17,4
"E00045100","E00045100",381,170,121,58,22,10
"E00045101","E00045101",412,207,134,49,15,7
"E00045102","E00045102",455,195,170,61,20,9
"E00045103","E00045103",368,174,105,64,17,8
"E00045104","E00045104",408,194,145,52,14,3
"E00045105","E00045105",400,180,136,65,18,1
"E00045106","E00045106",364,165,120,54,20,5
"E00045107","E00045107",423,227,126,41,20,9
"E00045108","E00045108",327,156,106,42,19,4
"E00045109","E00045109",441,202,168,49,17,5
"E00045110","E00045110",303,138,105,46,11,3
"E00045111","E00045111",384,211,98,48,24,3
"E00045112","E00045112",352,164,124,44,14,6
"E00045113","E00045113",342,148,129,33,25,7
"E00045114","E00045114",354,165,128,38,15,8
"E00045115","E00045115",347,155,115,52,18,7
"E00045116","E00045116",464,237,155,49,18,5
"E00045117","E00045117",326,139,108,54,18,7
"E00045118","E00045118",386,170,144,54,15,3
"E00045119","E00045119",419,185,139,66,23,6
"E00045120","E00045120",443,214,150,51,15,13
"E00045121","E00045121",439,204,132,73,27,3
"E00045122","E00045122",278,104,97,46,22,9
"E00045123","E00045123",243,102,71,43,22,5
"E00045124","E00045124",401,195,117,56,21,12
"E00045125","E00045125",381,169,147,56,7,2
"E00045126","E00045126",454,227,150,55,10,12
"E00045127","E00045127",385,207,120,43,5,10
"E00045128","E00045128",488,237,169,62,15,5
"E00045129","E00045129",513,285,152,47,18,11
"E00045130","E00045130",315,129,127,46,10,3
"E00045131","E00045131",470,231,154,57,23,5
"E00045132","E00045132",227,101,78,33,12,3
"E00045133","E00045133",293,137,101,37,15,3
"E00045134","E00045134",496,235,169,63,20,9
"E00045135","E00045135",351,139,119,60,25,8
"E00045136","E00045136",389,165,110,77,26,11
"E00045137","E00045137",375,208,124,37,5,1
"E00045138","E00045138",368,181,135,38,11,3
"E00045139","E00045139",138,18,30,57,28,5
"E00045140","E00045140",354,145,113,63,30,3
"E00045141","E00045141",291,153,88,42,6,2
"E00045142","E00045142",378,185,124,48,13,8
"E00045143","E00045143",361,168,123,49,16,5
"E00045144","E00045144",332,149,136,38,7,2
"E00045145","E00045145",463,240,162,40,17,4
"E00045146","E00045146",360,159,142,45,11,3
"E00045147","E00045147",304,136,114,35,9,10
"E00045148","E00045148",343,148,124,50,15,6
"E00045149","E00045149",256,119,98,26,13,0
"E00045150","E00045150",324,163,108,41,8,4
"E00045151","E00045151",317,133,123,42,13,6
"E00045152","E00045152",318,160,99,45,13,1
"E00045153","E00045153",396,166,148,53,25,4
"E00045154","E00045154",318,167,90,42,14,5
"E00045155","E00045155",406,226,125,41,12,2
"E00045156","E00045156",272,124,98,37,10,3
"E00045157","E00045157",328,165,118,31,10,4
"E00045158","E00045158",358,187,98,45,19,9
"E00045159","E00045159",305,132,121,33,14,5
"E00045160","E00045160",396,170,152,55,15,4
"E00045161","E00045161",277,120,81,45,18,13
"E00045162","E00045162",402,161,178,44,12,7
"E00045163","E00045163",337,144,136,41,13,3
"E00045164","E00045164",277,77,89,57,41,13
"E00045165","E00045165",370,166,140,37,22,5
"E00045166","E00045166",340,162,111,42,23,2
"E00045167","E00045167",460,208,150,56,40,6
"E00045168","E00045168",458,207,148,58,34,11
"E00045169","E00045169",446,217,158,41,20,10
"E00045171","E00045171",567,305,171,64,19,8
"E00045172","E00045172",534,267,163,69,24,11
"E00045173","E00045173",571,257,195,93,20,6
"E00045174","E00045174",441,193,128,73,33,14
"E00045175","E00045175",486,212,179,67,21,7
"E00045176","E00045176",444,202,140,70,25,7
"E00045178","E00045178",469,211,145,80,21,12
"E00045180","E00045180",378,183,115,45,26,9
"E00045181","E00045181",356,152,127,63,11,3
"E00045182","E00045182",346,152,115,50,23,6
"E00045183","E00045183",516,234,177,61,38,6
"E00045184","E00045184",354,168,109,54,18,5
"E00045186","E00045186",382,181,117,54,23,7
"E00045187","E00045187",390,189,138,42,18,3
"E00045188","E00045188",333,201,76,36,15,5
"E00045189","E00045189",342,147,102,56,34,3
"E00045190","E00045190",557,282,183,70,17,5
"E00045191","E00045191",349,160,105,54,26,4
"E00045193","E00045193",520,247,193,59,17,4
"E00045196","E00045196",224,111,79,26,6,2
"E00045197","E00045197",467,260,147,43,16,1
"E00045198","E00045198",147,52,43,33,13,6
"E00045199","E00045199",528,293,141,72,15,7
"E00045200","E00045200",497,189,132,112,53,11
"E00045201","E00045201",423,237,114,53,12,7
"E00045202","E00045202",371,183,116,46,23,3
"E00045204","E00045204",625,377,162,54,26,6
"E00045205","E00045205",395,211,121,47,12,4
"E00045206","E00045206",449,236,112,71,21,9
"E00045207","E00045207",303,177,79,34,9,4
"E00045208","E00045208",556,321,167,50,14,4
"E00045210","E00045210",337,192,83,48,10,4
"E00045212","E00045212",553,335,142,59,9,8
"E00045213","E00045213",488,240,174,54,17,3
"E00045214","E00045214",325,180,98,34,12,1
"E00045215","E00045215",486,240,193,42,7,4
"E00045216","E00045216",363,209,108,29,14,3
"E00045217","E00045217",422,184,149,29,36,24
"E00045218","E00045218",441,200,175,49,13,4
"E00045219","E00045219",527,268,191,47,16,5
"E00045220","E00045220",414,194,134,54,26,6
"E00045221","E00045221",390,213,118,42,9,8
"E00045222","E00045222",113,49,47,11,2,4
"E00045223","E00045223",343,184,90,46,15,8
"E00045224","E00045224",287,132,102,43,7,3
"E00045225","E00045225",295,132,110,35,10,8
"E00045226","E00045226",223,98,69,31,15,10
"E00045227","E00045227",395,166,122,61,37,9
"E00045228","E00045228",323,163,98,42,16,4
"E00045231","E00045231",354,182,99,49,21,3
"E00045232","E00045232",566,290,181,52,33,10
"E00045233","E00045233",317,151,101,43,17,5
"E00045234","E00045234",442,171,174,68,24,5
"E00045235","E00045235",412,231,110,46,23,2
"E00045236","E00045236",451,227,104,73,29,18
"E00045237","E00045237",414,202,116,68,20,8
"E00045238","E00045238",361,167,130,40,14,10
"E00045239","E00045239",446,253,119,45,21,8
"E00045240","E00045240",284,146,94,29,14,1
"E00045241","E00045241",576,224,248,74,26,4
"E00045242","E00045242",306,150,89,49,16,2
"E00045244","E00045244",418,201,129,58,22,8
"E00045245","E00045245",448,256,109,57,17,9
"E00045247","E00045247",324,187,86,40,10,1
"E00045249","E00045249",254,112,70,49,19,4
"E00045250","E00045250",228,66,86,54,17,5
"E00045251","E00045251",288,126,79,59,15,9
"E00045252","E00045252",223,80,73,45,18,7
"E00045253","E00045253",274,118,102,39,11,4
"E00045254","E00045254",242,108,84,32,14,4
"E00045255","E00045255",347,179,124,34,9,1
"E00045256","E00045256",359,141,123,67,22,6
"E00045257","E00045257",304,125,118,45,14,2
"E00045258","E00045258",313,154,98,41,15,5
"E00045259","E00045259",319,163,90,48,14,4
"E00045260","E00045260",266,118,117,19,8,4
"E00045261","E00045261",223,81,75,43,23,1
"E00045262","E00045262",289,108,89,60,21,11
"E00045263","E00045263",253,104,79,43,20,7
"E00045264","E00045264",403,126,164,74,32,7
"E00045265","E00045265",308,121,105,47,24,11
"E00045266","E00045266",226,87,63,54,15,7
"E00045267","E00045267",202,67,67,38,19,11
"E00045269","E00045269",294,124,105,47,13,5
"E00045271","E00045271",193,81,63,27,16,6
"E00045272","E00045272",217,103,64,23,21,6
"E00045273","E00045273",413,261,123,27,2,0
"E00045274","E00045274",424,225,129,52,12,6
"E00045275","E00045275",279,134,94,34,13,4
"E00045276","E00045276",331,156,106,44,20,5
"E00045277","E00045277",299,128,101,40,16,14
"E00045278","E00045278",381,222,102,40,15,2
"E00045279","E00045279",199,79,82,29,7,2
"E00045280","E00045280",214,93,61,35,20,5
"E00045281","E00045281",291,121,103,44,18,5
"E00045282","E00045282",245,110,89,32,8,6
"E00045283","E00045283",314,120,100,66,24,4
"E00045284","E00045284",368,186,109,49,20,4
"E00045285","E00045285",271,112,87,49,17,6
"E00045286","E00045286",343,141,120,64,16,2
"E00045287","E00045287",319,167,94,41,10,7
"E00045288","E00045288",314,128,119,44,12,11
"E00045289","E00045289",256,112,89,40,7,8
"E00045290","E00045290",286,126,81,44,27,8
"E00045292","E00045292",293,134,91,48,10,10
"E00045293","E00045293",426,158,167,64,24,13
"E00045294","E00045294",308,95,120,64,21,8
"E00045295","E00045295",290,148,83,40,13,6
"E00045296","E00045296",315,139,97,51,24,4
"E00045297","E00045297",267,106,115,37,4,5
"E00045298","E00045298",337,144,139,38,14,2
"E00045299","E00045299",347,148,143,42,11,3
"E00045300","E00045300",325,138,129,39,12,7
"E00045301","E00045301",272,113,96,49,10,4
"E00045302","E00045302",215,89,83,32,10,1
"E00045303","E00045303",389,179,131,59,16,4
"E00045304","E00045304",287,136,86,43,16,6
"E00045305","E00045305",278,121,92,45,17,3
"E00045306","E00045306",325,166,115,38,6,0
"E00045307","E00045307",277,111,81,39,25,21
"E00045308","E00045308",318,147,105,55,8,3
"E00045309","E00045309",276,114,86,53,12,11
"E00045310","E00045310",273,114,80,48,20,11
"E00045311","E00045311",269,110,89,43,22,5
"E00045312","E00045312",271,118,87,46,15,5
"E00045313","E00045313",295,143,105,36,9,2
"E00045315","E00045315",290,109,106,52,21,2
"E00045317","E00045317",339,138,121,62,16,2
"E00045318","E00045318",263,113,85,42,18,5
"E00045320","E00045320",303,140,94,42,19,8
"E00045321","E00045321",239,105,71,39,20,4
"E00045322","E00045322",352,120,117,78,31,6
"E00045323","E00045323",292,146,74,46,20,6
"E00045324","E00045324",373,170,117,67,16,3
"E00045325","E00045325",370,191,110,56,10,3
"E00045326","E00045326",363,214,87,44,14,4
"E00045327","E00045327",273,127,101,35,4,6
"E00045328","E00045328",381,150,166,46,16,3
"E00045329","E00045329",325,160,99,48,13,5
"E00045330","E00045330",329,143,106,52,19,9
"E00045331","E00045331",349,163,117,49,18,2
"E00045332","E00045332",292,137,91,37,27,0
"E00045333","E00045333",293,117,100,47,19,10
"E00045334","E00045334",415,187,132,68,26,2
"E00045335","E00045335",283,150,70,46,15,2
"E00045336","E00045336",310,129,120,46,14,1
"E00045337","E00045337",319,126,107,52,21,13
"E00045338","E00045338",288,104,128,36,15,5
"E00045339","E00045339",463,143,167,64,61,28
"E00045340","E00045340",267,112,86,49,14,6
"E00045341","E00045341",292,126,106,39,15,6
"E00045342","E00045342",556,266,199,64,21,6
"E00045343","E00045343",291,126,113,37,12,3
"E00045344","E00045344",295,159,78,37,10,11
"E00045345","E00045345",420,166,164,67,19,4
"E00045346","E00045346",345,147,121,55,18,4
"E00045347","E00045347",294,129,97,43,21,4
"E00045348","E00045348",393,190,137,42,24,0
"E00045349","E00045349",283,124,111,32,14,2
"E00045350","E00045350",321,158,99,47,15,2
"E00045351","E00045351",347,153,105,60,22,7
"E00045352","E00045352",346,139,126,63,13,5
"E00045353","E00045353",354,115,127,91,15,6
"E00045354","E00045354",313,132,115,44,18,4
"E00045355","E00045355",312,138,119,43,12,0
"E00045356","E00045356",277,115,76,54,24,8
"E00045357","E00045357",317,155,92,47,20,3
"E00045358","E00045358",228,93,84,39,9,3
"E00045359","E00045359",359,162,121,60,9,7
"E00045360","E00045360",322,170,103,33,13,3
"E00045361","E00045361",252,114,94,34,8,2
"E00045362","E00045362",395,156,121,54,46,18
"E00045363","E00045363",347,157,110,57,16,7
"E00045364","E00045364",328,156,112,45,11,4
"E00045365","E00045365",317,152,95,55,10,5
"E00045366","E00045366",281,116,100,49,10,6
"E00045367","E00045367",206,72,69,38,13,14
"E00045368","E00045368",249,126,88,28,6,1
"E00045369","E00045369",318,133,128,47,6,4
"E00045370","E00045370",325,150,116,41,15,3
"E00045371","E00045371",317,154,90,58,13,2
"E00045372","E00045372",308,148,115,31,9,5
"E00045373","E00045373",313,164,102,37,5,5
"E00045374","E00045374",453,244,144,46,15,4
"E00045375","E00045375",416,180,151,60,21,4
"E00045376","E00045376",354,181,113,42,14,4
"E00045377","E00045377",389,208,121,49,9,2
"E00045378","E00045378",290,113,97,57,17,6
"E00045379","E00045379",346,136,125,60,20,5
"E00045380","E00045380",304,151,101,41,8,3
"E00045381","E00045381",337,144,109,57,19,8
"E00045382","E00045382",287,153,89,33,10,2
"E00045383","E00045383",362,170,127,48,13,4
"E00045384","E00045384",370,157,134,56,17,6
"E00045385","E00045385",268,102,84,46,26,10
"E00045386","E00045386",334,175,118,29,6,6
"E00045387","E00045387",316,143,113,37,15,8
"E00045388","E00045388",441,202,146,65,22,6
"E00045389","E00045389",271,79,87,62,31,12
"E00045390","E00045390",294,141,116,31,5,1
"E00045391","E00045391",354,170,124,46,9,5
"E00045392","E00045392",325,120,97,78,27,3
"E00045393","E00045393",276,120,79,48,24,5
"E00045394","E00045394",375,157,115,60,36,7
"E00045395","E00045395",313,126,133,38,12,4
"E00045396","E00045396",412,190,154,45,21,2
"E00045397","E00045397",430,216,129,60,17,8
"E00045398","E00045398",282,134,81,44,19,4
"E00045399","E00045399",346,148,133,42,11,12
"E00045400","E00045400",319,172,98,31,12,6
"E00045401","E00045401",303,127,107,52,16,1
"E00045402","E00045402",417,203,118,70,16,10
"E00045403","E00045403",306,123,130,38,13,2
"E00045404","E00045404",117,14,36,43,19,5
"E00045405","E00045405",252,92,91,45,17,7
"E00045406","E00045406",367,174,106,59,22,6
"E00045407","E00045407",309,139,112,43,11,4
"E00045408","E00045408",286,100,119,45,20,2
"E00045409","E00045409",276,119,93,45,16,3
"E00045410","E00045410",295,127,88,58,17,5
"E00045411","E00045411",329,146,113,58,12,0
"E00045412","E00045412",378,171,126,43,30,8
"E00045413","E00045413",154,5,56,69,14,10
"E00045414","E00045414",272,123,99,35,10,5
"E00045415","E00045415",272,137,90,36,8,1
"E00045416","E00045416",268,126,100,30,8,4
"E00045417","E00045417",250,123,83,34,9,1
"E00045418","E00045418",204,55,63,65,14,7
"E00045419","E00045419",328,148,94,47,34,5
"E00045420","E00045420",347,158,125,45,17,2
"E00045421","E00045421",358,173,120,46,15,4
"E00045422","E00045422",315,194,91,24,4,2
"E00045423","E00045423",329,192,87,34,13,3
"E00045424","E00045424",411,214,149,34,12,2
"E00045425","E00045425",258,130,85,30,10,3
"E00045426","E00045426",234,105,67,37,16,9
"E00045427","E00045427",354,175,113,48,15,3
"E00045428","E00045428",373,188,118,46,16,5
"E00045429","E00045429",273,142,94,27,6,4
"E00045430","E00045430",296,138,88,47,18,5
"E00045431","E00045431",339,202,83,40,11,3
"E00045432","E00045432",250,99,89,45,12,5
"E00045433","E00045433",302,167,98,29,5,3
"E00045434","E00045434",256,105,85,38,18,10
"E00045435","E00045435",275,100,109,42,15,9
"E00045436","E00045436",254,114,105,24,7,4
"E00045437","E00045437",207,64,64,49,20,10
"E00045438","E00045438",279,131,96,34,13,5
"E00045439","E00045439",287,151,97,34,4,1
"E00045440","E00045440",187,71,68,33,12,3
"E00045441","E00045441",287,134,90,43,17,3
"E00045442","E00045442",353,189,128,24,7,5
"E00045443","E00045443",302,150,84,46,15,7
"E00045444","E00045444",303,181,82,31,7,2
"E00045445","E00045445",373,166,137,52,15,3
"E00045446","E00045446",296,146,103,36,9,2
"E00045447","E00045447",301,106,105,69,18,3
"E00045448","E00045448",221,60,85,62,11,3
"E00045449","E00045449",292,147,91,40,11,3
"E00045450","E00045450",299,133,116,37,11,2
"E00045451","E00045451",298,133,123,29,9,4
"E00045452","E00045452",368,159,134,53,16,6
"E00045453","E00045453",307,141,112,39,10,5
"E00045454","E00045454",331,143,106,47,30,5
"E00045455","E00045455",400,207,119,40,30,4
"E00045456","E00045456",262,106,82,46,23,5
"E00045457","E00045457",511,218,186,71,27,9
"E00045458","E00045458",278,131,93,35,18,1
"E00045459","E00045459",340,150,121,49,14,6
"E00045460","E00045460",333,158,107,47,14,7
"E00045461","E00045461",256,120,82,36,15,3
"E00045462","E00045462",339,175,99,46,15,4
"E00045463","E00045463",350,169,115,41,19,6
"E00045464","E00045464",229,108,74,37,10,0
"E00045465","E00045465",263,115,107,29,8,4
"E00045466","E00045466",246,113,95,29,6,3
"E00045467","E00045467",307,128,118,46,12,3
"E00045468","E00045468",240,115,97,19,7,2
"E00045469","E00045469",335,138,127,53,14,3
"E00045470","E00045470",331,161,122,30,16,2
"E00045471","E00045471",398,190,149,44,9,6
"E00045472","E00045472",291,121,106,39,18,7
"E00045473","E00045473",304,142,96,43,21,2
"E00045474","E00045474",295,154,86,45,9,1
"E00045475","E00045475",204,81,82,30,6,5
"E00045476","E00045476",314,140,111,38,20,5
"E00045477","E00045477",214,87,58,44,20,5
"E00045478","E00045478",351,192,106,38,11,4
"E00045479","E00045479",274,111,124,28,5,6
"E00045480","E00045480",310,161,100,40,6,3
"E00045481","E00045481",284,138,109,27,7,3
"E00045482","E00045482",237,110,76,34,16,1
"E00045483","E00045483",328,165,112,37,9,5
"E00045484","E00045484",258,122,101,24,10,1
"E00045485","E00045485",151,28,43,54,21,5
"E00045486","E00045486",287,135,107,36,6,3
"E00045487","E00045487",262,104,108,34,10,6
"E00045488","E00045488",410,239,121,35,12,3
"E00045489","E00045489",158,27,49,42,33,7
"E00045490","E00045490",242,127,78,29,7,1
"E00045491","E00045491",353,152,132,51,15,3
"E00045492","E00045492",320,157,113,23,15,12
"E00045493","E00045493",342,194,90,46,10,2
"E00045494","E00045494",324,192,103,25,4,0
"E00045495","E00045495",205,76,78,32,15,4
"E00045496","E00045496",336,150,105,56,20,5
"E00045497","E00045497",291,156,97,29,7,2
"E00045498","E00045498",367,197,127,33,7,3
"E00045499","E00045499",301,162,72,48,13,6
"E00045500","E00045500",357,172,110,51,16,8
"E00045501","E00045501",278,134,79,42,19,4
"E00045502","E00045502",328,131,116,58,16,7
"E00045503","E00045503",282,129,82,47,14,10
"E00045504","E00045504",293,101,96,56,27,13
"E00045505","E00045505",414,169,140,81,20,4
"E00045506","E00045506",327,147,117,42,15,6
"E00045507","E00045507",314,137,93,64,13,7
"E00045508","E00045508",290,111,101,56,15,7
"E00045509","E00045509",303,79,75,97,42,10
"E00045510","E00045510",193,116,39,24,7,7
"E00045511","E00045511",275,113,78,59,23,2
"E00045512","E00045512",269,97,98,44,25,5
"E00045513","E00045513",244,122,77,27,15,3
"E00045514","E00045514",204,77,69,35,18,5
"E00045515","E00045515",176,62,46,41,20,7
"E00045516","E00045516",267,114,81,40,22,10
"E00045517","E00045517",282,113,96,45,20,8
"E00045518","E00045518",427,225,111,65,21,5
"E00045519","E00045519",255,120,79,35,17,4
"E00045520","E00045520",318,183,85,36,10,4
"E00045521","E00045521",289,135,86,46,15,7
"E00045522","E00045522",338,163,95,66,10,4
"E00045523","E00045523",344,173,127,29,12,3
"E00045524","E00045524",291,155,101,27,5,3
"E00045525","E00045525",296,108,117,52,14,5
"E00045526","E00045526",487,248,149,71,16,3
"E00045527","E00045527",366,166,106,54,26,14
"E00045528","E00045528",317,166,95,37,15,4
"E00045529","E00045529",297,145,98,39,11,4
"E00045530","E00045530",260,106,88,52,10,4
"E00045531","E00045531",310,180,89,36,5,0
"E00045532","E00045532",257,104,91,40,17,5
"E00045533","E00045533",220,86,81,28,16,9
"E00045534","E00045534",337,155,119,32,27,4
"E00045535","E00045535",283,125,109,38,8,3
"E00045536","E00045536",325,171,107,39,5,3
"E00045537","E00045537",379,220,120,28,10,1
"E00045538","E00045538",430,158,151,85,29,7
"E00045539","E00045539",320,166,107,33,9,5
"E00045540","E00045540",262,128,88,35,6,5
"E00045541","E00045541",326,148,132,35,7,4
"E00045542","E00045542",278,115,108,43,12,0
"E00045543","E00045543",356,175,120,48,11,2
"E00045544","E00045544",337,152,121,44,16,4
"E00045545","E00045545",359,135,130,66,25,3
"E00045546","E00045546",236,110,90,22,11,3
"E00045547","E00045547",343,179,121,26,11,6
"E00045548","E00045548",311,154,108,35,10,4
"E00045549","E00045549",408,187,131,64,22,4
"E00045550","E00045550",260,115,92,39,10,4
"E00045551","E00045551",288,140,101,33,11,3
"E00045552","E00045552",264,131,88,38,7,0
"E00045553","E00045553",292,125,87,41,31,8
"E00045554","E00045554",410,172,119,69,33,17
"E00045555","E00045555",375,205,110,44,16,0
"E00045556","E00045556",238,99,75,36,24,4
"E00045557","E00045557",287,140,92,35,14,6
"E00045558","E00045558",251,118,82,34,14,3
"E00045559","E00045559",412,193,126,61,22,10
"E00045560","E00045560",238,105,84,32,13,4
"E00045561","E00045561",274,163,74,29,5,3
"E00045562","E00045562",487,230,143,75,28,11
"E00045563","E00045563",256,124,88,37,4,3
"E00045564","E00045564",278,116,103,37,18,4
"E00045566","E00045566",402,164,139,66,25,8
"E00045568","E00045568",308,159,105,30,14,0
"E00045569","E00045569",208,72,87,27,16,6
"E00045570","E00045570",304,147,102,42,9,4
"E00045571","E00045571",221,98,83,31,5,4
"E00045572","E00045572",324,149,106,45,20,4
"E00045573","E00045573",342,188,107,34,8,5
"E00045574","E00045574",319,162,106,39,9,3
"E00045575","E00045575",302,141,109,41,10,1
"E00045576","E00045576",355,158,123,57,13,4
"E00045577","E00045577",233,103,89,31,8,2
"E00045578","E00045578",220,52,71,76,14,7
"E00045579","E00045579",335,134,130,47,20,4
"E00045580","E00045580",245,90,113,28,8,6
"E00045581","E00045581",212,67,66,46,11,22
"E00045582","E00045582",211,77,69,41,20,4
"E00045583","E00045583",287,95,101,52,24,15
"E00045585","E00045585",304,181,86,32,4,1
"E00045586","E00045586",203,136,43,18,5,1
"E00045587","E00045587",332,180,114,32,4,2
"E00045588","E00045588",356,185,104,40,18,9
"E00045589","E00045589",316,179,100,30,5,2
"E00045590","E00045590",495,307,142,35,10,1
"E00045592","E00045592",450,241,146,44,15,4
"E00045593","E00045593",340,167,103,49,14,7
"E00045594","E00045594",377,196,95,54,29,3
"E00045595","E00045595",310,150,114,40,6,0
"E00045596","E00045596",309,167,101,32,8,1
"E00045597","E00045597",408,203,115,66,19,5
"E00045598","E00045598",348,160,135,33,16,4
"E00045599","E00045599",293,147,91,37,14,4
"E00045600","E00045600",271,142,86,35,8,0
"E00045601","E00045601",293,105,126,34,16,12
"E00045602","E00045602",422,179,174,47,18,4
"E00045603","E00045603",342,188,111,28,9,6
"E00045604","E00045604",251,133,80,31,4,3
"E00045605","E00045605",245,108,98,28,10,1
"E00045606","E00045606",217,100,86,22,8,1
"E00045607","E00045607",283,147,87,32,14,3
"E00045608","E00045608",338,168,95,50,19,6
"E00045609","E00045609",395,238,123,28,4,2
"E00045610","E00045610",357,204,117,25,10,1
"E00045611","E00045611",189,83,51,33,21,1
"E00045612","E00045612",332,204,100,19,9,0
"E00045613","E00045613",321,158,126,27,7,3
"E00045614","E00045614",352,204,87,43,10,8
"E00045615","E00045615",230,106,90,28,4,2
"E00045616","E00045616",296,177,92,25,2,0
"E00045618","E00045618",187,92,53,30,12,0
"E00045620","E00045620",314,171,112,27,3,1
"E00045621","E00045621",252,146,79,21,6,0
"E00045622","E00045622",284,160,92,29,3,0
"E00045623","E00045623",403,257,112,23,8,3
"E00045624","E00045624",237,140,76,20,1,0
"E00045625","E00045625",396,207,114,49,20,6
"E00045627","E00045627",401,237,128,22,10,4
"E00045628","E00045628",201,101,79,19,1,1
"E00045629","E00045629",226,131,65,24,4,2
"E00045630","E00045630",465,218,151,65,22,9
"E00045631","E00045631",316,170,85,46,11,4
"E00045632","E00045632",245,116,91,24,11,3
"E00045633","E00045633",345,181,90,45,18,11
"E00045635","E00045635",383,191,109,45,29,9
"E00045636","E00045636",357,173,129,39,13,3
"E00045637","E00045637",227,99,97,22,5,4
"E00045638","E00045638",291,139,86,40,20,6
"E00045639","E00045639",439,218,147,49,17,8
