
"TS038 - Disability"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"2021 output area","mnemonic","Total: All usual residents","Disabled under the Equality Act","Not disabled under the Equality Act"

"E00045077","E00045077",322,44,278
"E00045078","E00045078",373,56,317
"E00045079","E00045079",307,52,255
"E00045080","E00045080",381,60,321
"E00045081","E00045081",250,90,160
"E00045082","E00045082",443,80,363
"E00045083","E00045083",361,57,304
"E00045084","E00045084",347,54,293
"E00045085","E00045085",297,95,202
"E00045086","E00045086",434,87,347
"E00045087","E00045087",248,72,176
"E00045088","E00045088",311,41,270
"E00045090","E00045090",360,77,283
"E00045091","E00045091",403,126,277
"E00045092","E00045092",400,94,306
"E00045093","E00045093",290,56,234
"E00045094","E00045094",417,63,354
"E00045095","E00045095",314,53,261
"E00045096","E00045096",239,63,176
"E00045097","E00045097",323,52,271
"E00045098","E00045098",272,32,240
"E00045099","E00045099",276,58,218
"E00045100","E00045100",381,84,297
"E00045101","E00045101",412,55,357
"E00045102","E00045102",457,79,378
"E00045103","E00045103",370,75,295
"E00045104","E00045104",409,59,350
"E00045105","E00045105",399,63,336
"E00045106","E00045106",365,69,296
"E00045107","E00045107",420,59,361
"E00045108","E00045108",325,61,264
"E00045109","E00045109",443,63,380
"E00045110","E00045110",303,54,249
"E00045111","E00045111",387,71,316
"E00045112","E00045112",353,50,303
"E00045113","E00045113",343,67,276
"E00045114","E00045114",355,58,297
"E00045115","E00045115",344,63,281
"E00045116","E00045116",466,66,400
"E00045117","E00045117",329,66,263
"E00045118","E00045118",387,58,329
"E00045119","E00045119",418,78,340
"E00045120","E00045120",443,66,377
"E00045121","E00045121",439,69,370
"E00045122","E00045122",278,66,212
"E00045123","E00045123",247,53,194
"E00045124","E00045124",400,65,335
"E00045125","E00045125",381,44,337
"E00045126","E00045126",456,62,394
"E00045127","E00045127",385,41,344
"E00045128","E00045128",491,75,416
"E00045129","E00045129",511,73,438
"E00045130","E00045130",315,55,260
"E00045131","E00045131",471,61,410
"E00045132","E00045132",227,46,181
"E00045133","E00045133",294,52,242
"E00045134","E00045134",495,74,421
"E00045135","E00045135",352,72,280
"E00045136","E00045136",389,101,288
"E00045137","E00045137",372,39,333
"E00045138","E00045138",370,47,323
"E00045139","E00045139",140,77,63
"E00045140","E00045140",354,71,283
"E00045141","E00045141",290,41,249
"E00045142","E00045142",381,70,311
"E00045143","E00045143",361,54,307
"E00045144","E00045144",329,36,293
"E00045145","E00045145",461,49,412
"E00045146","E00045146",363,54,309
"E00045147","E00045147",306,49,257
"E00045148","E00045148",342,68,274
"E00045149","E00045149",256,42,214
"E00045150","E00045150",324,40,284
"E00045151","E00045151",316,56,260
"E00045152","E00045152",320,59,261
"E00045153","E00045153",397,77,320
"E00045154","E00045154",318,47,271
"E00045155","E00045155",404,47,357
"E00045156","E00045156",272,43,229
"E00045157","E00045157",329,44,285
"E00045158","E00045158",358,74,284
"E00045159","E00045159",306,48,258
"E00045160","E00045160",398,78,320
"E00045161","E00045161",277,74,203
"E00045162","E00045162",402,59,343
"E00045163","E00045163",336,57,279
"E00045164","E00045164",280,106,174
"E00045165","E00045165",371,70,301
"E00045166","E00045166",339,52,287
"E00045167","E00045167",460,86,374
"E00045168","E00045168",457,79,378
"E00045169","E00045169",446,48,398
"E00045171","E00045171",568,73,495
"E00045172","E00045172",533,80,453
"E00045173","E00045173",569,80,489
"E00045174","E00045174",441,82,359
"E00045175","E00045175",487,86,401
"E00045176","E00045176",446,78,368
"E00045178","E00045178",469,82,387
"E00045180","E00045180",378,35,343
"E00045181","E00045181",358,47,311
"E00045182","E00045182",347,66,281
"E00045183","E00045183",519,83,436
"E00045184","E00045184",355,60,295
"E00045186","E00045186",381,43,338
"E00045187","E00045187",390,61,329
"E00045188","E00045188",335,41,294
"E00045189","E00045189",342,76,266
"E00045190","E00045190",557,60,497
"E00045191","E00045191",350,76,274
"E00045193","E00045193",520,69,451
"E00045196","E00045196",223,29,194
"E00045197","E00045197",467,47,420
"E00045198","E00045198",146,41,105
"E00045199","E00045199",527,63,464
"E00045200","E00045200",496,137,359
"E00045201","E00045201",425,52,373
"E00045202","E00045202",370,59,311
"E00045204","E00045204",625,50,575
"E00045205","E00045205",395,63,332
"E00045206","E00045206",448,65,383
"E00045207","E00045207",301,36,265
"E00045208","E00045208",556,48,508
"E00045210","E00045210",336,28,308
"E00045212","E00045212",554,68,486
"E00045213","E00045213",490,79,411
"E00045214","E00045214",325,28,297
"E00045215","E00045215",484,32,452
"E00045216","E00045216",363,39,324
"E00045217","E00045217",422,73,349
"E00045218","E00045218",444,40,404
"E00045219","E00045219",528,52,476
"E00045220","E00045220",414,67,347
"E00045221","E00045221",391,50,341
"E00045222","E00045222",114,15,99
"E00045223","E00045223",344,54,290
"E00045224","E00045224",289,30,259
"E00045225","E00045225",296,33,263
"E00045226","E00045226",223,42,181
"E00045227","E00045227",395,78,317
"E00045228","E00045228",323,31,292
"E00045231","E00045231",354,44,310
"E00045232","E00045232",563,83,480
"E00045233","E00045233",317,50,267
"E00045234","E00045234",444,67,377
"E00045235","E00045235",413,53,360
"E00045236","E00045236",450,89,361
"E00045237","E00045237",416,81,335
"E00045238","E00045238",358,56,302
"E00045239","E00045239",447,70,377
"E00045240","E00045240",284,26,258
"E00045241","E00045241",576,55,521
"E00045242","E00045242",306,58,248
"E00045244","E00045244",418,80,338
"E00045245","E00045245",447,55,392
"E00045247","E00045247",322,30,292
"E00045249","E00045249",254,54,200
"E00045250","E00045250",227,61,166
"E00045251","E00045251",291,73,218
"E00045252","E00045252",220,64,156
"E00045253","E00045253",274,51,223
"E00045254","E00045254",242,57,185
"E00045255","E00045255",347,40,307
"E00045256","E00045256",360,104,256
"E00045257","E00045257",302,54,248
"E00045258","E00045258",313,56,257
"E00045259","E00045259",324,54,270
"E00045260","E00045260",266,37,229
"E00045261","E00045261",221,50,171
"E00045262","E00045262",286,87,199
"E00045263","E00045263",252,67,185
"E00045264","E00045264",406,132,274
"E00045265","E00045265",307,92,215
"E00045266","E00045266",224,67,157
"E00045267","E00045267",201,63,138
"E00045269","E00045269",294,49,245
"E00045271","E00045271",194,54,140
"E00045272","E00045272",217,50,167
"E00045273","E00045273",413,34,379
"E00045274","E00045274",427,74,353
"E00045275","E00045275",279,41,238
"E00045276","E00045276",331,64,267
