
"TS045 - Car or van availability"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"2021 output area","mnemonic","Total: All households","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 or more cars or vans in household"

"E00045077","E00045077",114,10,42,49,13
"E00045078","E00045078",152,15,65,54,18
"E00045079","E00045079",158,85,52,17,4
"E00045080","E00045080",137,25,47,48,17
"E00045081","E00045081",102,57,33,10,2
"E00045082","E00045082",134,42,66,20,6
"E00045083","E00045083",150,17,81,39,13
"E00045084","E00045084",135,51,55,21,8
"E00045085","E00045085",122,53,48,16,5
"E00045086","E00045086",151,34,74,31,12
"E00045087","E00045087",137,59,49,27,2
"E00045088","E00045088",131,16,70,31,14
"E00045090","E00045090",148,60,54,31,3
"E00045091","E00045091",150,54,63,23,10
"E00045092","E00045092",178,63,71,35,9
"E00045093","E00045093",139,66,40,22,11
"E00045094","E00045094",162,38,72,40,12
"E00045095","E00045095",125,35,65,20,5
"E00045096","E00045096",118,64,39,10,5
"E00045097","E00045097",107,20,42,39,6
"E00045098","E00045098",115,34,57,20,4
"E00045099","E00045099",99,32,52,12,3
"E00045100","E00045100",130,57,38,25,10
"E00045101","E00045101",105,29,45,24,7
"E00045102","E00045102",136,27,68,32,9
"E00045103","E00045103",121,29,47,33,12
"E00045104","E00045104",113,41,45,23,4
"E00045105","E00045105",124,42,57,22,3
"E00045106","E00045106",105,25,55,21,4
"E00045107","E00045107",123,30,68,17,8
"E00045108","E00045108",127,54,58,12,3
"E00045109","E00045109",130,36,54,35,5
"E00045110","E00045110",109,20,49,28,12
"E00045111","E00045111",120,45,41,30,4
"E00045112","E00045112",112,18,57,30,7
"E00045113","E00045113",114,19,50,39,6
"E00045114","E00045114",116,34,57,19,6
"E00045115","E00045115",105,26,49,21,9
"E00045116","E00045116",129,28,59,31,11
"E00045117","E00045117",97,35,38,16,8
"E00045118","E00045118",124,38,46,29,11
"E00045119","E00045119",135,38,59,29,9
"E00045120","E00045120",139,47,63,21,8
"E00045121","E00045121",132,32,66,29,5
"E00045122","E00045122",108,54,39,14,1
"E00045123","E00045123",109,60,37,8,4
"E00045124","E00045124",140,61,62,12,5
"E00045125","E00045125",127,58,44,20,5
"E00045126","E00045126",147,46,68,26,7
"E00045127","E00045127",111,34,43,25,9
"E00045128","E00045128",141,36,51,29,25
"E00045129","E00045129",146,46,66,29,5
"E00045130","E00045130",118,35,57,23,3
"E00045131","E00045131",158,79,51,25,3
"E00045132","E00045132",93,38,35,18,2
"E00045133","E00045133",116,46,53,14,3
"E00045134","E00045134",145,50,67,21,7
"E00045135","E00045135",134,63,53,14,4
"E00045136","E00045136",134,44,62,25,3
"E00045137","E00045137",124,23,52,38,11
"E00045138","E00045138",128,32,63,30,3
"E00045139","E00045139",117,94,22,1,0
"E00045140","E00045140",120,35,55,25,5
"E00045141","E00045141",110,29,55,22,4
"E00045142","E00045142",130,42,55,22,11
"E00045143","E00045143",119,29,50,26,14
"E00045144","E00045144",145,25,78,31,11
"E00045145","E00045145",165,63,67,24,11
"E00045146","E00045146",144,21,57,48,18
"E00045147","E00045147",126,56,48,19,3
"E00045148","E00045148",155,67,63,22,3
"E00045149","E00045149",117,15,54,35,13
"E00045150","E00045150",121,14,54,41,12
"E00045151","E00045151",135,36,57,35,7
"E00045152","E00045152",112,32,54,25,1
"E00045153","E00045153",137,28,63,28,18
"E00045154","E00045154",130,27,64,25,14
"E00045155","E00045155",143,9,67,55,12
"E00045156","E00045156",108,16,43,39,10
"E00045157","E00045157",126,16,56,45,9
"E00045158","E00045158",141,35,71,28,7
"E00045159","E00045159",138,20,67,40,11
"E00045160","E00045160",121,43,46,22,10
"E00045161","E00045161",117,50,53,11,3
"E00045162","E00045162",139,34,73,26,6
"E00045163","E00045163",128,35,64,21,8
"E00045164","E00045164",179,103,66,9,1
"E00045165","E00045165",128,50,46,22,10
"E00045166","E00045166",97,45,29,15,8
"E00045167","E00045167",145,63,57,21,4
"E00045168","E00045168",121,49,48,18,6
"E00045169","E00045169",139,57,61,17,4
"E00045171","E00045171",168,78,76,9,5
"E00045172","E00045172",124,47,54,16,7
"E00045173","E00045173",129,40,53,27,9
"E00045174","E00045174",169,86,54,16,13
"E00045175","E00045175",188,90,70,23,5
"E00045176","E00045176",113,48,38,19,8
"E00045178","E00045178",116,38,49,20,9
"E00045180","E00045180",97,46,41,7,3
"E00045181","E00045181",105,48,34,19,4
"E00045182","E00045182",132,69,46,14,3
"E00045183","E00045183",121,43,50,20,8
"E00045184","E00045184",137,80,42,11,4
"E00045186","E00045186",119,59,45,13,2
"E00045187","E00045187",95,35,38,15,7
"E00045188","E00045188",143,86,52,5,0
"E00045189","E00045189",132,85,27,17,3
"E00045190","E00045190",143,42,68,28,5
"E00045191","E00045191",106,53,39,10,4
"E00045193","E00045193",147,57,64,22,4
"E00045196","E00045196",68,33,27,5,3
"E00045197","E00045197",103,25,46,26,6
"E00045198","E00045198",92,74,15,3,0
"E00045199","E00045199",190,100,73,12,5
"E00045200","E00045200",242,158,63,18,3
"E00045201","E00045201",147,82,52,12,1
"E00045202","E00045202",151,86,47,13,5
"E00045204","E00045204",212,109,93,9,1
"E00045205","E00045205",147,86,52,8,1
"E00045206","E00045206",135,73,48,13,1
"E00045207","E00045207",128,79,41,6,2
"E00045208","E00045208",165,85,66,12,2
"E00045210","E00045210",121,61,47,10,3
"E00045212","E00045212",166,97,51,16,2
"E00045213","E00045213",154,52,58,35,9
"E00045214","E00045214",127,51,62,10,4
"E00045215","E00045215",149,52,58,32,7
"E00045216","E00045216",112,51,36,20,5
"E00045217","E00045217",123,59,48,12,4
"E00045218","E00045218",144,60,65,17,2
"E00045219","E00045219",139,58,63,16,2
"E00045220","E00045220",115,44,48,18,5
"E00045221","E00045221",105,47,47,8,3
"E00045222","E00045222",67,39,23,5,0
"E00045223","E00045223",99,42,42,8,7
"E00045224","E00045224",89,40,40,7,2
"E00045225","E00045225",84,43,21,15,5
"E00045226","E00045226",93,55,29,6,3
"E00045227","E00045227",94,22,38,23,11
"E00045228","E00045228",94,26,37,23,8
"E00045231","E00045231",72,18,38,12,4
"E00045232","E00045232",117,55,32,17,13
"E00045233","E00045233",83,42,32,5,4
"E00045234","E00045234",106,39,51,14,2
"E00045235","E00045235",91,27,35,18,11
"E00045236","E00045236",158,67,60,22,9
"E00045237","E00045237",129,70,37,16,6
"E00045238","E00045238",106,25,54,19,8
"E00045239","E00045239",114,40,43,25,6
"E00045240","E00045240",104,51,36,8,9
"E00045241","E00045241",136,43,59,31,3
"E00045242","E00045242",108,67,29,9,3
"E00045244","E00045244",112,54,40,14,4
"E00045245","E00045245",155,57,71,25,2
"E00045247","E00045247",78,21,33,20,4
"E00045249","E00045249",112,36,48,20,8
"E00045250","E00045250",146,71,53,19,3
"E00045251","E00045251",113,43,47,19,4
"E00045252","E00045252",115,48,42,19,6
"E00045253","E00045253",123,11,58,46,8
"E00045254","E00045254",98,38,46,13,1
"E00045255","E00045255",144,8,63,60,13
"E00045256","E00045256",142,50,70,14,8
"E00045257","E00045257",139,23,69,40,7
"E00045258","E00045258",137,36,58,30,13
"E00045259","E00045259",126,50,56,14,6
"E00045260","E00045260",129,23,57,39,10
"E00045261","E00045261",128,65,51,11,1
"E00045262","E00045262",137,54,64,11,8
"E00045263","E00045263",106,40,52,11,3
"E00045264","E00045264",195,86,82,24,3
"E00045265","E00045265",128,48,54,22,4
"E00045266","E00045266",104,36,45,20,3
"E00045267","E00045267",100,45,41,9,5
"E00045269","E00045269",117,8,57,38,14
"E00045271","E00045271",79,24,41,11,3
"E00045272","E00045272",107,26,56,23,2
"E00045273","E00045273",149,14,70,55,10
"E00045274","E00045274",163,41,77,41,4
"E00045275","E00045275",124,12,50,52,10
"E00045276","E00045276",130,48,63,14,5
"E00045277","E00045277",129,47,58,21,3
"E00045278","E00045278",134,11,60,54,9
"E00045279","E00045279",98,18,44,34,2
"E00045280","E00045280",105,39,46,18,2
"E00045281","E00045281",127,45,66,14,2
"E00045282","E00045282",124,40,65,15,4
"E00045283","E00045283",134,49,69,14,2
"E00045284","E00045284",138,57,51,25,5
"E00045285","E00045285",119,39,57,19,4
"E00045286","E00045286",132,47,49,28,8
"E00045287","E00045287",105,33,44,24,4
"E00045288","E00045288",133,55,62,11,5
"E00045289","E00045289",113,54,40,16,3
"E00045290","E00045290",108,51,37,15,5
"E00045292","E00045292",121,47,54,16,4
"E00045293","E00045293",210,88,90,23,9
"E00045294","E00045294",117,54,34,19,10
"E00045295","E00045295",123,39,57,21,6
"E00045296","E00045296",134,17,65,39,13
"E00045297","E00045297",124,16,58,40,10
"E00045298","E00045298",146,30,63,42,11
"E00045299","E00045299",137,35,54,35,13
"E00045300","E00045300",122,31,48,34,9
"E00045301","E00045301",117,30,43,29,15
"E00045302","E00045302",106,49,46,11,0
"E00045303","E00045303",153,31,67,47,8
"E00045304","E00045304",109,44,42,20,3
"E00045305","E00045305",121,19,51,38,13
"E00045306","E00045306",125,16,49,48,12
"E00045307","E00045307",143,66,62,15,0
"E00045308","E00045308",126,44,60,16,6
"E00045309","E00045309",127,46,49,28,4
"E00045310","E00045310",122,59,53,7,3
"E00045311","E00045311",127,58,51,14,4
"E00045312","E00045312",125,19,59,39,8
"E00045313","E00045313",126,25,44,43,14
"E00045315","E00045315",131,55,52,15,9
"E00045317","E00045317",108,31,50,20,7
"E00045318","E00045318",114,41,51,19,3
"E00045320","E00045320",123,44,44,25,10
"E00045321","E00045321",118,58,43,14,3
"E00045322","E00045322",134,70,51,12,1
"E00045323","E00045323",121,69,38,11,3
"E00045324","E00045324",171,47,90,26,8
"E00045325","E00045325",124,64,41,12,7
"E00045326","E00045326",116,11,46,40,19
"E00045327","E00045327",99,13,40,35,11
"E00045328","E00045328",147,15,69,48,15
"E00045329","E00045329",117,32,54,23,8
"E00045330","E00045330",124,42,52,25,5
"E00045331","E00045331",140,48,57,29,6
"E00045332","E00045332",129,40,42,41,6
"E00045333","E00045333",138,59,53,19,7
"E00045334","E00045334",220,71,101,42,6
"E00045335","E00045335",117,36,55,23,3
"E00045336","E00045336",128,38,56,25,9
"E00045337","E00045337",131,50,56,21,4
"E00045338","E00045338",117,26,61,25,5
"E00045339","E00045339",119,31,49,35,4
"E00045340","E00045340",108,31,47,24,6
"E00045341","E00045341",113,25,50,30,8
"E00045342","E00045342",240,30,131,63,16
"E00045343","E00045343",122,20,59,37,6
"E00045344","E00045344",117,62,44,10,1
"E00045345","E00045345",142,40,63,31,8
"E00045346","E00045346",125,26,49,44,6
"E00045347","E00045347",130,30,64,32,4
"E00045348","E00045348",146,28,72,41,5
"E00045349","E00045349",121,10,62,38,11
"E00045350","E00045350",122,31,46,36,9
"E00045351","E00045351",145,47,67,22,9
"E00045352","E00045352",130,30,56,38,6
"E00045353","E00045353",130,29,59,37,5
"E00045354","E00045354",140,39,56,35,10
