
"TS052 - Occupancy rating for bedrooms"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"2021 output area","mnemonic","Total: All households","Occupancy rating of bedrooms: +2 or more","Occupancy rating of bedrooms: +1","Occupancy rating of bedrooms: 0","Occupancy rating of bedrooms: -1","Occupancy rating of bedrooms: -2 or less"

"E00045077","E00045077",114,67,31,11,4,1
"E00045078","E00045078",150,81,46,19,1,3
"E00045079","E00045079",158,16,22,111,9,0
"E00045080","E00045080",138,85,27,19,6,1
"E00045081","E00045081",103,21,23,51,8,0
"E00045082","E00045082",134,33,27,55,13,6
"E00045083","E00045083",149,42,74,28,5,0
"E00045084","E00045084",134,32,26,62,12,2
"E00045085","E00045085",122,35,27,53,4,3
"E00045086","E00045086",150,49,48,42,9,2
"E00045087","E00045087",132,38,24,60,9,1
"E00045088","E00045088",131,67,35,26,3,0
"E00045090","E00045090",147,43,25,64,13,2
"E00045091","E00045091",152,27,37,79,6,3
"E00045092","E00045092",181,61,42,71,6,1
"E00045093","E00045093",139,43,34,55,7,0
"E00045094","E00045094",162,37,71,43,10,1
"E00045095","E00045095",125,39,38,42,5,1
"E00045096","E00045096",117,15,65,27,8,2
"E00045097","E00045097",109,37,45,24,3,0
"E00045098","E00045098",115,26,45,31,12,1
"E00045099","E00045099",101,22,31,38,9,1
"E00045100","E00045100",130,39,37,38,9,7
"E00045101","E00045101",105,17,25,39,18,6
"E00045102","E00045102",135,52,31,32,17,3
"E00045103","E00045103",120,45,35,26,9,5
"E00045104","E00045104",111,13,31,46,20,1
"E00045105","E00045105",124,29,25,45,22,3
"E00045106","E00045106",106,30,24,33,16,3
"E00045107","E00045107",122,36,34,31,18,3
"E00045108","E00045108",127,13,35,53,21,5
"E00045109","E00045109",129,33,41,35,14,6
"E00045110","E00045110",109,35,30,35,8,1
"E00045111","E00045111",118,33,32,35,13,5
"E00045112","E00045112",110,34,33,34,8,1
"E00045113","E00045113",112,21,29,48,13,1
"E00045114","E00045114",116,20,32,45,15,4
"E00045115","E00045115",103,22,42,26,9,4
"E00045116","E00045116",129,31,39,41,11,7
"E00045117","E00045117",96,22,29,31,7,7
"E00045118","E00045118",124,37,50,21,11,5
"E00045119","E00045119",137,22,51,40,18,6
"E00045120","E00045120",143,22,30,69,19,3
"E00045121","E00045121",138,27,31,58,13,9
"E00045122","E00045122",110,18,22,50,18,2
"E00045123","E00045123",108,26,40,35,7,0
"E00045124","E00045124",141,18,39,65,18,1
"E00045125","E00045125",124,25,43,42,11,3
"E00045126","E00045126",144,35,38,53,15,3
"E00045127","E00045127",109,19,30,39,12,9
"E00045128","E00045128",139,46,42,30,16,5
"E00045129","E00045129",147,31,47,42,18,9
"E00045130","E00045130",118,33,37,40,6,2
"E00045131","E00045131",159,12,51,68,17,11
"E00045132","E00045132",91,19,28,38,6,0
"E00045133","E00045133",116,23,42,47,4,0
"E00045134","E00045134",145,18,39,64,12,12
"E00045135","E00045135",134,11,31,73,14,5
"E00045136","E00045136",134,22,46,48,16,2
"E00045137","E00045137",126,45,37,34,9,1
"E00045138","E00045138",128,23,42,45,13,5
"E00045139","E00045139",117,1,25,88,3,0
"E00045140","E00045140",122,35,38,31,16,2
"E00045141","E00045141",112,27,43,35,6,1
"E00045142","E00045142",130,36,47,36,11,0
"E00045143","E00045143",122,41,35,35,7,4
"E00045144","E00045144",143,40,62,37,4,0
"E00045145","E00045145",162,22,37,68,32,3
"E00045146","E00045146",145,69,45,24,6,1
"E00045147","E00045147",126,12,39,57,16,2
"E00045148","E00045148",156,20,40,85,7,4
"E00045149","E00045149",114,39,52,20,2,1
"E00045150","E00045150",121,52,46,20,2,1
"E00045151","E00045151",133,35,71,27,0,0
"E00045152","E00045152",110,30,36,35,8,1
"E00045153","E00045153",138,30,34,54,15,5
"E00045154","E00045154",129,25,51,43,9,1
"E00045155","E00045155",143,58,49,31,4,1
"E00045156","E00045156",108,48,44,15,1,0
"E00045157","E00045157",126,52,53,19,1,1
"E00045158","E00045158",139,32,43,50,14,0
"E00045159","E00045159",139,45,55,35,3,1
"E00045160","E00045160",122,43,29,32,13,5
"E00045161","E00045161",120,29,43,43,5,0
"E00045162","E00045162",139,21,63,33,19,3
"E00045163","E00045163",129,46,41,37,5,0
"E00045164","E00045164",179,1,67,99,12,0
"E00045165","E00045165",125,29,38,48,8,2
"E00045166","E00045166",98,20,21,42,12,3
"E00045167","E00045167",143,22,33,53,22,13
"E00045168","E00045168",123,14,30,42,28,9
"E00045169","E00045169",140,27,30,58,17,8
"E00045171","E00045171",169,19,45,71,27,7
"E00045172","E00045172",123,12,25,38,30,18
"E00045173","E00045173",129,18,24,45,26,16
"E00045174","E00045174",168,33,25,84,18,8
"E00045175","E00045175",188,26,32,92,31,7
"E00045176","E00045176",113,14,30,41,21,7
"E00045178","E00045178",116,17,23,51,19,6
"E00045180","E00045180",98,9,21,36,23,9
"E00045181","E00045181",104,17,24,37,13,13
"E00045182","E00045182",132,19,18,77,12,6
"E00045183","E00045183",121,11,34,30,30,16
"E00045184","E00045184",136,13,17,79,21,6
"E00045186","E00045186",123,13,19,67,15,9
"E00045187","E00045187",95,10,16,40,15,14
"E00045188","E00045188",144,1,11,87,41,4
"E00045189","E00045189",132,15,37,57,17,6
"E00045190","E00045190",146,25,35,46,31,9
"E00045191","E00045191",107,8,23,49,19,8
"E00045193","E00045193",146,21,29,61,27,8
"E00045196","E00045196",67,16,17,22,9,3
"E00045197","E00045197",103,25,25,23,21,9
"E00045198","E00045198",92,2,12,71,6,1
"E00045199","E00045199",189,16,36,96,29,12
"E00045200","E00045200",242,22,97,101,20,2
"E00045201","E00045201",146,6,33,68,33,6
"E00045202","E00045202",149,27,30,66,20,6
"E00045204","E00045204",212,3,55,86,62,6
"E00045205","E00045205",147,5,26,68,41,7
"E00045206","E00045206",136,35,26,51,19,5
"E00045207","E00045207",127,14,20,63,27,3
"E00045208","E00045208",165,19,38,58,39,11
"E00045210","E00045210",121,10,15,57,33,6
"E00045212","E00045212",166,13,19,81,34,19
"E00045213","E00045213",152,43,41,54,11,3
"E00045214","E00045214",127,8,32,68,18,1
"E00045215","E00045215",149,22,45,59,21,2
"E00045216","E00045216",110,14,32,40,18,6
"E00045217","E00045217",122,10,15,68,24,5
"E00045218","E00045218",141,18,47,51,19,6
"E00045219","E00045219",142,16,39,53,23,11
"E00045220","E00045220",114,18,28,38,21,9
"E00045221","E00045221",105,13,27,44,15,6
"E00045222","E00045222",69,2,15,45,5,2
"E00045223","E00045223",100,14,27,33,19,7
"E00045224","E00045224",86,15,30,26,10,5
"E00045225","E00045225",83,17,22,26,15,3
"E00045226","E00045226",90,9,14,57,6,4
"E00045227","E00045227",93,21,24,22,15,11
"E00045228","E00045228",94,30,26,27,7,4
"E00045231","E00045231",73,13,15,16,23,6
"E00045232","E00045232",119,22,25,38,19,15
"E00045233","E00045233",83,10,15,36,8,14
"E00045234","E00045234",106,19,25,39,13,10
"E00045235","E00045235",92,21,20,27,16,8
"E00045236","E00045236",158,26,34,68,22,8
"E00045237","E00045237",129,24,10,62,26,7
"E00045238","E00045238",104,24,29,27,17,7
"E00045239","E00045239",115,22,29,32,20,12
"E00045240","E00045240",104,17,10,55,14,8
"E00045241","E00045241",137,32,31,43,21,10
"E00045242","E00045242",112,13,17,56,17,9
"E00045244","E00045244",116,15,26,43,24,8
"E00045245","E00045245",157,24,49,56,24,4
"E00045247","E00045247",78,5,18,26,19,10
"E00045249","E00045249",111,36,26,39,10,0
"E00045250","E00045250",146,18,42,83,3,0
"E00045251","E00045251",112,13,35,53,9,2
"E00045252","E00045252",111,26,24,59,2,0
"E00045253","E00045253",125,56,51,17,1,0
"E00045254","E00045254",99,19,28,41,9,2
"E00045255","E00045255",143,78,53,10,2,0
"E00045256","E00045256",141,31,39,53,16,2
"E00045257","E00045257",138,69,52,16,1,0
"E00045258","E00045258",136,34,38,50,13,1
"E00045259","E00045259",126,13,44,50,13,6
"E00045260","E00045260",127,25,61,39,2,0
"E00045261","E00045261",128,13,32,77,6,0
"E00045262","E00045262",136,31,38,60,7,0
"E00045263","E00045263",105,20,24,52,6,3
"E00045264","E00045264",195,38,28,118,8,3
"E00045265","E00045265",130,50,31,44,3,2
"E00045266","E00045266",103,24,24,53,2,0
"E00045267","E00045267",102,13,50,37,1,1
"E00045269","E00045269",117,61,29,22,5,0
"E00045271","E00045271",78,15,34,21,8,0
"E00045272","E00045272",109,14,55,38,2,0
"E00045273","E00045273",151,45,74,29,3,0
"E00045274","E00045274",164,39,73,45,4,3
"E00045275","E00045275",124,79,39,4,2,0
"E00045276","E00045276",130,32,25,58,13,2
"E00045277","E00045277",129,27,32,60,7,3
"E00045278","E00045278",133,78,26,17,12,0
"E00045279","E00045279",98,56,30,12,0,0
"E00045280","E00045280",103,20,36,36,10,1
"E00045281","E00045281",127,29,39,46,10,3
"E00045282","E00045282",124,11,40,64,7,2
"E00045283","E00045283",134,26,36,57,14,1
"E00045284","E00045284",137,14,38,68,16,1
"E00045285","E00045285",119,43,20,41,11,4
"E00045286","E00045286",135,26,38,59,10,2
"E00045287","E00045287",104,30,28,39,6,1
"E00045288","E00045288",132,27,32,56,15,2
"E00045289","E00045289",112,11,25,65,7,4
"E00045290","E00045290",110,39,19,35,11,6
"E00045292","E00045292",124,29,26,53,13,3
"E00045293","E00045293",210,20,58,116,15,1
"E00045294","E00045294",119,36,57,21,3,2
"E00045295","E00045295",123,19,44,45,12,3
"E00045296","E00045296",133,66,40,23,4,0
"E00045297","E00045297",124,67,38,17,1,1
"E00045298","E00045298",145,80,46,17,2,0
"E00045299","E00045299",137,47,46,29,15,0
"E00045300","E00045300",122,35,46,32,9,0
"E00045301","E00045301",117,66,34,14,1,2
"E00045302","E00045302",109,18,20,58,13,0
"E00045303","E00045303",155,44,54,46,10,1
"E00045304","E00045304",109,10,30,55,12,2
"E00045305","E00045305",121,64,39,14,3,1
"E00045306","E00045306",125,63,41,19,2,0
"E00045307","E00045307",140,15,46,71,5,3
