
"TS054 - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"2021 output area","mnemonic","Total: All households","Owned","Shared ownership","Social rented","Private rented","Lives rent free"

"E00045077","E00045077",113,88,4,5,16,0
"E00045078","E00045078",151,128,0,0,23,0
"E00045079","E00045079",158,25,0,46,86,1
"E00045080","E00045080",136,106,0,4,26,0
"E00045081","E00045081",104,40,0,50,13,1
"E00045082","E00045082",135,62,0,13,60,0
"E00045083","E00045083",150,119,2,4,25,0
"E00045084","E00045084",138,64,0,13,59,2
"E00045085","E00045085",122,47,0,26,47,2
"E00045086","E00045086",149,97,0,33,19,0
"E00045087","E00045087",138,52,3,18,65,0
"E00045088","E00045088",131,115,0,3,13,0
"E00045090","E00045090",149,63,0,33,51,2
"E00045091","E00045091",147,66,2,27,52,0
"E00045092","E00045092",179,91,1,24,63,0
"E00045093","E00045093",138,46,0,6,84,2
"E00045094","E00045094",157,101,8,20,27,1
"E00045095","E00045095",124,80,0,24,19,1
"E00045096","E00045096",118,30,2,72,13,1
"E00045097","E00045097",109,72,0,7,30,0
"E00045098","E00045098",115,69,0,19,27,0
"E00045099","E00045099",101,47,1,44,9,0
"E00045100","E00045100",131,75,0,41,14,1
"E00045101","E00045101",106,56,0,27,20,3
"E00045102","E00045102",134,85,1,28,20,0
"E00045103","E00045103",118,74,1,25,18,0
"E00045104","E00045104",112,47,0,39,22,4
"E00045105","E00045105",127,55,0,48,24,0
"E00045106","E00045106",102,67,0,23,12,0
"E00045107","E00045107",121,72,1,29,19,0
"E00045108","E00045108",129,46,1,59,21,2
"E00045109","E00045109",131,63,0,33,35,0
"E00045110","E00045110",109,75,0,22,11,1
"E00045111","E00045111",118,58,1,45,14,0
"E00045112","E00045112",111,75,1,9,26,0
"E00045113","E00045113",113,54,0,33,21,5
"E00045114","E00045114",119,58,1,40,20,0
"E00045115","E00045115",103,59,1,30,12,1
"E00045116","E00045116",127,74,0,20,31,2
"E00045117","E00045117",97,52,0,28,15,2
"E00045118","E00045118",124,87,0,8,29,0
"E00045119","E00045119",137,69,1,36,31,0
"E00045120","E00045120",142,57,0,55,28,2
"E00045121","E00045121",135,71,0,46,18,0
"E00045122","E00045122",109,38,0,47,23,1
"E00045123","E00045123",110,36,0,49,21,4
"E00045124","E00045124",140,42,2,48,48,0
"E00045125","E00045125",125,52,0,11,62,0
"E00045126","E00045126",143,82,2,14,44,1
"E00045127","E00045127",109,68,0,9,32,0
"E00045128","E00045128",138,98,1,3,36,0
"E00045129","E00045129",148,80,0,15,53,0
"E00045130","E00045130",116,61,0,15,40,0
"E00045131","E00045131",159,40,0,45,73,1
"E00045132","E00045132",91,41,1,23,26,0
"E00045133","E00045133",116,50,0,8,58,0
"E00045134","E00045134",145,37,0,42,66,0
"E00045135","E00045135",133,36,0,51,45,1
"E00045136","E00045136",135,76,1,37,19,2
"E00045137","E00045137",124,100,0,0,24,0
"E00045138","E00045138",130,68,1,21,40,0
"E00045139","E00045139",116,9,0,95,10,2
"E00045140","E00045140",120,70,0,27,21,2
"E00045141","E00045141",112,61,0,4,47,0
"E00045142","E00045142",128,80,0,19,28,1
"E00045143","E00045143",124,83,0,5,36,0
"E00045144","E00045144",143,96,7,9,31,0
"E00045145","E00045145",162,52,1,6,103,0
"E00045146","E00045146",144,122,0,0,22,0
"E00045147","E00045147",126,46,0,43,37,0
"E00045148","E00045148",156,47,1,48,58,2
"E00045149","E00045149",116,101,1,2,12,0
"E00045150","E00045150",121,92,0,5,24,0
"E00045151","E00045151",135,92,0,4,38,1
"E00045152","E00045152",109,62,0,5,42,0
"E00045153","E00045153",142,91,0,20,31,0
"E00045154","E00045154",129,82,5,11,31,0
"E00045155","E00045155",143,116,0,4,23,0
"E00045156","E00045156",107,87,0,7,13,0
"E00045157","E00045157",125,102,0,2,21,0
"E00045158","E00045158",142,82,4,6,50,0
"E00045159","E00045159",138,99,1,16,21,1
"E00045160","E00045160",121,84,1,6,30,0
"E00045161","E00045161",117,15,2,92,8,0
"E00045162","E00045162",139,91,0,10,38,0
"E00045163","E00045163",128,85,1,14,28,0
"E00045164","E00045164",179,34,0,121,23,1
"E00045165","E00045165",124,50,3,45,26,0
"E00045166","E00045166",102,32,0,42,28,0
"E00045167","E00045167",144,28,0,94,21,1
"E00045168","E00045168",123,60,1,36,26,0
"E00045169","E00045169",139,47,2,64,25,1
"E00045171","E00045171",170,29,3,122,14,2
"E00045172","E00045172",124,51,6,17,50,0
"E00045173","E00045173",130,74,0,6,50,0
"E00045174","E00045174",168,55,1,94,17,1
"E00045175","E00045175",188,75,1,86,23,3
"E00045176","E00045176",110,51,0,34,24,1
"E00045178","E00045178",116,69,0,32,15,0
"E00045180","E00045180",93,34,0,25,33,1
"E00045181","E00045181",105,47,0,45,13,0
"E00045182","E00045182",131,31,1,82,16,1
"E00045183","E00045183",121,64,0,29,28,0
"E00045184","E00045184",138,27,0,90,19,2
"E00045186","E00045186",118,28,0,69,20,1
"E00045187","E00045187",95,29,0,52,14,0
"E00045188","E00045188",143,2,0,132,5,4
"E00045189","E00045189",135,20,6,86,23,0
"E00045190","E00045190",147,64,0,60,22,1
"E00045191","E00045191",106,26,0,68,11,1
"E00045193","E00045193",146,33,0,91,18,4
"E00045196","E00045196",68,23,5,33,7,0
"E00045197","E00045197",104,48,6,36,13,1
"E00045198","E00045198",92,7,0,78,5,2
"E00045199","E00045199",189,19,0,154,11,5
"E00045200","E00045200",242,49,20,148,23,2
"E00045201","E00045201",142,15,1,118,6,2
"E00045202","E00045202",150,29,1,98,20,2
"E00045204","E00045204",212,11,3,187,6,5
"E00045205","E00045205",147,10,2,130,4,1
"E00045206","E00045206",139,36,0,78,23,2
"E00045207","E00045207",127,17,0,102,5,3
"E00045208","E00045208",169,27,0,125,16,1
"E00045210","E00045210",121,20,1,86,10,4
"E00045212","E00045212",167,25,2,128,11,1
"E00045213","E00045213",156,78,0,6,70,2
"E00045214","E00045214",131,33,0,55,42,1
"E00045215","E00045215",149,68,1,9,71,0
"E00045216","E00045216",114,42,0,25,44,3
"E00045217","E00045217",126,41,0,59,25,1
"E00045218","E00045218",143,67,0,15,61,0
"E00045219","E00045219",141,67,0,21,52,1
"E00045220","E00045220",116,40,1,47,27,1
"E00045221","E00045221",104,47,0,17,40,0
"E00045222","E00045222",70,11,3,18,38,0
"E00045223","E00045223",100,44,0,26,30,0
"E00045224","E00045224",88,38,0,15,35,0
"E00045225","E00045225",87,37,0,23,27,0
"E00045226","E00045226",92,24,0,59,9,0
"E00045227","E00045227",93,72,0,4,17,0
"E00045228","E00045228",93,59,1,2,31,0
"E00045231","E00045231",73,51,0,6,15,1
"E00045232","E00045232",119,49,0,40,30,0
"E00045233","E00045233",83,17,0,60,6,0
"E00045234","E00045234",107,55,0,27,25,0
"E00045235","E00045235",91,54,0,10,27,0
"E00045236","E00045236",157,52,0,78,27,0
"E00045237","E00045237",131,42,0,70,19,0
"E00045238","E00045238",108,58,0,31,19,0
"E00045239","E00045239",117,49,0,54,14,0
"E00045240","E00045240",104,31,0,54,18,1
"E00045241","E00045241",138,65,1,19,53,0
"E00045242","E00045242",107,23,1,66,16,1
"E00045244","E00045244",113,38,1,48,26,0
"E00045245","E00045245",154,77,1,49,27,0
"E00045247","E00045247",77,32,0,34,10,1
"E00045249","E00045249",111,48,2,47,14,0
"E00045250","E00045250",145,42,20,63,20,0
"E00045251","E00045251",113,22,10,73,7,1
"E00045252","E00045252",114,43,0,54,17,0
"E00045253","E00045253",125,103,3,3,16,0
"E00045254","E00045254",101,41,0,46,14,0
"E00045255","E00045255",147,136,0,1,10,0
"E00045256","E00045256",142,46,0,66,27,3
"E00045257","E00045257",138,119,2,2,15,0
"E00045258","E00045258",137,77,1,35,23,1
"E00045259","E00045259",127,57,0,55,14,1
"E00045260","E00045260",127,89,11,2,24,1
"E00045261","E00045261",129,40,2,67,20,0
"E00045262","E00045262",136,54,0,72,8,2
"E00045263","E00045263",104,29,0,63,12,0
"E00045264","E00045264",196,47,3,131,13,2
"E00045265","E00045265",128,61,1,52,14,0
"E00045266","E00045266",103,40,0,52,8,3
"E00045267","E00045267",99,19,13,61,4,2
"E00045269","E00045269",118,100,6,3,9,0
"E00045271","E00045271",80,26,7,40,6,1
"E00045272","E00045272",108,65,7,23,13,0
"E00045273","E00045273",152,107,11,16,18,0
"E00045274","E00045274",160,50,26,68,16,0
"E00045275","E00045275",123,113,0,1,8,1
"E00045276","E00045276",129,55,1,55,17,1
"E00045277","E00045277",128,53,1,49,24,1
"E00045278","E00045278",133,104,0,2,27,0
"E00045279","E00045279",98,69,0,9,20,0
"E00045280","E00045280",104,42,2,47,12,1
"E00045281","E00045281",128,67,1,41,19,0
"E00045282","E00045282",123,61,1,17,44,0
"E00045283","E00045283",134,55,0,60,19,0
"E00045284","E00045284",137,38,0,81,16,2
"E00045285","E00045285",119,50,0,49,20,0
"E00045286","E00045286",135,68,0,44,23,0
"E00045287","E00045287",107,61,0,33,13,0
"E00045288","E00045288",133,52,1,62,17,1
"E00045289","E00045289",112,28,0,69,15,0
"E00045290","E00045290",109,50,1,47,11,0
"E00045292","E00045292",124,42,1,67,13,1
"E00045293","E00045293",212,72,0,109,27,4
"E00045294","E00045294",116,52,0,48,16,0
"E00045295","E00045295",124,58,2,48,16,0
"E00045296","E00045296",134,112,0,1,20,1
"E00045297","E00045297",124,104,12,3,5,0
"E00045298","E00045298",145,127,1,1,16,0
"E00045299","E00045299",137,87,0,33,16,1
"E00045300","E00045300",122,78,2,21,21,0
"E00045301","E00045301",120,93,0,7,20,0
"E00045302","E00045302",109,21,0,75,11,2
"E00045303","E00045303",152,91,2,47,12,0
"E00045304","E00045304",109,20,0,72,17,0
"E00045305","E00045305",121,104,2,3,12,0
"E00045306","E00045306",123,112,2,0,9,0
"E00045307","E00045307",145,41,0,85,19,0
"E00045308","E00045308",128,74,0,30,24,0
"E00045309","E00045309",127,57,5,47,14,4
"E00045310","E00045310",122,37,0,63,17,5
"E00045311","E00045311",127,46,0,54,27,0
"E00045312","E00045312",124,112,0,0,12,0
"E00045313","E00045313",126,109,0,4,12,1
"E00045315","E00045315",130,32,0,89,9,0
"E00045317","E00045317",108,64,1,27,13,3
"E00045318","E00045318",115,47,0,55,11,2
"E00045320","E00045320",123,59,0,47,17,0
"E00045321","E00045321",118,42,0,64,11,1
"E00045322","E00045322",134,28,0,93,11,2
"E00045323","E00045323",121,11,0,104,3,3
"E00045324","E00045324",171,68,0,88,15,0
"E00045325","E00045325",126,33,1,83,9,0
"E00045326","E00045326",113,93,0,2,18,0
"E00045327","E00045327",99,87,0,2,10,0
"E00045328","E00045328",147,129,0,0,18,0
"E00045329","E00045329",118,69,0,28,20,1
"E00045330","E00045330",124,67,0,37,19,1
"E00045331","E00045331",142,77,2,42,20,1
"E00045332","E00045332",129,63,1,32,32,1
"E00045333","E00045333",136,65,9,48,12,2
"E00045334","E00045334",217,67,45,61,44,0
"E00045335","E00045335",118,60,1,43,12,2
"E00045336","E00045336",129,82,0,15,32,0
"E00045337","E00045337",130,37,4,59,28,2
"E00045338","E00045338",116,74,0,25,17,0
"E00045339","E00045339",119,56,1,39,23,0
"E00045340","E00045340",114,62,1,33,18,0
"E00045341","E00045341",113,76,2,26,9,0
"E00045342","E00045342",237,170,1,9,57,0
"E00045343","E00045343",122,85,0,11,26,0
"E00045344","E00045344",117,17,0,74,23,3
"E00045345","E00045345",143,86,3,42,11,1
"E00045346","E00045346",127,78,1,25,23,0
"E00045347","E00045347",133,77,10,20,26,0
"E00045348","E00045348",145,72,16,38,19,0
"E00045349","E00045349",121,106,1,1,13,0
"E00045350","E00045350",124,75,0,30,19,0
"E00045351","E00045351",145,80,0,26,37,2
"E00045352","E00045352",130,86,0,23,21,0
"E00045353","E00045353",131,83,1,12,34,1
"E00045354","E00045354",137,83,0,17,36,1
"E00045355","E00045355",118,75,1,30,12,0
"E00045356","E00045356",122,66,0,36,20,0
"E00045357","E00045357",132,75,0,34,22,1
"E00045358","E00045358",97,53,1,14,29,0
"E00045359","E00045359",140,88,0,36,16,0
"E00045360","E00045360",132,116,1,0,15,0
"E00045361","E00045361",113,99,2,0,12,0
"E00045362","E00045362",154,80,0,56,14,4
"E00045363","E00045363",123,80,0,29,13,1
"E00045364","E00045364",138,79,12,8,39,0
"E00045365","E00045365",120,104,0,2,14,0
"E00045366","E00045366",115,97,0,4,14,0
"E00045367","E00045367",112,36,0,58,16,2
"E00045368","E00045368",117,108,0,0,9,0
"E00045369","E00045369",131,123,0,1,7,0
"E00045370","E00045370",146,118,2,2,24,0
"E00045371","E00045371",143,125,0,0,18,0
