
"TS063 - Occupation"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents aged 16 years and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2021"

"2021 output area","mnemonic","Total: All usual residents aged 16 years and over in employment the week before the census","1. Managers, directors and senior officials","2. Professional occupations","3. Associate professional and technical occupations","4. Administrative and secretarial occupations","5. Skilled trades occupations","6. Caring, leisure and other service occupations","7. Sales and customer service occupations","8. Process, plant and machine operatives","9. Elementary occupations"

"E00045077","E00045077",150,22,33,22,20,18,10,2,13,10
"E00045078","E00045078",195,28,34,30,23,19,19,16,15,11
"E00045079","E00045079",122,9,22,14,9,14,11,11,7,25
"E00045080","E00045080",165,19,33,29,17,11,10,16,13,17
"E00045081","E00045081",57,2,11,10,6,1,3,10,3,11
"E00045082","E00045082",163,13,24,12,16,13,17,17,26,25
"E00045083","E00045083",177,22,30,20,14,25,22,15,9,20
"E00045084","E00045084",146,15,29,18,16,10,15,6,17,20
"E00045085","E00045085",100,8,21,12,11,16,9,9,4,10
"E00045086","E00045086",180,23,27,21,16,12,25,20,19,17
"E00045087","E00045087",109,9,28,13,8,11,9,8,8,15
"E00045088","E00045088",159,15,31,29,12,18,13,7,15,19
"E00045090","E00045090",157,17,33,20,17,13,10,7,16,24
"E00045091","E00045091",142,18,35,14,6,11,13,13,13,19
"E00045092","E00045092",182,20,54,24,19,14,19,13,8,11
"E00045093","E00045093",149,16,24,18,9,25,20,12,13,12
"E00045094","E00045094",202,22,28,20,20,34,18,14,19,27
"E00045095","E00045095",144,8,33,19,11,19,15,12,6,21
"E00045096","E00045096",75,0,18,4,7,5,5,12,8,16
"E00045097","E00045097",163,11,37,18,18,17,19,14,7,22
"E00045098","E00045098",115,4,19,17,7,14,15,12,8,19
"E00045099","E00045099",86,12,14,5,7,10,10,8,7,13
"E00045100","E00045100",132,11,14,8,3,9,23,17,19,28
"E00045101","E00045101",122,7,14,8,14,10,16,9,14,30
"E00045102","E00045102",154,11,24,16,17,10,22,16,21,17
"E00045103","E00045103",119,7,20,14,12,10,11,14,13,18
"E00045104","E00045104",119,10,17,5,12,13,8,16,13,25
"E00045105","E00045105",133,7,7,10,12,11,42,10,19,15
"E00045106","E00045106",108,8,11,11,10,14,14,10,13,17
"E00045107","E00045107",120,13,10,6,4,13,15,9,22,28
"E00045108","E00045108",96,7,17,6,3,15,15,7,10,16
"E00045109","E00045109",142,7,13,7,12,14,24,19,21,25
"E00045110","E00045110",123,8,33,14,17,7,15,7,11,11
"E00045111","E00045111",105,6,14,10,12,8,9,18,18,10
"E00045112","E00045112",144,12,12,20,15,13,12,22,23,15
"E00045113","E00045113",135,4,13,8,18,14,15,18,21,24
"E00045114","E00045114",107,9,17,7,6,9,15,10,15,19
"E00045115","E00045115",119,9,13,8,14,15,14,10,19,17
"E00045116","E00045116",158,14,25,17,11,9,13,17,22,30
"E00045117","E00045117",99,1,11,8,13,7,10,5,20,24
"E00045118","E00045118",161,9,27,11,23,15,15,14,19,28
"E00045119","E00045119",149,16,16,11,13,8,20,21,18,26
"E00045120","E00045120",137,8,16,11,6,16,19,13,23,25
"E00045121","E00045121",134,21,14,11,9,14,20,8,21,16
"E00045122","E00045122",81,4,9,7,4,8,8,9,15,17
"E00045123","E00045123",94,6,11,10,8,7,18,7,12,15
"E00045124","E00045124",125,9,10,8,13,14,11,19,21,20
"E00045125","E00045125",124,7,5,11,10,13,6,16,23,33
"E00045126","E00045126",162,12,15,14,14,16,14,20,26,31
"E00045127","E00045127",133,10,10,17,11,9,12,18,16,30
"E00045128","E00045128",195,16,22,15,18,14,19,32,23,36
"E00045129","E00045129",163,11,11,13,12,16,19,16,25,40
"E00045130","E00045130",120,8,14,9,10,14,16,9,14,26
"E00045131","E00045131",139,9,13,9,14,14,13,15,22,30
"E00045132","E00045132",79,6,8,7,8,7,10,7,7,19
"E00045133","E00045133",128,7,11,23,13,15,14,10,11,24
"E00045134","E00045134",118,6,7,10,10,6,22,9,23,25
"E00045135","E00045135",112,10,6,6,13,14,16,8,13,26
"E00045136","E00045136",130,6,12,7,14,14,13,13,18,33
"E00045137","E00045137",185,11,38,13,25,24,21,16,17,20
"E00045138","E00045138",154,10,19,5,18,17,19,17,23,26
"E00045139","E00045139",27,2,2,5,4,0,4,2,1,7
"E00045140","E00045140",117,6,4,8,13,18,11,26,10,21
"E00045141","E00045141",136,14,16,14,18,15,18,15,14,12
"E00045142","E00045142",142,9,17,10,12,16,17,16,18,27
"E00045143","E00045143",151,12,24,23,18,22,11,10,14,17
"E00045144","E00045144",172,21,34,18,21,16,13,14,16,19
"E00045145","E00045145",185,7,18,10,16,30,11,14,35,44
"E00045146","E00045146",182,11,23,30,28,20,21,12,18,19
"E00045147","E00045147",109,1,12,9,9,6,19,9,20,24
"E00045148","E00045148",139,12,25,18,13,18,14,13,9,17
"E00045149","E00045149",135,13,19,17,17,14,12,15,12,16
"E00045150","E00045150",162,14,24,18,25,22,9,18,13,19
"E00045151","E00045151",156,19,22,17,19,11,21,19,13,15
"E00045152","E00045152",126,16,18,16,6,13,17,8,10,22
"E00045153","E00045153",145,10,20,14,11,19,21,16,18,16
"E00045154","E00045154",160,11,25,20,32,14,11,17,11,19
