
"TS067 - Highest level of qualification"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"

"2021 output area","mnemonic","Total: All usual residents aged 16 years and over","No qualifications","Level 1 and entry level qualifications","Level 2 qualifications","Apprenticeship","Level 3 qualifications","Level 4 qualifications or above","Other qualifications"

"E00045077","E00045077",255,34,25,36,14,57,83,6
"E00045078","E00045078",305,48,36,51,16,54,91,9
"E00045079","E00045079",251,58,36,37,14,33,64,9
"E00045080","E00045080",308,72,27,30,11,46,113,9
"E00045081","E00045081",216,92,25,21,6,25,41,6
"E00045082","E00045082",336,113,27,37,13,48,84,14
"E00045083","E00045083",290,57,28,44,18,57,78,8
"E00045084","E00045084",278,59,26,44,16,47,79,7
"E00045085","E00045085",262,82,20,35,9,36,67,13
"E00045086","E00045086",335,89,26,36,7,70,100,7
"E00045087","E00045087",218,52,16,19,5,39,75,12
"E00045088","E00045088",265,54,42,38,14,45,63,9
"E00045090","E00045090",297,79,28,32,11,41,96,10
"E00045091","E00045091",346,101,19,49,10,39,115,13
"E00045092","E00045092",333,83,24,37,9,46,125,9
"E00045093","E00045093",254,44,28,36,11,42,87,6
"E00045094","E00045094",311,57,26,39,11,70,89,19
"E00045095","E00045095",230,51,23,38,4,37,73,4
"E00045096","E00045096",204,65,21,27,10,22,51,8
"E00045097","E00045097",254,55,23,41,11,44,72,8
"E00045098","E00045098",207,47,21,38,9,41,47,4
"E00045099","E00045099",190,66,19,20,7,32,39,7
"E00045100","E00045100",288,86,31,47,13,42,57,12
"E00045101","E00045101",271,92,37,42,13,44,37,6
"E00045102","E00045102",343,79,45,42,8,65,89,15
"E00045103","E00045103",277,80,28,35,9,50,62,13
"E00045104","E00045104",280,98,39,31,10,39,57,6
"E00045105","E00045105",277,77,38,52,10,54,38,8
"E00045106","E00045106",252,64,30,39,5,49,60,5
"E00045107","E00045107",258,85,32,30,12,32,54,13
"E00045108","E00045108",231,70,33,25,17,36,42,8
"E00045109","E00045109",291,99,44,40,4,35,57,12
"E00045110","E00045110",235,61,24,23,8,33,77,9
"E00045111","E00045111",257,105,16,29,7,46,42,12
"E00045112","E00045112",262,54,30,45,8,43,72,10
"E00045113","E00045113",268,75,32,43,9,43,56,10
"E00045114","E00045114",249,67,35,32,11,40,52,12
"E00045115","E00045115",255,99,19,35,10,37,48,7
"E00045116","E00045116",322,100,38,38,6,43,86,11
"E00045117","E00045117",234,81,30,33,9,28,38,15
"E00045118","E00045118",303,80,45,42,11,41,77,7
"E00045119","E00045119",307,100,35,45,17,47,54,9
"E00045120","E00045120",302,89,42,33,9,56,57,16
"E00045121","E00045121",309,119,33,34,14,41,53,15
"E00045122","E00045122",208,73,28,28,8,28,37,6
"E00045123","E00045123",194,53,23,25,7,32,46,8
"E00045124","E00045124",276,97,42,34,12,31,55,5
"E00045125","E00045125",262,80,36,39,11,38,40,18
"E00045126","E00045126",308,83,42,48,15,46,65,9
"E00045127","E00045127",257,76,40,41,2,36,47,15
"E00045128","E00045128",374,89,48,48,13,55,106,15
"E00045129","E00045129",341,112,43,60,15,44,57,10
"E00045130","E00045130",222,64,20,35,8,32,54,9
"E00045131","E00045131",318,113,40,47,11,28,69,10
"E00045132","E00045132",163,49,22,24,6,17,41,4
"E00045133","E00045133",210,55,21,35,6,33,53,7
"E00045134","E00045134",329,98,54,39,13,48,69,8
"E00045135","E00045135",253,85,40,40,5,33,44,6
"E00045136","E00045136",296,89,46,42,14,32,68,5
"E00045137","E00045137",277,54,34,43,9,39,92,6
"E00045138","E00045138",273,53,35,44,15,56,56,14
"E00045139","E00045139",136,68,8,10,7,15,25,3
"E00045140","E00045140",247,76,23,51,7,43,33,14
"E00045141","E00045141",223,30,27,35,13,48,65,5
"E00045142","E00045142",266,79,35,33,13,41,57,8
"E00045143","E00045143",270,68,26,42,15,38,70,11
"E00045144","E00045144",263,43,20,40,13,44,99,4
"E00045145","E00045145",342,89,51,36,14,64,77,11
"E00045146","E00045146",309,62,34,55,16,58,67,17
"E00045147","E00045147",208,46,29,32,8,38,46,9
"E00045148","E00045148",262,75,32,30,10,34,76,5
"E00045149","E00045149",207,51,21,38,9,40,41,7
"E00045150","E00045150",257,53,37,23,20,60,59,5
"E00045151","E00045151",254,59,26,52,14,45,47,11
"E00045152","E00045152",237,45,31,37,9,56,53,6
"E00045153","E00045153",301,68,33,37,18,55,76,14
"E00045154","E00045154",259,49,29,32,7,68,74,0
"E00045155","E00045155",312,48,28,54,16,70,92,4
"E00045156","E00045156",225,35,27,46,12,53,45,7
"E00045157","E00045157",247,54,25,52,7,43,60,6
"E00045158","E00045158",278,64,26,35,15,44,87,7
"E00045159","E00045159",250,49,27,34,10,56,68,6
"E00045160","E00045160",303,84,35,37,16,52,72,7
"E00045161","E00045161",220,89,26,23,9,27,40,6
"E00045162","E00045162",314,70,45,48,15,52,76,8
"E00045163","E00045163",255,41,36,33,10,51,82,2
"E00045164","E00045164",231,93,26,34,11,26,36,5
"E00045165","E00045165",269,57,24,43,9,46,78,12
"E00045166","E00045166",268,77,27,46,8,41,59,10
"E00045167","E00045167",323,99,32,52,12,52,63,13
"E00045168","E00045168",320,131,31,49,0,46,49,14
"E00045169","E00045169",322,95,43,42,9,50,72,11
"E00045171","E00045171",374,122,52,45,9,48,82,16
"E00045172","E00045172",378,157,43,72,6,39,42,19
"E00045173","E00045173",435,152,62,64,6,39,99,13
"E00045174","E00045174",341,127,38,38,12,53,61,12
"E00045175","E00045175",369,118,39,43,13,47,85,24
"E00045176","E00045176",310,139,33,37,0,36,53,12
"E00045178","E00045178",338,132,44,48,6,42,58,8
"E00045180","E00045180",240,115,24,27,6,31,26,11
"E00045181","E00045181",267,104,30,29,6,45,45,8
"E00045182","E00045182",261,82,34,44,9,43,44,5
"E00045183","E00045183",382,132,55,53,6,62,64,10
"E00045184","E00045184",257,80,45,29,6,32,59,6
"E00045186","E00045186",279,107,37,39,5,37,34,20
"E00045187","E00045187",257,84,40,39,6,41,38,9
"E00045188","E00045188",203,69,46,22,11,11,37,7
"E00045189","E00045189",267,64,35,35,12,47,63,11
"E00045190","E00045190",387,107,39,47,12,62,104,16
"E00045191","E00045191",262,98,48,46,5,25,38,2
"E00045193","E00045193",352,118,27,52,12,59,73,11
"E00045196","E00045196",149,38,22,16,10,27,36,0
"E00045197","E00045197",308,82,38,72,9,44,55,8
"E00045198","E00045198",123,39,7,7,9,14,39,8
"E00045199","E00045199",357,115,46,47,19,55,69,6
"E00045200","E00045200",412,180,52,49,8,47,61,15
"E00045201","E00045201",272,82,47,34,17,32,53,7
"E00045202","E00045202",287,92,43,36,10,23,74,9
"E00045204","E00045204",345,125,66,47,18,28,45,16
"E00045205","E00045205",254,86,38,28,10,28,59,5
"E00045206","E00045206",315,88,40,45,14,53,63,12
"E00045207","E00045207",202,63,32,27,0,32,38,10
"E00045208","E00045208",335,102,58,45,12,43,50,25
"E00045210","E00045210",220,76,45,28,6,23,38,4
"E00045212","E00045212",353,85,65,62,17,44,72,8
"E00045213","E00045213",322,100,50,37,17,49,62,7
"E00045214","E00045214",231,90,42,32,9,23,28,7
"E00045215","E00045215",317,84,38,43,16,54,67,15
"E00045216","E00045216",238,82,25,23,9,44,45,10
"E00045217","E00045217",317,118,38,38,9,30,72,12
"E00045218","E00045218",294,99,34,46,14,29,53,19
"E00045219","E00045219",330,150,27,32,17,34,55,15
"E00045220","E00045220",301,109,39,38,8,39,59,9
"E00045221","E00045221",255,96,38,29,2,34,50,6
"E00045222","E00045222",100,18,16,8,5,15,34,4
"E00045223","E00045223",253,98,25,35,5,41,45,4
"E00045224","E00045224",210,83,30,14,13,21,41,8
"E00045225","E00045225",224,91,29,26,7,27,39,5
"E00045226","E00045226",178,72,18,17,7,26,33,5
"E00045227","E00045227",291,112,45,26,10,34,59,5
"E00045228","E00045228",262,95,39,31,6,22,64,5
"E00045231","E00045231",243,86,29,45,0,33,40,10
"E00045232","E00045232",410,148,50,51,8,61,80,12
"E00045233","E00045233",215,69,34,29,4,38,34,7
"E00045234","E00045234",318,132,45,41,7,25,59,9
"E00045235","E00045235",316,139,39,31,4,39,56,8
"E00045236","E00045236",353,130,40,36,8,51,77,11
"E00045237","E00045237",325,112,45,35,8,49,63,13
"E00045238","E00045238",259,96,33,23,12,36,50,9
"E00045239","E00045239",342,100,49,38,10,67,68,10
"E00045240","E00045240",230,77,27,19,5,30,54,18
"E00045241","E00045241",413,154,59,43,8,55,80,14
"E00045242","E00045242",237,72,28,36,6,42,46,7
"E00045244","E00045244",283,124,33,26,9,35,50,6
"E00045245","E00045245",308,101,40,35,14,34,74,10
"E00045247","E00045247",204,58,25,26,6,33,47,9
"E00045249","E00045249",205,46,36,29,14,27,45,8
"E00045250","E00045250",206,63,22,33,5,21,47,15
"E00045251","E00045251",218,54,28,40,8,38,42,8
"E00045252","E00045252",182,69,16,26,5,24,38,4
"E00045253","E00045253",234,44,14,21,15,45,92,3
"E00045254","E00045254",176,47,19,33,5,24,40,8
"E00045255","E00045255",288,47,31,38,14,46,104,8
"E00045256","E00045256",273,71,30,36,16,56,54,10
