zone_code,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health
e33096121012,522,52,3,0,1,1,1,17,5,20,NA,NA,NA
e33096126001,200,25,1,0,4,1,1,13,3,6,NA,NA,NA
e39106401001,612,56,6,0,10,6,2,25,14,1,NA,NA,NA
e39106401002,507,54,5,3,5,4,1,22,11,7,NA,NA,NA
e39106401003,439,46,1,0,4,2,1,20,5,5,NA,NA,NA
e39106401004,542,59,6,0,11,7,5,32,14,3,NA,NA,NA
e39106401005,407,35,5,0,5,1,4,19,6,2,NA,NA,NA
e39106401006,178,13,1,0,1,4,0,6,3,0,NA,NA,NA
e39106401007,613,65,3,2,8,8,6,41,20,10,NA,NA,NA
e39106401008,624,71,11,0,13,14,5,41,24,2,NA,NA,NA
e39106401009,503,40,4,1,2,2,0,22,5,12,NA,NA,NA
e39106401010,283,31,2,0,1,2,1,17,3,2,NA,NA,NA
e39106401011,197,21,0,1,3,3,0,12,5,0,NA,NA,NA
e39106401012,442,41,5,0,7,3,2,21,9,2,NA,NA,NA
e39106401013,554,51,3,1,6,3,1,23,13,6,NA,NA,NA
e39106401014,523,62,5,1,6,3,0,27,16,9,NA,NA,NA
e39106401015,504,57,5,0,12,6,1,32,19,8,NA,NA,NA
e39106401016,330,33,2,0,8,1,0,15,5,6,NA,NA,NA
e39106401017,555,58,1,0,6,7,0,29,13,4,NA,NA,NA
e39106401018,448,38,0,1,3,4,0,18,7,4,NA,NA,NA
e39106401019,540,51,6,2,13,0,2,38,15,12,NA,NA,NA
e39106401020,598,77,2,5,10,6,2,38,24,15,NA,NA,NA
e39106401021,414,41,2,1,8,4,1,19,12,0,NA,NA,NA
e39106401022,521,59,2,0,13,7,2,34,16,11,NA,NA,NA
e39106401023,621,66,0,0,10,4,0,32,16,0,NA,NA,NA
e39106401024,646,66,3,1,3,2,0,21,9,7,NA,NA,NA
e39106401025,435,48,0,1,7,6,1,28,15,11,NA,NA,NA
e39106401026,444,47,0,0,2,6,1,21,9,10,NA,NA,NA
