ED81CDO,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health
07CNAA08,519,51,10,1,8,4,2,42,14,0,NA,NA,NA
07CNBR32,558,53,14,0,5,5,1,28,14,0,NA,NA,NA
07CNBR31,586,52,4,1,2,4,0,46,8,5,NA,NA,NA
07CNBR25,552,59,10,0,10,4,1,38,18,0,NA,NA,NA
07CNBR30,642,64,16,0,7,4,3,36,22,1,NA,NA,NA
07CNAA10,216,22,5,0,4,3,1,24,2,1,NA,NA,NA
07CNAA11,142,12,8,1,3,2,0,12,6,0,NA,NA,NA
07CNAA13,477,48,5,3,6,0,3,56,26,1,NA,NA,NA
07CNAA02,442,50,8,0,7,12,3,60,30,0,NA,NA,NA
07CNAA01,597,69,14,0,6,12,0,46,20,1,NA,NA,NA
07CNAA03,437,57,6,0,8,4,2,42,22,1,NA,NA,NA
07CNAA07,547,49,8,1,5,3,1,30,14,1,NA,NA,NA
07CNAA09,430,50,6,1,5,5,3,46,8,3,NA,NA,NA
07CNAA06,433,56,7,0,5,11,2,42,20,0,NA,NA,NA
07CNAA05,484,57,8,0,6,10,1,50,22,0,NA,NA,NA
07CNAA04,451,56,3,0,8,5,2,62,24,1,NA,NA,NA
07CNAA23,416,48,10,0,4,5,3,34,12,1,NA,NA,NA
07CNAA24,369,36,7,0,4,2,2,24,10,0,NA,NA,NA
07CNAA22,666,58,4,1,9,6,4,54,30,0,NA,NA,NA
07CNAA27,360,44,4,1,4,5,1,30,18,1,NA,NA,NA
07CNAA25,408,37,5,0,2,5,2,18,14,0,NA,NA,NA
07CNAA26,381,52,2,0,5,5,1,22,14,0,NA,NA,NA
07CNAA14,617,59,10,0,11,4,2,56,16,3,NA,NA,NA
07CNAA20,536,45,8,0,10,3,0,34,14,1,NA,NA,NA
07CNAA16,464,43,0,0,4,5,1,48,28,0,NA,NA,NA
07CNAA19,502,55,3,1,10,3,3,56,18,2,NA,NA,NA
07CNAA17,497,53,5,2,5,2,2,40,16,5,NA,NA,NA
07CNAA12,391,48,16,1,2,3,0,30,10,0,NA,NA,NA
07CNAA21,629,69,7,0,10,3,0,44,20,0,NA,NA,NA
07CNAA15,386,39,3,0,6,0,0,38,8,2,NA,NA,NA
07CTAH03,479,44,2,0,2,2,2,44,12,5,NA,NA,NA
07CNAA18,542,53,4,0,8,2,2,54,26,1,NA,NA,NA
07CTAH01,462,47,2,0,5,4,0,46,18,0,NA,NA,NA
07CNAA32,589,46,9,0,6,6,1,42,18,0,NA,NA,NA
07CNAA40,358,30,4,0,2,4,2,36,4,6,NA,NA,NA
07CNAA33,523,50,5,1,3,3,1,52,16,0,NA,NA,NA
07CNAA36,533,44,6,0,7,4,0,32,18,0,NA,NA,NA
07CNAA39,540,50,7,0,3,9,1,36,18,2,NA,NA,NA
07CNAA34,526,55,4,0,11,3,0,40,14,4,NA,NA,NA
07CNAA41,327,24,3,0,0,2,0,18,4,3,NA,NA,NA
07CNAA37,533,49,5,0,3,8,2,40,14,1,NA,NA,NA
07CNAA38,486,46,4,0,5,6,1,48,24,6,NA,NA,NA
07CNAA46,352,27,6,1,1,2,0,26,6,0,NA,NA,NA
07CNAA48,418,35,13,0,1,5,2,20,8,0,NA,NA,NA
07CNAA47,452,49,6,2,7,3,1,38,22,0,NA,NA,NA
07CTAH04,485,48,2,1,4,9,1,42,24,2,NA,NA,NA
07CTAH09,533,44,4,0,3,2,0,38,14,2,NA,NA,NA
07CNAA35,561,55,3,0,6,2,1,34,10,1,NA,NA,NA
07CNAA42,501,47,11,0,7,7,0,48,22,5,NA,NA,NA
07CNAA43,570,56,8,0,3,7,1,48,14,6,NA,NA,NA
07CNAA44,412,36,5,0,5,0,1,42,14,3,NA,NA,NA
07CNAA45,398,38,2,0,4,2,1,34,10,2,NA,NA,NA
07CNAA51,482,44,7,2,6,4,1,42,16,0,NA,NA,NA
07CNAA50,562,71,11,0,11,5,1,58,24,0,NA,NA,NA
07CTAK05,509,30,3,0,2,2,1,32,8,4,NA,NA,NA
07CTAK01,555,47,5,1,4,2,0,50,18,2,NA,NA,NA
07CNAA49,492,49,4,2,4,4,0,48,14,2,NA,NA,NA
07CNBR26,805,74,21,2,12,7,6,62,22,0,NA,NA,NA
07CNBR27,659,50,15,0,6,3,1,36,10,0,NA,NA,NA
07CNBR29,579,67,10,0,6,4,3,46,10,1,NA,NA,NA
07CNBR24,728,73,14,0,7,8,4,54,24,2,NA,NA,NA
07CNBR23,623,51,5,3,4,3,1,46,22,1,NA,NA,NA
07CNBR28,685,66,16,1,3,9,3,46,22,2,NA,NA,NA
07CNAC14,591,45,10,0,4,6,0,24,16,0,NA,NA,NA
07CNAC05,409,41,4,0,3,3,3,26,20,2,NA,NA,NA
07CNAC03,684,71,10,0,5,4,3,28,10,2,NA,NA,NA
07CNAC04,459,49,7,0,0,3,5,32,22,0,NA,NA,NA
07CNAL43,703,72,14,0,6,10,5,32,24,0,NA,NA,NA
07CNAL01,336,44,12,0,5,3,2,32,18,0,NA,NA,NA
07CNAL02,404,41,11,0,2,3,2,22,8,0,NA,NA,NA
07CNAL03,418,43,6,0,2,3,0,34,14,1,NA,NA,NA
07CNAL42,424,36,12,0,4,9,2,46,28,1,NA,NA,NA
07CNAC22,330,30,4,0,3,5,1,22,6,0,NA,NA,NA
07CNAC16,313,33,9,0,1,3,2,12,10,0,NA,NA,NA
07CNAC15,435,40,5,0,5,2,4,42,14,0,NA,NA,NA
07CNAC12,468,51,12,0,5,4,3,38,18,0,NA,NA,NA
07CNAC11,353,49,5,0,4,5,2,16,14,0,NA,NA,NA
07CNAC23,441,45,2,0,3,6,5,26,14,0,NA,NA,NA
07CNAC09,658,61,2,0,9,9,6,40,22,1,NA,NA,NA
07CNAC02,585,44,8,0,4,2,3,26,14,0,NA,NA,NA
07CNAN43,399,37,3,0,10,2,2,22,16,1,NA,NA,NA
07CNAW01,693,82,9,0,6,6,4,34,24,1,NA,NA,NA
07CNAW04,593,50,6,1,3,6,9,44,18,0,NA,NA,NA
07CNAW02,515,46,3,1,4,2,2,22,6,2,NA,NA,NA
07CNAW05,510,52,7,1,5,6,2,24,14,0,NA,NA,NA
07CNAN57,413,37,5,0,3,3,2,22,6,0,NA,NA,NA
07CNAW03,604,34,8,0,4,1,3,20,10,0,NA,NA,NA
07CNAW06,506,51,3,0,5,4,2,26,12,0,NA,NA,NA
07CNAW09,1301,127,16,0,11,13,8,74,26,1,NA,NA,NA
07CNBJ46,380,35,7,0,4,4,3,26,14,0,NA,NA,NA
07CNBJ39,296,45,6,0,5,3,1,28,12,1,NA,NA,NA
07CNBJ40,191,21,5,0,1,2,0,18,6,0,NA,NA,NA
07CNAN41,396,31,13,0,2,5,1,18,8,2,NA,NA,NA
07CNBJ47,344,25,5,0,3,2,2,22,16,0,NA,NA,NA
07CNAW07,392,45,6,0,3,8,2,36,20,1,NA,NA,NA
07CNAW10,864,97,17,1,9,12,7,72,32,1,NA,NA,NA
07CNAW08,811,78,15,1,9,7,3,58,28,0,NA,NA,NA
07CNAW11,577,65,17,1,10,9,8,62,28,1,NA,NA,NA
07CNAC26,405,62,10,0,3,11,7,48,24,0,NA,NA,NA
07CNAC25,755,70,11,2,6,8,2,52,22,1,NA,NA,NA
07CNAW17,114,6,2,0,0,1,1,10,6,1,NA,NA,NA
07CNAC21,381,46,7,0,5,4,4,30,6,0,NA,NA,NA
07CNAC20,669,74,15,1,5,4,3,26,18,0,NA,NA,NA
07CNAW13,759,68,22,1,4,12,3,64,28,1,NA,NA,NA
07CNAW14,505,46,11,0,3,5,4,32,20,0,NA,NA,NA
07CNAW15,337,31,5,1,3,5,3,32,16,0,NA,NA,NA
07CNAW19,436,42,12,0,9,5,0,48,24,0,NA,NA,NA
07CNAW20,390,38,9,0,2,4,1,12,8,0,NA,NA,NA
07CNAW16,475,51,12,0,6,6,3,38,12,0,NA,NA,NA
07CNAW12,297,33,7,0,1,4,4,22,10,1,NA,NA,NA
07CNAL04,546,56,2,1,5,8,3,48,24,1,NA,NA,NA
07CNBQ12,549,63,6,4,5,3,5,56,18,5,NA,NA,NA
07CNBQ14,460,52,20,1,8,4,0,42,26,3,NA,NA,NA
07CNBQ15,427,34,5,3,3,2,1,28,12,2,NA,NA,NA
07CNBQ02,342,33,1,0,3,1,0,44,12,2,NA,NA,NA
07CNBQ01,658,65,6,0,5,1,4,44,20,0,NA,NA,NA
07CNBQ04,662,83,7,0,10,4,4,62,16,1,NA,NA,NA
07CNBQ10,725,74,12,1,4,6,1,56,12,4,NA,NA,NA
07CNBQ08,615,75,8,0,9,4,2,48,12,0,NA,NA,NA
07CNBQ78,909,87,6,0,3,7,2,86,18,9,NA,NA,NA
07CNBQ03,539,49,9,1,7,6,1,46,22,0,NA,NA,NA
07CNBQ11,614,59,5,0,6,8,4,36,20,0,NA,NA,NA
07CNBA51,562,61,5,1,1,3,3,52,18,8,NA,NA,NA
07CNBQ19,376,38,15,0,5,5,1,36,20,0,NA,NA,NA
07CNBQ07,422,41,14,1,6,2,1,34,14,0,NA,NA,NA
