ED91CD,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health
CNFA01,762,68,42,1,4,8,4,23,6,0,107,NA,NA
CNFA02,560,36,24,0,3,2,4,17,4,1,82,NA,NA
CNFA03,705,74,15,0,6,3,4,22,7,1,66,NA,NA
CNFA04,695,51,17,0,4,4,1,19,5,1,64,NA,NA
CNFA05,577,48,26,0,4,6,2,17,8,1,92,NA,NA
CNFA06,767,68,33,0,5,5,3,23,2,3,110,NA,NA
CNFA07,540,54,18,1,7,2,1,20,3,0,70,NA,NA
CNFA08,625,52,21,1,5,1,2,16,6,3,68,NA,NA
CNFA09,751,53,17,0,0,1,0,20,2,3,70,NA,NA
CNFA10,602,38,23,1,2,2,2,13,2,2,105,NA,NA
CNFA11,534,35,21,0,4,3,0,10,4,0,76,NA,NA
CNFA12,526,45,15,0,2,3,2,18,4,3,52,NA,NA
CNFA13,483,41,8,0,2,2,1,11,1,2,34,NA,NA
CNFA14,638,51,16,1,8,4,1,23,4,4,73,NA,NA
CNFA15,498,38,15,0,4,5,2,17,3,3,47,NA,NA
CNFA16,573,48,12,0,5,4,2,26,9,0,48,NA,NA
CNFA17,605,45,15,0,6,5,3,21,5,2,71,NA,NA
CNFA18,681,45,21,0,3,6,1,22,7,2,82,NA,NA
CNFA19,559,40,14,1,7,4,2,21,1,1,78,NA,NA
CNFA20,575,40,17,1,3,4,0,20,6,2,81,NA,NA
CNFA21,724,57,10,0,4,2,1,23,2,2,51,NA,NA
CNFA22,358,22,16,0,1,2,0,4,1,0,87,NA,NA
CNFA23,481,51,5,1,2,1,1,22,5,5,32,NA,NA
CNFA24,404,42,7,0,3,5,0,9,2,0,56,NA,NA
CNFA25,698,63,19,1,7,7,3,34,12,4,56,NA,NA
CNFA26,467,36,18,1,3,1,4,11,6,0,62,NA,NA
CNFA27,710,61,22,2,1,11,3,25,6,1,102,NA,NA
CNFA28,697,61,14,3,8,4,1,28,5,2,68,NA,NA
CNFA29,550,39,20,1,4,5,1,25,6,2,82,NA,NA
CNFA30,490,43,15,0,4,2,0,20,3,5,36,NA,NA
CNFA31,735,61,5,0,10,2,1,25,6,2,72,NA,NA
CNFA32,571,36,16,0,3,2,0,16,4,3,56,NA,NA
CNFA33,708,60,15,1,5,3,3,30,6,3,47,NA,NA
CNFA34,697,61,10,1,5,4,1,32,10,2,54,NA,NA
CNFA35,706,47,14,0,4,1,0,16,9,0,83,NA,NA
CNFA37,888,64,17,0,7,2,4,25,9,0,91,NA,NA
CNFA38,351,28,9,1,5,4,2,12,4,0,36,NA,NA
CNFA39,692,61,11,0,7,11,2,27,10,5,56,NA,NA
CNFA40,714,62,24,1,1,4,0,19,3,4,65,NA,NA
CNFA41,590,42,12,1,5,3,0,23,5,2,61,NA,NA
CNFA42,620,49,12,2,5,3,0,26,7,5,60,NA,NA
CNFA43,536,47,10,2,5,5,0,24,9,4,50,NA,NA
CNFA44,634,46,1,1,5,3,0,33,9,4,24,NA,NA
CNFA45,633,45,13,1,5,1,0,14,4,0,84,NA,NA
CNFA46,674,46,4,3,6,2,2,26,6,4,43,NA,NA
CNFA47,575,35,20,0,7,2,0,19,3,4,52,NA,NA
CNFA48,630,48,53,0,0,4,2,18,2,3,59,NA,NA
CNFA49,546,40,36,0,1,2,0,16,0,1,65,NA,NA
CNFA50,524,38,10,0,6,5,0,26,9,2,50,NA,NA
CNFA51,667,56,11,0,3,3,0,18,3,6,48,NA,NA
CNFA52,570,43,23,0,3,2,1,19,3,5,81,NA,NA
CNFA53,649,61,20,0,4,2,1,14,2,3,80,NA,NA
CNFA54,531,42,11,0,3,0,2,18,5,2,63,NA,NA
CNFB01,616,51,6,0,1,5,3,20,5,0,70,NA,NA
CNFB02,478,32,12,4,3,5,0,19,8,1,61,NA,NA
CNFB03,623,54,13,2,4,4,1,28,9,1,74,NA,NA
CNFB04,744,67,31,0,3,4,1,13,6,2,85,NA,NA
CNFB05,524,53,21,0,2,2,0,10,2,1,52,NA,NA
CNFB07,550,34,18,0,2,1,1,7,2,1,67,NA,NA
CNFB08,772,98,35,0,9,7,4,21,11,0,96,NA,NA
CNFB09,337,36,21,0,0,2,2,5,2,0,46,NA,NA
CNFB10,463,31,24,1,5,1,2,8,3,1,83,NA,NA
CNFB11,648,56,18,0,4,1,2,12,2,3,97,NA,NA
CNFB12,508,53,14,0,6,2,2,14,4,0,53,NA,NA
CNFB13,704,62,38,0,1,2,1,8,1,1,102,NA,NA
CNFB14,602,69,24,0,4,4,0,10,4,1,75,NA,NA
CNFB15,492,40,27,1,1,2,0,9,1,2,99,NA,NA
CNFB16,434,26,22,0,2,3,2,9,3,2,66,NA,NA
CNFB17,648,42,31,0,2,2,2,7,1,2,87,NA,NA
CNFB18,879,83,36,1,3,2,0,13,5,2,120,NA,NA
CNFB19,530,40,24,1,0,4,2,7,5,1,86,NA,NA
CNFB20,595,43,34,0,1,5,3,13,4,3,71,NA,NA
CNFB21,493,41,19,2,2,3,2,11,2,0,56,NA,NA
CNFB22,334,40,16,0,1,2,1,7,0,1,51,NA,NA
CNFB23,423,42,23,0,2,2,0,6,3,0,85,NA,NA
CNFB24,704,67,24,0,4,3,2,15,5,1,73,NA,NA
CNFB25,734,70,38,1,3,3,0,11,7,1,109,NA,NA
CNFB26,596,57,62,0,2,5,1,16,3,1,84,NA,NA
CNFB27,709,76,39,0,2,5,1,12,6,0,96,NA,NA
CNFB28,619,59,27,0,2,4,2,9,5,0,92,NA,NA
CNFB29,431,22,22,0,0,5,0,6,1,1,76,NA,NA
CNFB30,589,54,30,0,0,3,1,10,0,1,79,NA,NA
CNFB32,397,23,26,0,1,1,2,7,2,2,60,NA,NA
CNFB33,378,33,16,1,3,2,0,12,5,1,47,NA,NA
CNFB34,679,53,24,0,2,2,3,13,5,0,92,NA,NA
CNFB35,568,61,14,0,5,2,0,10,5,1,67,NA,NA
CNFB36,483,17,22,0,1,2,1,4,2,0,56,NA,NA
CNFB37,616,60,23,1,6,7,4,22,7,0,111,NA,NA
