mnemonic,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health
E00045077,239,NA,4,NA,21,19,15,189,38,134,19,350,9
E00045078,278,NA,6,NA,24,20,12,231,42,170,34,371,21
E00045079,149,NA,6,NA,6,8,5,91,8,91,57,213,29
E00045080,265,NA,7,NA,14,8,16,176,29,159,53,373,32
E00045081,170,NA,24,NA,4,11,8,90,16,72,113,264,73
E00045082,263,NA,26,NA,16,12,18,147,17,140,73,358,42
E00045083,221,NA,4,NA,31,15,17,161,25,89,42,301,14
E00045084,209,NA,10,NA,13,17,14,143,26,101,48,287,36
E00045085,180,NA,13,NA,8,7,6,103,15,93,75,244,32
E00045086,231,NA,17,NA,18,13,17,142,24,108,77,324,41
E00045087,185,NA,12,NA,11,10,14,127,28,106,49,231,31
E00045088,232,NA,3,NA,28,19,27,172,38,107,34,336,17
E00045089,264,NA,8,NA,26,17,26,203,27,153,45,335,23
E00045090,228,NA,17,NA,13,12,16,146,20,127,74,309,31
E00045091,221,NA,11,NA,13,17,17,139,19,120,138,369,45
E00045092,258,NA,17,NA,21,16,17,167,27,138,64,318,34
E00045093,198,NA,13,NA,14,12,14,120,10,109,57,269,33
E00045094,204,NA,13,NA,20,23,16,129,23,78,62,292,29
E00045095,205,NA,14,NA,17,9,16,121,22,93,47,304,35
E00045096,128,NA,5,NA,6,12,10,63,19,48,75,216,36
E00045097,189,NA,7,NA,18,9,20,123,20,82,48,279,19
E00045098,173,NA,10,NA,16,10,17,102,18,76,50,248,28
E00045099,184,NA,22,NA,13,20,16,97,28,60,63,255,32
E00045100,235,NA,24,NA,11,18,23,101,19,75,98,340,47
E00045101,196,NA,12,NA,16,21,25,103,28,66,53,269,34
E00045102,242,NA,24,NA,18,16,18,125,19,90,66,317,34
E00045103,251,NA,11,NA,19,21,22,156,39,96,54,318,35
E00045104,197,NA,18,NA,13,14,25,90,25,68,53,297,31
E00045105,191,NA,16,NA,14,14,26,101,26,77,47,297,31
E00045106,205,NA,16,NA,12,20,25,110,18,66,61,309,38
E00045107,204,NA,6,NA,17,26,23,122,32,63,60,273,29
E00045108,176,NA,21,NA,14,11,14,77,23,56,67,242,46
E00045109,221,NA,12,NA,17,20,23,111,21,82,67,368,35
E00045110,173,NA,8,NA,15,9,9,115,17,87,69,264,34
E00045111,186,NA,9,NA,10,18,26,98,16,56,51,303,33
E00045112,222,NA,9,NA,19,14,19,142,29,95,57,315,30
E00045113,189,NA,21,NA,20,20,12,99,25,57,57,303,34
E00045114,201,NA,24,NA,12,19,25,102,22,71,57,272,35
E00045115,193,NA,20,NA,10,16,20,85,11,62,64,304,37
E00045116,202,NA,17,NA,15,17,19,114,28,76,71,287,39
E00045117,190,NA,16,NA,6,23,26,98,22,58,58,264,52
E00045118,196,NA,9,NA,22,13,15,117,26,76,54,296,30
E00045119,216,NA,12,NA,25,20,22,133,24,82,62,311,35
E00045120,217,NA,16,NA,13,14,20,104,23,64,72,311,38
E00045121,218,NA,19,NA,22,9,18,125,22,74,69,316,42
E00045122,161,NA,11,NA,10,12,24,99,22,58,58,223,36
E00045123,145,NA,18,NA,9,6,9,64,8,52,78,209,46
E00045124,236,NA,19,NA,23,20,29,115,24,78,83,318,52
E00045125,191,NA,13,NA,14,18,14,115,25,72,48,271,31
E00045126,240,NA,13,NA,21,14,25,155,34,97,59,350,30
E00045127,173,NA,9,NA,14,15,22,116,25,68,46,257,25
E00045128,256,NA,14,NA,16,16,18,149,26,134,74,368,41
E00045129,264,NA,15,NA,7,24,19,156,31,108,60,375,27
E00045130,202,NA,7,NA,17,31,12,138,32,82,37,277,23
E00045131,226,NA,16,NA,19,23,22,137,36,98,60,324,28
E00045132,150,NA,8,NA,13,13,19,101,21,68,50,225,29
E00045133,177,NA,8,NA,14,12,22,119,31,83,35,245,25
E00045134,184,NA,13,NA,15,12,18,93,17,69,46,267,24
E00045135,185,NA,10,NA,7,15,10,90,19,63,60,270,41
E00045136,201,NA,24,NA,20,12,16,115,24,76,88,309,52
E00045137,219,NA,10,NA,20,14,14,154,19,102,49,304,30
E00045138,204,NA,12,NA,17,17,27,122,24,75,54,296,32
E00045139,80,NA,14,NA,3,3,0,18,3,21,73,131,42
E00045140,199,NA,14,NA,10,19,23,107,28,62,61,285,40
E00045141,190,NA,13,NA,17,16,15,123,19,77,43,251,27
E00045142,244,NA,16,NA,23,32,19,156,40,111,68,345,36
E00045143,217,NA,6,NA,21,10,22,151,18,102,50,327,22
E00045144,231,NA,6,NA,19,15,15,188,38,119,32,298,18
E00045145,236,NA,20,NA,13,25,24,139,34,106,67,321,27
E00045146,256,NA,6,NA,24,20,26,183,34,113,61,353,35
E00045147,161,NA,16,NA,13,14,11,82,17,60,55,232,33
E00045148,185,NA,18,NA,14,3,9,104,13,108,65,242,31
E00045149,193,NA,13,NA,22,12,14,133,28,91,47,270,21
E00045150,210,NA,10,NA,19,15,21,137,32,79,52,310,30
E00045151,206,NA,7,NA,22,15,17,154,32,93,44,276,22
E00045152,215,NA,14,NA,25,15,16,138,23,104,59,311,29
E00045153,212,NA,10,NA,22,14,17,135,27,96,53,292,32
E00045154,215,NA,9,NA,18,20,17,172,34,130,36,280,17
E00045155,266,NA,12,NA,24,26,18,189,39,116,50,380,26
E00045156,203,NA,4,NA,24,12,18,136,29,84,35,273,20
E00045157,225,NA,7,NA,28,17,18,167,33,103,67,317,28
E00045158,224,NA,19,NA,9,10,9,146,22,129,51,297,19
E00045159,200,NA,7,NA,16,20,17,146,29,76,51,281,25
E00045160,264,NA,13,NA,27,19,24,164,29,119,64,377,38
