index,year,lsoa21,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health,updated
Manufacturing,2021,E01008881,1323,0,63,0,52,85,108,678,63,791,298,1738,114,NA
Manufacturing,2021,E01008882,1445,0,95,0,61,98,106,643,54,784,336,2056,143,NA
Manufacturing,2021,E01008883,1444,0,91,0,61,98,147,707,58,829,345,1994,125,NA
Manufacturing,2021,E01008884,1503,0,76,0,63,106,154,655,67,802,324,2211,128,NA
Manufacturing,2021,E01008885,1064,0,26,0,80,61,72,647,61,713,189,1352,54,NA
Manufacturing,2021,E01008886,1214,0,81,0,67,63,107,656,65,790,307,1596,96,NA
Manufacturing,2021,E01008887,1221,0,85,0,70,81,120,648,54,779,296,1722,101,NA
Manufacturing,2021,E01008888,1294,0,44,0,115,69,92,827,85,903,230,1647,72,NA
Manufacturing,2021,E01008889,1431,0,100,0,69,79,117,666,80,869,353,1791,96,NA
Manufacturing,2021,E01008890,1442,0,119,0,79,67,88,794,68,944,353,1850,130,NA
Manufacturing,2021,E01008891,1298,0,67,0,95,58,76,739,69,856,296,1575,109,NA
Manufacturing,2021,E01008892,1122,0,83,0,47,77,76,543,63,673,302,1484,106,NA
Manufacturing,2021,E01008893,1379,0,88,0,70,59,76,781,69,968,333,1706,91,NA
Manufacturing,2021,E01008894,1350,0,88,0,68,57,96,653,51,873,374,1598,118,NA
Manufacturing,2021,E01008895,1465,0,57,0,124,58,125,941,85,1031,279,1897,89,NA
Manufacturing,2021,E01008896,1279,0,76,0,59,74,100,590,63,715,308,1892,109,NA
Manufacturing,2021,E01008897,1426,0,87,0,55,98,106,669,56,878,347,1979,135,NA
Manufacturing,2021,E01008898,1243,0,83,0,58,80,92,539,58,667,320,1792,117,NA
Manufacturing,2021,E01008899,964,0,56,0,35,75,93,371,34,469,189,1294,85,NA
Manufacturing,2021,E01008901,1373,0,111,0,59,65,119,536,35,696,309,1808,153,NA
Manufacturing,2021,E01008905,1386,0,96,0,50,98,101,531,41,658,294,1947,140,NA
Manufacturing,2021,E01008906,1361,0,63,0,71,67,129,521,20,685,252,1990,141,NA
Manufacturing,2021,E01008907,1345,0,124,0,50,43,94,480,25,793,332,1802,149,NA
Manufacturing,2021,E01008909,1439,0,63,0,55,60,138,596,36,846,242,2123,88,NA
Manufacturing,2021,E01008910,1247,0,74,0,35,47,113,476,15,696,223,1753,91,NA
Manufacturing,2021,E01008911,1223,0,53,0,33,56,167,481,37,639,215,1944,89,NA
Manufacturing,2021,E01008913,1607,0,101,0,47,70,186,696,44,872,351,2259,155,NA
Manufacturing,2021,E01008915,1177,0,43,0,34,108,137,571,64,659,190,1778,65,NA
Manufacturing,2021,E01008916,1198,0,98,0,44,79,141,489,35,588,242,1753,130,NA
Manufacturing,2021,E01008917,1011,0,34,0,47,56,65,561,57,691,172,1246,56,NA
Manufacturing,2021,E01008918,1301,0,102,0,46,70,101,588,51,802,401,1744,123,NA
Manufacturing,2021,E01008919,1292,0,87,0,62,60,57,671,68,849,328,1639,100,NA
Manufacturing,2021,E01008920,1076,0,31,0,66,54,65,601,55,709,248,1313,78,NA
Manufacturing,2021,E01008921,1165,0,64,0,54,37,67,548,53,786,334,1443,109,NA
Manufacturing,2021,E01008923,1146,0,112,0,52,31,102,505,41,672,394,1512,144,NA
Manufacturing,2021,E01008924,1232,0,79,0,79,50,62,660,49,830,354,1492,89,NA
Manufacturing,2021,E01008925,1008,0,30,0,67,47,65,556,50,674,212,1178,62,NA
Manufacturing,2021,E01008927,1008,0,83,0,64,57,69,484,42,581,311,1305,119,NA
Manufacturing,2021,E01008928,1219,0,159,0,67,36,101,537,40,692,416,1580,141,NA
Manufacturing,2021,E01008929,1190,0,130,0,40,59,93,539,48,691,403,1595,139,NA
Manufacturing,2021,E01008930,1460,0,74,0,82,75,82,919,74,1064,340,1962,104,NA
Manufacturing,2021,E01008931,1091,0,97,0,62,45,76,538,43,684,364,1449,131,NA
Manufacturing,2021,E01008932,1256,0,86,0,57,56,94,620,50,795,343,1609,117,NA
Manufacturing,2021,E01008933,1233,0,48,0,43,43,65,631,43,851,241,1620,72,NA
Manufacturing,2021,E01008934,1213,0,41,0,36,38,45,669,40,918,248,1507,69,NA
Manufacturing,2021,E01008935,1313,0,135,0,62,44,91,590,38,784,420,1769,147,NA
Manufacturing,2021,E01008936,1298,0,76,0,43,44,58,603,42,890,331,1645,115,NA
Manufacturing,2021,E01008937,1184,0,84,0,52,54,55,531,46,738,311,1603,121,NA
Manufacturing,2021,E01008938,1187,0,68,0,62,70,96,626,59,754,283,1690,94,NA
Manufacturing,2021,E01008939,1313,0,76,0,78,57,101,726,45,799,318,1669,107,NA
Manufacturing,2021,E01008940,1185,0,90,0,54,53,78,543,41,703,422,1613,182,NA
Manufacturing,2021,E01008941,1187,0,83,0,76,55,93,604,60,776,355,1597,125,NA
Manufacturing,2021,E01008942,1229,0,78,0,96,73,106,709,52,735,317,1615,98,NA
Manufacturing,2021,E01008943,1147,0,118,0,66,56,91,594,49,706,348,1453,105,NA
Manufacturing,2021,E01008944,1337,0,83,0,87,44,85,709,61,926,333,1738,121,NA
Manufacturing,2021,E01008945,1424,0,59,0,122,70,129,861,77,895,348,1810,109,NA
Manufacturing,2021,E01008946,1239,0,115,0,87,68,78,649,67,761,388,1542,152,NA
Manufacturing,2021,E01008947,1064,0,40,0,92,48,65,644,52,684,260,1363,68,NA
Manufacturing,2021,E01008948,1191,0,30,0,83,56,92,704,47,786,252,1439,70,NA
Manufacturing,2021,E01008949,984,0,24,0,72,45,41,620,65,700,173,1188,41,NA
Manufacturing,2021,E01008950,1219,0,79,0,48,41,43,535,51,843,351,1430,135,NA
Manufacturing,2021,E01008951,1133,0,41,0,38,21,39,647,45,908,271,1412,68,NA
Manufacturing,2021,E01008952,1521,0,54,0,70,44,107,1091,84,1204,302,1766,89,NA
Manufacturing,2021,E01008953,1231,0,57,0,44,56,81,698,46,845,295,1572,78,NA
Manufacturing,2021,E01008954,1181,0,40,0,39,42,48,585,46,839,286,1432,85,NA
Manufacturing,2021,E01008955,1400,0,38,0,46,41,49,902,58,1110,306,1676,88,NA
Manufacturing,2021,E01008956,1119,0,37,0,35,25,30,676,47,857,294,1413,70,NA
Manufacturing,2021,E01008957,1271,0,71,0,76,43,78,814,56,952,311,1603,93,NA
Manufacturing,2021,E01008958,1268,0,87,0,46,49,74,581,42,821,406,1548,146,NA
Manufacturing,2021,E01008959,1442,0,42,0,41,24,57,739,45,1043,380,1733,95,NA
Manufacturing,2021,E01008960,1270,0,25,0,54,28,32,840,44,1063,239,1545,52,NA
Manufacturing,2021,E01008961,1233,0,55,0,64,46,60,748,70,928,274,1412,76,NA
Manufacturing,2021,E01008962,1513,0,126,0,47,41,102,725,37,1003,441,2089,167,NA
Manufacturing,2021,E01008963,1157,0,66,0,67,30,77,683,43,811,288,1491,86,NA
Manufacturing,2021,E01008964,1171,0,91,0,58,41,57,605,50,777,366,1447,100,NA
Manufacturing,2021,E01008965,1169,0,26,0,56,38,53,745,51,911,239,1457,54,NA
Manufacturing,2021,E01008966,1325,0,107,0,68,52,75,656,49,855,345,1746,145,NA
Manufacturing,2021,E01008967,1296,0,40,0,45,34,36,716,47,999,258,1590,69,NA
Manufacturing,2021,E01008968,1438,0,32,0,39,41,39,801,49,1156,273,1803,59,NA
Manufacturing,2021,E01008969,1349,0,60,0,70,41,53,799,50,987,285,1667,91,NA
Manufacturing,2021,E01008970,1128,0,58,0,57,20,49,580,35,820,269,1458,94,NA
Manufacturing,2021,E01008971,1406,0,56,0,70,28,56,773,46,1039,325,1735,97,NA
Manufacturing,2021,E01008972,1464,0,177,0,61,60,83,716,82,905,466,1868,170,NA
Manufacturing,2021,E01008973,1548,0,81,0,122,72,79,922,75,1106,369,1922,114,NA
Manufacturing,2021,E01008974,2236,0,64,0,112,73,86,1394,98,1730,412,2793,119,NA
Manufacturing,2021,E01008975,1225,0,51,0,72,58,57,724,70,866,289,1487,70,NA
Manufacturing,2021,E01008976,1184,0,72,0,84,55,83,580,42,723,343,1537,121,NA
Manufacturing,2021,E01008977,1229,0,55,0,74,53,103,741,62,839,307,1559,102,NA
Manufacturing,2021,E01008978,1012,0,122,0,34,41,79,331,24,495,412,1402,162,NA
Manufacturing,2021,E01008979,1179,0,108,0,65,51,96,554,36,699,390,1580,148,NA
Manufacturing,2021,E01008980,1250,0,120,0,66,47,104,545,54,668,402,1717,140,NA
Manufacturing,2021,E01008981,1252,0,25,0,48,28,12,685,39,1014,288,1533,73,NA
Manufacturing,2021,E01008982,1345,0,22,0,18,17,56,756,50,1148,177,1674,52,NA
Manufacturing,2021,E01008984,1419,0,132,0,40,36,96,566,34,938,387,1710,170,NA
Manufacturing,2021,E01008986,1316,0,72,0,43,40,99,793,48,1044,272,1553,95,NA
Manufacturing,2021,E01008987,1403,0,73,0,33,37,116,534,30,1025,323,1593,118,NA
Manufacturing,2021,E01008988,1869,0,71,0,71,60,111,1121,56,1487,318,2077,80,NA
Manufacturing,2021,E01008989,1511,0,64,0,37,42,104,791,47,1165,308,1692,100,NA
Manufacturing,2021,E01008990,989,0,7,0,24,6,16,625,34,880,129,1180,23,NA
Manufacturing,2021,E01008991,1397,0,18,0,16,17,37,775,41,1141,195,1882,55,NA
Manufacturing,2021,E01008992,1503,0,12,0,15,12,30,616,15,1376,173,1684,35,NA
Manufacturing,2021,E01008994,1339,0,49,0,26,9,85,679,27,1147,244,1586,81,NA
Manufacturing,2021,E01008995,1838,0,139,0,38,58,146,738,41,1258,386,2429,138,NA
Manufacturing,2021,E01008996,1377,0,114,0,43,63,94,563,45,820,361,1881,160,NA
Manufacturing,2021,E01008997,1242,0,43,0,20,10,39,672,26,1009,208,1539,57,NA
Manufacturing,2021,E01008998,1418,0,98,0,29,97,119,640,45,755,378,1914,146,NA
Manufacturing,2021,E01008999,1249,0,93,0,49,89,93,643,64,798,316,1586,133,NA
Manufacturing,2021,E01009000,1496,0,166,0,62,87,159,733,68,924,445,1741,170,NA
Manufacturing,2021,E01009001,1331,0,83,0,63,49,65,751,77,896,349,1677,120,NA
Manufacturing,2021,E01009002,1367,0,101,0,55,58,99,639,44,851,370,2050,149,NA
Manufacturing,2021,E01009003,1526,0,91,0,75,50,92,766,66,958,428,1762,100,NA
Manufacturing,2021,E01009005,1368,0,63,0,62,73,97,774,83,914,355,1756,135,NA
Manufacturing,2021,E01009006,1287,0,58,0,85,79,108,817,86,914,274,1552,86,NA
Manufacturing,2021,E01009007,1496,0,86,0,61,81,196,865,105,973,349,1819,97,NA
Manufacturing,2021,E01009008,1214,0,56,0,60,54,60,700,61,815,268,1425,83,NA
Manufacturing,2021,E01009009,1221,0,48,0,74,45,48,678,51,839,242,1486,77,NA
Manufacturing,2021,E01009011,1431,0,83,0,105,74,88,768,84,878,350,1737,142,NA
Manufacturing,2021,E01009012,1220,0,46,0,70,67,100,718,73,862,266,1500,89,NA
Manufacturing,2021,E01009013,1684,0,171,0,67,109,137,878,78,1083,429,2019,141,NA
Manufacturing,2021,E01009014,1864,0,83,0,72,99,123,881,75,1163,334,2612,110,NA
Manufacturing,2021,E01009015,1478,0,101,0,62,74,94,747,69,909,331,1852,142,NA
Manufacturing,2021,E01009016,1332,0,128,0,64,73,89,621,53,747,358,1649,159,NA
Manufacturing,2021,E01009017,1344,0,63,0,53,94,80,627,52,849,241,1798,103,NA
Manufacturing,2021,E01009018,1564,0,74,0,70,99,90,739,55,982,329,1862,128,NA
Manufacturing,2021,E01009019,1282,0,111,0,61,69,118,588,43,770,371,1803,150,NA
Manufacturing,2021,E01009020,1189,0,80,0,63,69,87,604,61,694,302,1589,123,NA
Manufacturing,2021,E01009021,1232,0,92,0,76,69,110,683,51,755,354,1758,130,NA
Manufacturing,2021,E01009022,1365,0,68,0,46,85,99,737,52,916,315,1831,119,NA
Manufacturing,2021,E01009023,1298,0,36,0,62,55,61,736,61,954,230,1712,65,NA
Manufacturing,2021,E01009024,1276,0,71,0,70,85,120,690,63,788,301,1833,107,NA
Manufacturing,2021,E01009025,1157,0,85,0,79,75,98,621,60,721,331,1610,131,NA
Manufacturing,2021,E01009026,1398,0,88,0,77,81,117,709,75,818,309,1988,107,NA
Manufacturing,2021,E01009028,1314,0,76,0,54,89,115,619,73,795,292,1863,114,NA
Manufacturing,2021,E01009029,1136,0,72,0,55,68,77,550,41,731,275,1567,97,NA
Manufacturing,2021,E01009030,1443,0,52,0,53,65,68,834,55,1070,260,1885,81,NA
