zone_code,total_residents,total_Active,unemployed,total_households,Overcrowded,Owned,no_car
e33096121012,522,260,4,1012,67,558,221
e33096126001,200,88,2,1014,30,149,209
e39106401001,612,315,15,1001,98,332,639
e39106401002,507,246,16,995,69,538,717
e39106401003,439,238,13,1006,19,519,539
e39106401004,542,263,13,983,27,743,536
e39106401005,407,190,9,999,47,378,682
e39106401006,178,83,6,1015,106,409,758
e39106401007,613,334,17,995,125,554,518
e39106401008,624,297,24,1007,270,43,748
e39106401009,503,241,19,989,43,584,546
e39106401010,283,143,3,983,0,625,425
e39106401011,197,123,6,988,50,0,638
e39106401012,442,218,11,1000,14,264,787
e39106401013,554,253,8,1000,31,711,582
e39106401014,523,283,7,985,10,831,557
e39106401015,504,284,11,1005,10,919,419
e39106401016,330,195,5,992,22,474,430
e39106401017,555,313,5,995,20,893,325
e39106401018,448,260,7,1011,23,896,387
e39106401019,540,276,9,1005,52,859,432
e39106401020,598,356,6,1000,29,962,292
e39106401021,414,227,6,1000,26,222,688
e39106401022,521,279,7,1015,20,755,459
e39106401023,621,276,19,981,89,266,640
e39106401024,646,332,24,992,122,328,581
e39106401025,435,257,9,1005,27,621,527
e39106401026,444,216,6,994,40,514,636
e39106401027,416,222,4,1000,26,523,569
e39106401028,541,272,10,999,101,157,646
e39106401029,485,220,10,1000,99,284,691
e39106401030,412,214,7,1007,43,752,496
e39106401031,530,237,6,1010,62,703,526
e39106401032,516,233,7,1017,81,520,684
e39106401033,581,268,7,989,84,575,676
e39106401034,500,273,13,1000,70,582,538
e39106401035,662,304,19,989,106,746,582
e39106401036,591,296,20,1001,134,521,639
e39106401037,582,299,16,1000,54,321,597
e39106401038,642,321,17,995,108,536,607
e39106401039,531,275,6,1013,22,432,590
e39106401040,425,297,14,985,47,346,602
e39106401041,598,317,12,1005,67,589,459
e39106401042,532,249,12,1000,97,491,726
e39106401043,464,236,8,1020,107,747,563
e39106401044,348,169,15,999,99,486,730
e39106401045,459,245,7,993,102,468,696
e39106401046,471,215,18,1007,195,275,775
e39106401047,399,194,12,982,52,231,723
e39106401048,396,210,9,1006,73,344,642
e39106401049,514,270,8,1021,53,652,615
e39106401050,398,203,8,1006,54,185,799
e39106401051,394,205,5,1016,95,441,606
e39106401052,489,232,5,988,48,701,677
e39106401053,459,240,13,988,17,591,642
e39106401054,575,246,17,1006,118,21,737
e39106401055,42,26,3,933,200,333,400
e39106401056,88,35,5,903,32,871,516
e39106401057,103,65,3,1000,52,462,590
e39106402001,36,19,0,1000,83,167,583
e39106402002,495,204,29,976,236,228,724
e39106402003,156,67,6,1084,167,354,896
e39106402004,215,119,4,1018,0,18,873
e39106402005,116,45,9,1033,467,0,933
e39106402006,89,57,0,999,259,481,630
e39106402007,362,208,7,1007,155,528,732
e39106402008,421,208,11,1044,255,544,746
e39106402009,615,239,32,988,266,0,897
e39106402010,191,102,4,1013,39,117,766
e39106402011,186,80,9,949,136,34,695
e39106402012,508,219,25,1014,294,77,818
e39106402013,755,269,38,980,380,30,865
e39106402014,499,220,25,1019,216,121,892
e39106402015,540,197,27,1014,324,21,852
e39106402016,344,146,14,975,116,74,835
e39106402017,476,199,20,993,243,66,770
e39106402018,537,193,34,987,283,94,830
e39106402019,542,235,6,1000,78,414,646
e39106402020,579,210,37,999,336,146,835
e39106402021,555,211,25,1000,222,151,831
