ED81CDO,total_residents,total_Active,unemployed,total_households,Overcrowded,Owned,no_car
07CNAA08,519,230,54,167,20,36,122
07CNBR32,558,255,57,195,11,83,118
07CNBR31,586,285,31,208,3,174,53
07CNBR25,552,271,42,183,14,41,126
07CNBR30,642,296,58,192,23,79,99
07CNAA10,216,109,9,84,1,76,26
07CNAA11,142,65,8,73,0,0,56
07CNAA13,477,271,21,190,3,156,100
07CNAA02,442,221,37,150,15,86,83
07CNAA01,597,252,47,220,24,18,147
07CNAA03,437,203,44,157,12,106,94
07CNAA07,547,255,41,196,9,119,116
07CNAA09,430,239,37,149,5,116,62
07CNAA06,433,195,35,167,8,64,114
07CNAA05,484,250,27,182,3,161,87
07CNAA04,451,255,27,174,2,117,80
07CNAA23,416,183,28,173,7,77,107
07CNAA24,369,156,33,157,9,50,97
07CNAA22,666,336,51,228,19,71,153
07CNAA27,360,204,21,133,9,114,65
07CNAA25,408,161,39,130,18,67,92
07CNAA26,381,169,25,139,12,76,91
07CNAA14,617,304,25,229,5,176,104
07CNAA20,536,263,21,209,3,146,96
07CNAA16,464,236,13,185,6,176,67
07CNAA19,502,252,22,186,8,168,49
07CNAA17,497,232,16,193,6,177,73
07CNAA12,391,170,19,208,7,72,147
07CNAA21,629,286,42,223,15,112,121
07CNAA15,386,208,10,163,6,109,65
07CTAH03,479,248,16,173,2,169,38
07CNAA18,542,277,16,211,11,199,76
07CTAH01,462,247,14,198,4,188,61
07CNAA32,589,292,48,202,18,128,110
07CNAA40,358,164,22,138,1,68,71
07CNAA33,523,262,34,177,3,139,62
07CNAA36,533,240,24,177,7,98,91
07CNAA39,540,268,43,166,15,109,78
07CNAA34,526,275,43,164,12,146,72
07CNAA41,327,153,25,173,6,46,122
07CNAA37,533,244,39,184,10,147,77
07CNAA38,486,262,25,183,2,146,78
07CNAA46,352,180,15,152,5,102,81
07CNAA48,418,158,18,232,6,55,160
07CNAA47,452,235,19,164,6,160,42
07CTAH04,485,201,13,199,4,157,77
07CTAH09,533,255,18,196,5,177,65
07CNAA35,561,268,43,177,16,125,93
07CNAA42,501,286,28,184,6,116,65
07CNAA43,570,289,37,201,12,108,95
07CNAA44,412,250,34,184,7,80,97
07CNAA45,398,218,25,174,2,115,82
07CNAA51,482,210,22,211,7,83,122
07CNAA50,562,230,27,219,14,90,144
07CTAK05,509,196,18,160,2,50,82
07CTAK01,555,334,15,195,3,188,35
07CNAA49,492,246,20,188,6,164,66
07CNBR26,805,361,72,252,28,61,160
07CNBR27,659,308,33,234,17,45,155
07CNBR29,579,253,56,188,23,43,128
07CNBR24,728,348,83,224,32,54,133
07CNBR23,623,289,29,224,5,105,95
07CNBR28,685,308,69,221,27,47,165
07CNAC14,591,214,50,166,18,4,123
07CNAC05,409,169,39,116,22,51,71
07CNAC03,684,262,55,206,32,128,144
07CNAC04,459,197,32,167,14,131,110
07CNAL43,703,313,96,262,19,5,216
07CNAL01,336,157,31,147,6,86,97
07CNAL02,404,173,22,167,10,111,99
07CNAL03,418,189,31,165,11,96,102
07CNAL42,424,236,31,206,4,0,139
07CNAC22,330,142,37,94,15,0,64
07CNAC16,313,129,52,91,11,20,73
07CNAC15,435,170,38,129,20,6,94
07CNAC12,468,236,50,165,10,2,130
07CNAC11,353,130,44,68,25,45,48
07CNAC23,441,170,73,137,23,25,114
07CNAC09,658,281,72,150,36,112,100
07CNAC02,585,203,65,162,39,82,111
07CNAN43,399,157,64,102,25,33,76
07CNAW01,693,267,95,169,39,78,118
07CNAW04,593,245,66,154,28,58,106
07CNAW02,515,202,46,149,27,58,102
07CNAW05,510,176,47,144,30,33,113
07CNAN57,413,150,46,121,16,44,84
07CNAW03,604,213,44,150,27,37,100
07CNAW06,506,192,72,171,32,33,144
07CNAW09,1301,576,143,340,53,15,222
07CNBJ46,380,172,45,125,15,42,93
07CNBJ39,296,119,35,93,13,28,74
07CNBJ40,191,85,26,74,9,8,60
07CNAN41,396,205,50,178,10,38,122
07CNBJ47,344,134,27,111,19,34,84
07CNAW07,392,197,48,208,5,1,183
07CNAW10,864,398,93,273,39,12,214
07CNAW08,811,358,80,265,28,11,215
07CNAW11,577,258,77,172,23,7,141
07CNAC26,405,207,62,171,14,0,135
07CNAC25,755,309,83,218,24,9,159
07CNAW17,114,64,7,39,2,4,19
07CNAC21,381,176,52,157,14,1,129
07CNAC20,669,250,73,212,28,4,155
07CNAW13,759,355,72,203,31,16,137
07CNAW14,505,224,52,199,17,7,169
07CNAW15,337,161,38,172,6,2,147
