ED91CD,total_residents,total_Active,unemployed,total_households,Overcrowded,Owned,no_car
CNFA01,762,273,41,243,13,95,138
CNFA02,560,192,26,183,5,81,102
CNFA03,705,294,25,220,16,101,115
CNFA04,695,284,22,216,9,124,77
CNFA05,577,193,15,195,7,84,121
CNFA06,767,290,33,241,13,109,149
CNFA07,540,251,21,187,11,75,105
CNFA08,625,244,20,190,14,118,90
CNFA09,751,298,15,225,5,197,72
CNFA10,602,187,19,210,7,45,147
CNFA11,534,194,23,161,9,68,95
CNFA12,526,216,22,172,13,105,83
CNFA13,483,210,10,160,3,112,77
CNFA14,638,261,19,200,11,142,81
CNFA15,498,210,19,172,8,134,74
CNFA16,573,251,12,187,3,168,74
CNFA17,605,238,19,203,4,117,112
CNFA18,681,251,26,205,5,139,84
CNFA19,559,224,18,172,2,146,66
CNFA20,575,209,16,206,2,126,117
CNFA21,724,308,17,229,5,209,88
CNFA22,358,73,14,153,1,44,130
CNFA23,481,218,10,175,5,124,89
CNFA24,404,149,10,154,6,72,94
CNFA25,698,305,11,229,8,204,80
CNFA26,467,132,17,159,5,72,98
CNFA27,710,260,26,234,5,129,131
CNFA28,697,284,21,227,8,140,106
CNFA29,550,213,17,174,3,117,89
CNFA30,490,214,12,159,5,134,54
CNFA31,735,277,8,229,9,221,72
CNFA32,571,226,13,201,3,178,66
CNFA33,708,299,15,220,7,205,64
CNFA34,697,299,7,223,7,210,68
CNFA35,706,241,10,244,5,178,96
CNFA37,888,335,30,259,11,139,113
CNFA38,351,116,12,105,12,7,62
CNFA39,692,302,16,210,15,156,90
CNFA40,714,283,20,183,2,170,51
CNFA41,590,264,12,200,7,137,62
CNFA42,620,254,14,228,5,167,108
CNFA43,536,215,9,180,5,104,73
CNFA44,634,335,8,200,4,195,12
CNFA45,633,211,15,232,4,143,116
CNFA46,674,316,10,234,3,218,62
CNFA47,575,239,25,167,5,108,64
CNFA48,630,204,21,173,4,89,76
CNFA49,546,159,18,183,2,56,113
