index,year,lsoa21,total_residents,total_Active,unemployed,total_households,Overcrowded,Owned,no_car,updated
Townsend,2021,E01008881,1323,696,69,582,64,326,165,NA
Townsend,2021,E01008882,1445,699,69,675,106,297,212,NA
Townsend,2021,E01008883,1444,774,100,636,98,362,214,NA
Townsend,2021,E01008884,1503,731,102,709,112,245,296,NA
Townsend,2021,E01008885,1064,654,31,507,31,406,88,NA
Townsend,2021,E01008886,1214,721,72,697,32,318,267,NA
Townsend,2021,E01008887,1221,705,72,616,74,326,197,NA
Townsend,2021,E01008888,1294,858,46,631,11,489,91,NA
Townsend,2021,E01008889,1431,701,76,664,79,336,232,NA
Townsend,2021,E01008890,1442,821,63,712,66,399,191,NA
Townsend,2021,E01008891,1298,778,40,712,29,455,166,NA
Townsend,2021,E01008892,1122,577,64,501,52,211,185,NA
Townsend,2021,E01008893,1379,833,70,726,40,420,223,NA
Townsend,2021,E01008894,1350,708,77,713,50,230,329,NA
Townsend,2021,E01008895,1465,971,59,765,41,481,172,NA
Townsend,2021,E01008896,1279,620,50,565,98,288,164,NA
Townsend,2021,E01008897,1426,727,84,617,80,381,161,NA
Townsend,2021,E01008898,1243,606,91,555,92,262,201,NA
Townsend,2021,E01008899,964,407,70,455,83,124,228,NA
Townsend,2021,E01008901,1373,608,97,605,110,231,256,NA
Townsend,2021,E01008905,1386,621,121,489,121,245,178,NA
Townsend,2021,E01008906,1361,597,108,515,160,187,204,NA
Townsend,2021,E01008907,1345,566,129,621,126,130,340,NA
Townsend,2021,E01008909,1439,644,93,551,148,187,194,NA
Townsend,2021,E01008910,1247,551,113,444,129,147,179,NA
Townsend,2021,E01008911,1223,544,99,637,155,82,320,NA
Townsend,2021,E01008913,1607,788,142,934,188,123,533,NA
Townsend,2021,E01008915,1177,623,80,552,86,255,215,NA
Townsend,2021,E01008916,1198,537,73,483,114,195,208,NA
Townsend,2021,E01008917,1011,583,33,507,25,378,93,NA
Townsend,2021,E01008918,1301,641,67,723,87,251,290,NA
Townsend,2021,E01008919,1292,687,50,699,55,371,203,NA
Townsend,2021,E01008920,1076,624,35,550,20,423,108,NA
Townsend,2021,E01008921,1165,584,51,624,47,373,164,NA
Townsend,2021,E01008923,1146,562,74,637,64,246,275,NA
Townsend,2021,E01008924,1232,696,42,638,36,394,183,NA
Townsend,2021,E01008925,1008,576,31,509,9,447,77,NA
Townsend,2021,E01008927,1008,554,88,597,42,218,241,NA
Townsend,2021,E01008928,1219,572,62,735,49,223,304,NA
Townsend,2021,E01008929,1190,584,65,702,55,193,299,NA
Townsend,2021,E01008930,1460,952,62,785,32,431,150,NA
Townsend,2021,E01008931,1091,567,50,623,64,272,228,NA
Townsend,2021,E01008932,1256,653,58,661,58,318,224,NA
Townsend,2021,E01008933,1233,671,60,547,45,392,94,NA
Townsend,2021,E01008934,1213,685,29,547,34,413,83,NA
Townsend,2021,E01008935,1313,642,78,679,66,277,261,NA
Townsend,2021,E01008936,1298,675,74,655,32,378,202,NA
Townsend,2021,E01008937,1184,595,75,623,34,313,183,NA
Townsend,2021,E01008938,1187,652,51,576,65,339,143,NA
Townsend,2021,E01008939,1313,746,48,702,36,374,202,NA
Townsend,2021,E01008940,1185,594,57,583,55,286,159,NA
Townsend,2021,E01008941,1187,646,63,577,59,330,177,NA
Townsend,2021,E01008942,1229,740,53,630,47,381,167,NA
Townsend,2021,E01008943,1147,625,44,576,38,303,174,NA
Townsend,2021,E01008944,1337,775,71,738,52,408,198,NA
Townsend,2021,E01008945,1424,897,52,741,31,479,174,NA
Townsend,2021,E01008946,1239,693,57,648,30,376,202,NA
Townsend,2021,E01008947,1064,658,36,536,26,366,117,NA
Townsend,2021,E01008948,1191,733,37,617,16,499,110,NA
Townsend,2021,E01008949,984,625,17,509,3,464,70,NA
Townsend,2021,E01008950,1219,566,45,715,8,316,220,NA
Townsend,2021,E01008951,1133,652,17,615,12,344,153,NA
Townsend,2021,E01008952,1521,1119,59,875,33,456,295,NA
Townsend,2021,E01008953,1231,719,47,661,48,422,185,NA
Townsend,2021,E01008954,1181,591,27,602,16,295,109,NA
Townsend,2021,E01008955,1400,944,60,739,38,462,191,NA
Townsend,2021,E01008956,1119,690,27,554,5,411,114,NA
Townsend,2021,E01008957,1271,847,63,728,33,380,260,NA
Townsend,2021,E01008958,1268,622,44,769,23,216,297,NA
Townsend,2021,E01008959,1442,760,48,800,22,418,226,NA
Townsend,2021,E01008960,1270,864,37,627,10,483,133,NA
Townsend,2021,E01008961,1233,766,46,725,16,413,253,NA
Townsend,2021,E01008962,1513,774,77,855,79,330,362,NA
Townsend,2021,E01008963,1157,710,49,620,36,392,175,NA
Townsend,2021,E01008964,1171,629,39,619,26,360,190,NA
Townsend,2021,E01008965,1169,778,35,570,24,471,105,NA
Townsend,2021,E01008966,1325,724,83,681,61,321,250,NA
Townsend,2021,E01008967,1296,741,40,643,12,539,97,NA
Townsend,2021,E01008968,1438,835,46,709,27,566,148,NA
Townsend,2021,E01008969,1349,834,55,690,20,497,149,NA
Townsend,2021,E01008970,1128,608,49,599,30,341,177,NA
Townsend,2021,E01008971,1406,798,42,750,27,458,175,NA
Townsend,2021,E01008972,1464,762,64,758,55,358,263,NA
Townsend,2021,E01008973,1548,962,48,882,29,590,192,NA
Townsend,2021,E01008974,2236,1448,70,1110,30,724,180,NA
Townsend,2021,E01008975,1225,735,26,663,12,510,161,NA
Townsend,2021,E01008976,1184,618,73,648,52,334,241,NA
Townsend,2021,E01008977,1229,775,48,705,32,407,183,NA
Townsend,2021,E01008978,1012,397,83,632,93,90,406,NA
Townsend,2021,E01008979,1179,601,68,709,54,326,299,NA
Townsend,2021,E01008980,1250,611,86,676,86,275,320,NA
Townsend,2021,E01008981,1252,699,33,592,15,478,113,NA
Townsend,2021,E01008982,1345,754,68,701,40,261,250,NA
Townsend,2021,E01008984,1419,603,116,783,68,156,404,NA
Townsend,2021,E01008986,1316,826,87,785,61,211,350,NA
Townsend,2021,E01008987,1403,508,98,626,51,125,345,NA
Townsend,2021,E01008988,1869,1120,93,982,69,287,425,NA
Townsend,2021,E01008989,1511,826,90,926,61,262,429,NA
Townsend,2021,E01008990,989,641,35,512,20,308,87,NA
Townsend,2021,E01008991,1397,789,31,573,11,468,48,NA
Townsend,2021,E01008992,1503,558,17,476,12,331,90,NA
Townsend,2021,E01008994,1339,682,75,645,29,290,234,NA
Townsend,2021,E01008995,1838,765,108,905,114,107,476,NA
Townsend,2021,E01008996,1377,607,76,677,103,191,299,NA
Townsend,2021,E01008997,1242,709,64,630,27,339,168,NA
Townsend,2021,E01008998,1418,674,83,650,83,314,226,NA
Townsend,2021,E01008999,1249,653,45,522,57,344,121,NA
Townsend,2021,E01009000,1496,786,83,846,62,294,426,NA
Townsend,2021,E01009001,1331,780,44,721,37,495,156,NA
Townsend,2021,E01009002,1367,688,82,786,94,244,373,NA
Townsend,2021,E01009003,1526,798,46,689,34,451,190,NA
Townsend,2021,E01009005,1368,805,44,728,36,403,191,NA
Townsend,2021,E01009006,1287,861,63,746,36,419,233,NA
Townsend,2021,E01009007,1496,920,90,904,78,221,469,NA
Townsend,2021,E01009008,1214,719,28,598,19,465,130,NA
Townsend,2021,E01009009,1221,700,38,632,30,420,137,NA
Townsend,2021,E01009011,1431,820,59,795,29,475,203,NA
Townsend,2021,E01009012,1220,744,41,606,24,446,113,NA
Townsend,2021,E01009013,1684,932,100,902,50,405,379,NA
Townsend,2021,E01009014,1864,936,111,813,111,444,198,NA
Townsend,2021,E01009015,1478,809,83,792,56,379,298,NA
Townsend,2021,E01009016,1332,650,60,725,55,293,319,NA
Townsend,2021,E01009017,1344,632,51,485,65,342,89,NA
Townsend,2021,E01009018,1564,790,75,722,51,418,235,NA
Townsend,2021,E01009019,1282,648,89,605,90,280,189,NA
Townsend,2021,E01009020,1189,655,71,560,66,330,156,NA
Townsend,2021,E01009021,1232,744,73,678,68,275,246,NA
Townsend,2021,E01009022,1365,776,66,589,55,388,112,NA
Townsend,2021,E01009023,1298,740,45,557,38,445,60,NA
