lsoa21,ED71CD,ED71OPC,ED71ZCD,WD71CD,prop_ED
E01008881,H1971F00031925,4859A08,e39106401008,e39106401,0.16666666666666666
E01008881,H1971F00033969,4847A14,e39106439013,e39106439,0.8888888888888888
E01008881,H1971F00033971,4847A13,e39106439012,e39106439,0.09090909090909091
E01008881,H1971F00033968,4847A05,e39106439005,e39106439,1
E01008881,H1971F00033972,4847A07,e39106439007,e39106439,0.16666666666666666
E01008881,H1971F00033974,4847A06,e39106439006,e39106439,0.16666666666666666
E01008881,H1971F00031927,4859A10,e39106401010,e39106401,1
E01008881,H1971F00031928,4859A11,e39106401011,e39106401,1
E01008881,H1971F00031930,4859A13,e39106401013,e39106401,0.16666666666666666
E01008882,H1971F00031918,4859A01,e39106401001,e39106401,0.42857142857142855
E01008882,H1971F00031917,4859A54,e39106401054,e39106401,1
E01008882,H1971F00031919,4859A02,e39106401002,e39106401,0.2857142857142857
E01008882,H1971F00031924,4859A07,e39106401007,e39106401,1
E01008882,H1971F00031925,4859A08,e39106401008,e39106401,0.16666666666666666
E01008883,H1971F00031926,4859A09,e39106401009,e39106401,0.7
E01008883,H1971F00031920,4859A05,e39106401005,e39106401,1
E01008883,H1971F00031922,4859A04,e39106401004,e39106401,1
E01008883,H1971F00031923,4859A06,e39106401006,e39106401,0.5
E01008883,H1971F00031947,4859A47,e39106401047,e39106401,0.625
E01008883,H1971F00031941,4859A28,e39106401028,e39106401,0.375
E01008884,H1971F00031949,4859A43,e39106401043,e39106401,0.125
E01008884,H1971F00031945,4859A46,e39106401046,e39106401,1
E01008884,H1971F00031944,4859A44,e39106401044,e39106401,1
E01008884,H1971F00031921,4859A03,e39106401003,e39106401,1
E01008884,H1971F00031918,4859A01,e39106401001,e39106401,0.5714285714285714
E01008884,H1971F00031919,4859A02,e39106401002,e39106401,0.7142857142857143
E01008884,H1971F00031923,4859A06,e39106401006,e39106401,0.5
E01008884,H1971F00031948,4859A45,e39106401045,e39106401,1
E01008885,H1971F00031931,4859A14,e39106401014,e39106401,0.7272727272727273
E01008885,H1971F00031942,4859A27,e39106401027,e39106401,0.16666666666666666
E01008885,H1971F00031934,4859A15,e39106401015,e39106401,1
E01008885,H1971F00031938,4859A19,e39106401019,e39106401,0.5
E01008885,H1971F00031935,4859A17,e39106401017,e39106401,0.2
E01008886,H1971F00031929,4859A12,e39106401012,e39106401,1
E01008886,H1971F00031930,4859A13,e39106401013,e39106401,0.8333333333333334
E01008886,H1971F00031942,4859A27,e39106401027,e39106401,0.6666666666666666
E01008886,H1971F00031931,4859A14,e39106401014,e39106401,0.2727272727272727
E01008887,H1971F00031947,4859A47,e39106401047,e39106401,0.375
E01008887,H1971F00031926,4859A09,e39106401009,e39106401,0.3
E01008887,H1971F00031946,4859A48,e39106401048,e39106401,0.6666666666666666
E01008887,H1971F00031939,4859A29,e39106401029,e39106401,1
E01008887,H1971F00031943,4859A57,e39106401057,e39106401,1
E01008887,H1971F00031941,4859A28,e39106401028,e39106401,0.625
E01008887,H1971F00031940,4859A30,e39106401030,e39106401,1
E01008887,H1971F00031942,4859A27,e39106401027,e39106401,0.16666666666666666
E01008888,H1971F00031932,4859A16,e39106401016,e39106401,1
E01008888,H1971F00031938,4859A19,e39106401019,e39106401,0.5
E01008888,H1971F00036106,4871A03,e39106803003,e39106803,0.16666666666666666
E01008888,H1971F00031937,4859A18,e39106401018,e39106401,0.5714285714285714
E01008888,H1971F00031935,4859A17,e39106401017,e39106401,0.8
E01008888,H1971F00031933,4859A56,e39106401056,e39106401,1
E01008888,H1971F00036104,4871A01,e39106803001,e39106803,0.16666666666666666
E01008889,H1971F00031949,4859A43,e39106401043,e39106401,0.6875
E01008889,H1971F00031956,4859A55,e39106401055,e39106401,1
E01008889,H1971F00031955,4859A42,e39106401042,e39106401,1
E01008889,H1971F00031964,4859A40,e39106401040,e39106401,0.5
E01008889,H1971F00031957,4859A41,e39106401041,e39106401,1
E01008889,H1971F00031960,4859A32,e39106401032,e39106401,0.25
E01008889,H1971F00031963,4859A36,e39106401036,e39106401,0.14285714285714285
E01008889,H1971F00031958,4859A35,e39106401035,e39106401,0.4
E01008890,H1971F00031949,4859A43,e39106401043,e39106401,0.125
E01008890,H1971F00031946,4859A48,e39106401048,e39106401,0.3333333333333333
E01008890,H1971F00031961,4859A31,e39106401031,e39106401,0.8888888888888888
E01008890,H1971F00031962,4859A34,e39106401034,e39106401,0.9
E01008890,H1971F00031960,4859A32,e39106401032,e39106401,0.25
E01008890,H1971F00031970,4859A26,e39106401026,e39106401,0.5
E01008891,H1971F00031971,4859A21,e39106401021,e39106401,1
E01008891,H1971F00031936,4859A20,e39106401020,e39106401,0.7142857142857143
E01008891,H1971F00036107,4871A04,e39106803004,e39106803,0.2857142857142857
E01008891,H1971F00031937,4859A18,e39106401018,e39106401,0.42857142857142855
E01008891,H1971F00036112,4871A05,e39106803005,e39106803,0.2
E01008892,H1971F00031958,4859A35,e39106401035,e39106401,0.6
E01008892,H1971F00031960,4859A32,e39106401032,e39106401,0.5
E01008892,H1971F00031963,4859A36,e39106401036,e39106401,0.5714285714285714
E01008892,H1971F00031959,4859A33,e39106401033,e39106401,1
E01008892,H1971F00031961,4859A31,e39106401031,e39106401,0.1111111111111111
E01008893,H1971F00031966,4859A39,e39106401039,e39106401,0.2222222222222222
E01008893,H1971F00031965,4859A38,e39106401038,e39106401,0.3
E01008893,H1971F00031967,4859A24,e39106401024,e39106401,0.7
E01008893,H1971F00031969,4859A25,e39106401025,e39106401,1
E01008893,H1971F00031962,4859A34,e39106401034,e39106401,0.1
E01008893,H1971F00031970,4859A26,e39106401026,e39106401,0.5
E01008894,H1971F00031964,4859A40,e39106401040,e39106401,0.5
E01008894,H1971F00031966,4859A39,e39106401039,e39106401,0.7777777777777778
E01008894,H1971F00031965,4859A38,e39106401038,e39106401,0.7
E01008894,H1971F00031968,4859A23,e39106401023,e39106401,0.14285714285714285
E01008894,H1971F00031973,4859A37,e39106401037,e39106401,0.5
E01008894,H1971F00031963,4859A36,e39106401036,e39106401,0.2857142857142857
E01008895,H1971F00031967,4859A24,e39106401024,e39106401,0.3
E01008895,H1971F00031968,4859A23,e39106401023,e39106401,0.8571428571428571
E01008895,H1971F00036035,4872A16,e39106804016,e39106804,0.09090909090909091
E01008895,H1971F00031973,4859A37,e39106401037,e39106401,0.5
E01008895,H1971F00036037,4872A14,e39106804014,e39106804,0.1
E01008895,H1971F00036029,4872A17,e39106804017,e39106804,0.1
E01008895,H1971F00031972,4859A22,e39106401022,e39106401,1
E01008895,H1971F00031936,4859A20,e39106401020,e39106401,0.2857142857142857
E01008896,H1971F00033972,4847A07,e39106439007,e39106439,0.8333333333333334
E01008896,H1971F00033940,4847A48,e39106439047,e39106439,0.8
E01008896,H1971F00033943,4847A02,e39106439002,e39106439,1
E01008896,H1971F00033973,4847A08,e39106439008,e39106439,0.8
E01008896,H1971F00033970,4847A09,e39106439009,e39106439,0.14285714285714285
E01008897,H1971F00033971,4847A13,e39106439012,e39106439,0.6363636363636364
E01008897,H1971F00033970,4847A09,e39106439009,e39106439,0.8571428571428571
E01008897,H1971F00033974,4847A06,e39106439006,e39106439,0.8333333333333334
E01008897,H1971F00033973,4847A08,e39106439008,e39106439,0.2
E01008897,H1971F00033969,4847A14,e39106439013,e39106439,0.1111111111111111
E01008898,H1971F00031925,4859A08,e39106401008,e39106401,0.6666666666666666
E01008898,H1971F00033942,4847A04,e39106439004,e39106439,1
E01008898,H1971F00033941,4847A03,e39106439003,e39106439,1
E01008898,H1971F00033940,4847A48,e39106439047,e39106439,0.2
E01008899,H1971F00032022,4841A63,e39106403029,e39106403,0.6363636363636364
E01008899,H1971F00032013,4841A61,e39106403027,e39106403,0.9
E01008899,H1971F00032006,4841A57,e39106403023,e39106403,0.75
E01008899,H1971F00032009,4841A58,e39106403024,e39106403,0.2222222222222222
E01008899,H1971F00032495,4837A35,e39106411035,e39106411,1
E01008899,H1971F00032454,4837A38,e39106411038,e39106411,0.75
E01008899,H1971F00032455,4837A39,e39106411039,e39106411,0.16666666666666666
E01008899,H1971F00032456,4837A40,e39106411040,e39106411,0.2857142857142857
E01008899,H1971F00032492,4837A36,e39106411036,e39106411,1
E01008899,H1971F00032493,4837A34,e39106411034,e39106411,0.8333333333333334
E01008899,H1971F00032494,4837A33,e39106411033,e39106411,1
E01008901,H1971F00032012,4841A60,e39106403026,e39106403,0.6
E01008901,H1971F00032028,4841A41,e39106403007,e39106403,0.07142857142857142
E01008901,H1971F00032025,4841A45,e39106403011,e39106403,1
E01008901,H1971F00032024,4841A43,e39106403009,e39106403,1
E01008901,H1971F00032023,4841A44,e39106403010,e39106403,1
E01008901,H1971F00032020,4841A42,e39106403008,e39106403,1
E01008901,H1971F00032011,4841A59,e39106403025,e39106403,0.75
E01008901,H1971F00032033,4841A38,e39106403004,e39106403,1
E01008901,H1971F00032032,4841A37,e39106403003,e39106403,1
E01008901,H1971F00032030,4841A36,e39106403002,e39106403,1
E01008901,H1971F00032021,4841A35,e39106403001,e39106403,1
E01008901,H1971F00032019,4841A62,e39106403028,e39106403,1
E01008901,H1971F00032017,4841A49,e39106403015,e39106403,0.25
E01008901,H1971F00032007,4841A54,e39106403020,e39106403,0.1111111111111111
E01008901,H1971F00032013,4841A61,e39106403027,e39106403,0.1
E01008901,H1971F00032010,4841A56,e39106403022,e39106403,1
E01008901,H1971F00032022,4841A63,e39106403029,e39106403,0.36363636363636365
E01008905,H1971F00032605,4838A43,e39106413043,e39106413,0.25
E01008905,H1971F00032952,4841A03,e39106420003,e39106420,0.75
E01008905,H1971F00032607,4838A42,e39106413042,e39106413,0.2
E01008905,H1971F00032957,4841A01,e39106420001,e39106420,0.3333333333333333
E01008905,H1971F00032958,4841A02,e39106420002,e39106420,0.8
E01008905,H1971F00032951,4841A04,e39106420004,e39106420,1
E01008905,H1971F00032953,4841A06,e39106420006,e39106420,0.375
E01008905,H1971F00032961,4841A05,e39106420005,e39106420,0.16666666666666666
E01008905,H1971F00032960,4841A07,e39106420007,e39106420,0.16666666666666666
E01008905,H1971F00032624,4838A40,e39106413040,e39106413,0.14285714285714285
E01008906,H1971F00032961,4841A05,e39106420005,e39106420,0.8333333333333334
E01008906,H1971F00032960,4841A07,e39106420007,e39106420,0.8333333333333334
E01008906,H1971F00032956,4841A11,e39106420011,e39106420,0.4
E01008906,H1971F00032959,4841A08,e39106420008,e39106420,1
E01008906,H1971F00032953,4841A06,e39106420006,e39106420,0.5
E01008906,H1971F00032955,4841A10,e39106420010,e39106420,0.09090909090909091
E01008906,H1971F00032965,4841A33,e39106420032,e39106420,0.125
E01008906,H1971F00032966,4841A32,e39106420031,e39106420,1
