ED81CD,lsoa21,ED81CDO,prop_ED
H1981F00030907,E01008881,07CNAA08,0.16666666666666666
H1981F00032805,E01008881,07CNBR32,1
H1981F00032804,E01008881,07CNBR31,0.4
H1981F00032798,E01008881,07CNBR25,0.16666666666666666
H1981F00032803,E01008881,07CNBR30,0.16666666666666666
H1981F00030909,E01008881,07CNAA10,1
H1981F00030910,E01008881,07CNAA11,1
H1981F00030897,E01008881,07CNAA13,0.16666666666666666
H1981F00030901,E01008882,07CNAA02,0.42857142857142855
H1981F00030900,E01008882,07CNAA01,1
H1981F00030902,E01008882,07CNAA03,0.2857142857142857
H1981F00030906,E01008882,07CNAA07,1
H1981F00030907,E01008882,07CNAA08,0.16666666666666666
H1981F00030908,E01008883,07CNAA09,0.7
H1981F00030905,E01008883,07CNAA06,1
H1981F00030904,E01008883,07CNAA05,1
H1981F00030903,E01008883,07CNAA04,0.16666666666666666
H1981F00030919,E01008883,07CNAA23,0.16666666666666666
H1981F00030920,E01008883,07CNAA24,0.26666666666666666
H1981F00030918,E01008883,07CNAA22,0.25
H1981F00030923,E01008884,07CNAA27,0.125
H1981F00030921,E01008884,07CNAA25,0.6428571428571429
H1981F00030903,E01008884,07CNAA04,0.8333333333333334
H1981F00030920,E01008884,07CNAA24,0.6
H1981F00030901,E01008884,07CNAA02,0.5714285714285714
H1981F00030902,E01008884,07CNAA03,0.7142857142857143
H1981F00030922,E01008884,07CNAA26,1
H1981F00030898,E01008885,07CNAA14,0.7272727272727273
H1981F00030916,E01008885,07CNAA20,0.125
H1981F00030912,E01008885,07CNAA16,1
H1981F00030915,E01008885,07CNAA19,0.5
H1981F00030913,E01008885,07CNAA17,0.2
H1981F00030911,E01008886,07CNAA12,1
H1981F00030897,E01008886,07CNAA13,0.8333333333333334
H1981F00030916,E01008886,07CNAA20,0.5
H1981F00030898,E01008886,07CNAA14,0.2727272727272727
H1981F00030921,E01008887,07CNAA25,0.21428571428571427
H1981F00030908,E01008887,07CNAA09,0.3
H1981F00030920,E01008887,07CNAA24,0.13333333333333333
H1981F00030919,E01008887,07CNAA23,0.6666666666666666
H1981F00030917,E01008887,07CNAA21,1
H1981F00030918,E01008887,07CNAA22,0.75
H1981F00030916,E01008887,07CNAA20,0.375
H1981F00030899,E01008888,07CNAA15,1
H1981F00030915,E01008888,07CNAA19,0.5
H1981F00034989,E01008888,07CTAH03,0.16666666666666666
H1981F00030914,E01008888,07CNAA18,1
H1981F00030913,E01008888,07CNAA17,0.8
H1981F00034987,E01008888,07CTAH01,0.16666666666666666
H1981F00030923,E01008889,07CNAA27,0.6875
H1981F00030929,E01008889,07CNAA32,1
H1981F00030937,E01008889,07CNAA40,0.5
H1981F00030930,E01008889,07CNAA33,1
H1981F00030933,E01008889,07CNAA36,0.16666666666666666
H1981F00030936,E01008889,07CNAA39,0.14285714285714285
H1981F00030931,E01008889,07CNAA34,0.4
H1981F00030938,E01008889,07CNAA41,0.3333333333333333
H1981F00030923,E01008890,07CNAA27,0.125
H1981F00030919,E01008890,07CNAA23,0.16666666666666666
H1981F00030921,E01008890,07CNAA25,0.14285714285714285
H1981F00030934,E01008890,07CNAA37,1
H1981F00030935,E01008890,07CNAA38,0.9
H1981F00030933,E01008890,07CNAA36,0.3333333333333333
H1981F00030925,E01008890,07CNAA46,0.5
H1981F00030944,E01008891,07CNAA48,1
H1981F00030943,E01008891,07CNAA47,0.8
H1981F00034990,E01008891,07CTAH04,0.2857142857142857
H1981F00034995,E01008891,07CTAH09,0.2
H1981F00030931,E01008892,07CNAA34,0.6
H1981F00030933,E01008892,07CNAA36,0.5
H1981F00030936,E01008892,07CNAA39,0.5714285714285714
H1981F00030932,E01008892,07CNAA35,1
H1981F00030939,E01008893,07CNAA42,0.1111111111111111
H1981F00030940,E01008893,07CNAA43,0.3
H1981F00030941,E01008893,07CNAA44,0.8888888888888888
H1981F00030942,E01008893,07CNAA45,1
H1981F00030935,E01008893,07CNAA38,0.1
H1981F00030925,E01008893,07CNAA46,0.5
H1981F00030937,E01008894,07CNAA40,0.5
H1981F00030939,E01008894,07CNAA42,0.8888888888888888
H1981F00030940,E01008894,07CNAA43,0.5
H1981F00030947,E01008894,07CNAA51,0.5
H1981F00030938,E01008894,07CNAA41,0.6666666666666666
H1981F00030936,E01008894,07CNAA39,0.2857142857142857
H1981F00030941,E01008895,07CNAA44,0.1111111111111111
H1981F00030940,E01008895,07CNAA43,0.2
H1981F00030946,E01008895,07CNAA50,1
H1981F00035032,E01008895,07CTAK05,0.18181818181818182
H1981F00030947,E01008895,07CNAA51,0.5
H1981F00035028,E01008895,07CTAK01,0.09090909090909091
H1981F00030945,E01008895,07CNAA49,1
H1981F00030943,E01008895,07CNAA47,0.2
H1981F00032798,E01008896,07CNBR25,0.8333333333333334
H1981F00032799,E01008896,07CNBR26,0.8571428571428571
H1981F00032800,E01008896,07CNBR27,0.3333333333333333
H1981F00032802,E01008896,07CNBR29,0.8
H1981F00032797,E01008896,07CNBR24,0.125
H1981F00032796,E01008897,07CNBR23,0.5714285714285714
H1981F00032797,E01008897,07CNBR24,0.875
H1981F00032803,E01008897,07CNBR30,0.8333333333333334
H1981F00032802,E01008897,07CNBR29,0.2
H1981F00032804,E01008897,07CNBR31,0.6
H1981F00030907,E01008898,07CNAA08,0.6666666666666666
H1981F00032801,E01008898,07CNBR28,1
H1981F00032800,E01008898,07CNBR27,0.6666666666666666
H1981F00030979,E01008899,07CNAC14,0.4117647058823529
H1981F00030973,E01008899,07CNAC05,0.6428571428571429
H1981F00030971,E01008899,07CNAC03,0.16666666666666666
H1981F00030972,E01008899,07CNAC04,0.5
H1981F00031400,E01008899,07CNAL43,0.9375
H1981F00031357,E01008899,07CNAL01,0.75
H1981F00031358,E01008899,07CNAL02,0.16666666666666666
H1981F00031359,E01008899,07CNAL03,0.2857142857142857
H1981F00031399,E01008899,07CNAL42,1
H1981F00030973,E01008901,07CNAC05,0.21428571428571427
H1981F00030987,E01008901,07CNAC22,0.2222222222222222
H1981F00030981,E01008901,07CNAC16,1
H1981F00030980,E01008901,07CNAC15,1
H1981F00030967,E01008901,07CNAC12,1
H1981F00030968,E01008901,07CNAC11,0.8
H1981F00030988,E01008901,07CNAC23,0.5555555555555556
H1981F00030979,E01008901,07CNAC14,0.5882352941176471
H1981F00030977,E01008901,07CNAC09,0.25
H1981F00030970,E01008901,07CNAC02,0.07142857142857142
H1981F00030971,E01008901,07CNAC03,0.16666666666666666
H1981F00031504,E01008905,07CNAN43,0.2857142857142857
H1981F00031855,E01008905,07CNAW01,0.875
H1981F00031858,E01008905,07CNAW04,0.625
H1981F00031856,E01008905,07CNAW02,0.375
H1981F00031859,E01008905,07CNAW05,0.25
H1981F00031518,E01008905,07CNAN57,0.14285714285714285
H1981F00031859,E01008906,07CNAW05,0.75
H1981F00031857,E01008906,07CNAW03,0.17647058823529413
H1981F00031860,E01008906,07CNAW06,1
H1981F00031856,E01008906,07CNAW02,0.5
H1981F00031863,E01008906,07CNAW09,0.3
H1981F00032461,E01008907,07CNBJ46,0.625
H1981F00032454,E01008907,07CNBJ39,1
H1981F00032455,E01008907,07CNBJ40,1
H1981F00031502,E01008907,07CNAN41,0.1111111111111111
H1981F00031855,E01008907,07CNAW01,0.125
H1981F00032462,E01008907,07CNBJ47,0.16666666666666666
H1981F00031857,E01008909,07CNAW03,0.058823529411764705
H1981F00031861,E01008909,07CNAW07,1
H1981F00031863,E01008909,07CNAW09,0.7
H1981F00031864,E01008909,07CNAW10,0.42857142857142855
H1981F00031862,E01008909,07CNAW08,0.14285714285714285
H1981F00031865,E01008909,07CNAW11,0.1111111111111111
H1981F00030988,E01008910,07CNAC23,0.3333333333333333
H1981F00030990,E01008910,07CNAC26,1
H1981F00030989,E01008910,07CNAC25,0.7142857142857143
H1981F00031871,E01008910,07CNAW17,0.016666666666666666
H1981F00030987,E01008910,07CNAC22,0.7777777777777778
H1981F00030986,E01008910,07CNAC21,1
H1981F00030985,E01008910,07CNAC20,0.3333333333333333
H1981F00031864,E01008911,07CNAW10,0.42857142857142855
H1981F00031867,E01008911,07CNAW13,0.3
H1981F00031865,E01008911,07CNAW11,0.3333333333333333
H1981F00031868,E01008911,07CNAW14,0.25
H1981F00031869,E01008911,07CNAW15,0.2727272727272727
H1981F00031873,E01008911,07CNAW19,0.2857142857142857
H1981F00031874,E01008911,07CNAW20,0.4
H1981F00031865,E01008913,07CNAW11,0.5555555555555556
H1981F00031867,E01008913,07CNAW13,0.7
H1981F00031869,E01008913,07CNAW15,0.7272727272727273
H1981F00031870,E01008913,07CNAW16,1
H1981F00031866,E01008913,07CNAW12,0.9230769230769231
H1981F00031862,E01008913,07CNAW08,0.14285714285714285
H1981F00031871,E01008913,07CNAW17,0.08333333333333333
H1981F00031360,E01008915,07CNAL04,1
H1981F00031359,E01008915,07CNAL03,0.7142857142857143
H1981F00031358,E01008915,07CNAL02,0.8333333333333334
H1981F00031357,E01008915,07CNAL01,0.125
H1981F00030970,E01008916,07CNAC02,0.8571428571428571
H1981F00030972,E01008916,07CNAC04,0.5
H1981F00030971,E01008916,07CNAC03,0.6666666666666666
H1981F00031357,E01008916,07CNAL01,0.125
H1981F00032704,E01008917,07CNBQ12,0.16666666666666666
H1981F00032706,E01008917,07CNBQ14,0.25
H1981F00032707,E01008917,07CNBQ15,0.3333333333333333
H1981F00032694,E01008917,07CNBQ02,0.16666666666666666
H1981F00032693,E01008917,07CNBQ01,0.2727272727272727
H1981F00032704,E01008918,07CNBQ12,0.16666666666666666
H1981F00032696,E01008918,07CNBQ04,0.4444444444444444
H1981F00032702,E01008918,07CNBQ10,1
H1981F00032700,E01008918,07CNBQ08,1
H1981F00032770,E01008918,07CNBQ78,0.3
H1981F00032695,E01008918,07CNBQ03,0.14285714285714285
H1981F00032703,E01008918,07CNBQ11,0.8
H1981F00032082,E01008919,07CNBA51,0.375
H1981F00032770,E01008919,07CNBQ78,0.3
H1981F00032696,E01008919,07CNBQ04,0.4444444444444444
H1981F00032711,E01008919,07CNBQ19,0.3333333333333333
H1981F00032699,E01008919,07CNBQ07,1
H1981F00032704,E01008920,07CNBQ12,0.6666666666666666
H1981F00032709,E01008920,07CNBQ17,0.6923076923076923
H1981F00032722,E01008920,07CNBQ30,0.125
H1981F00032710,E01008920,07CNBQ18,0.5555555555555556
H1981F00032708,E01008920,07CNBQ16,0.2727272727272727
H1981F00032725,E01008920,07CNBQ33,0.125
H1981F00032694,E01008921,07CNBQ02,0.8333333333333334
H1981F00032693,E01008921,07CNBQ01,0.7272727272727273
H1981F00032769,E01008921,07CNBQ77,1
H1981F00032707,E01008923,07CNBQ15,0.6666666666666666
H1981F00032706,E01008923,07CNBQ14,0.75
H1981F00032708,E01008923,07CNBQ16,0.5454545454545454
H1981F00032705,E01008923,07CNBQ13,0.2222222222222222
H1981F00032728,E01008923,07CNBQ36,0.18181818181818182
H1981F00032726,E01008923,07CNBQ34,0.4166666666666667
H1981F00032727,E01008923,07CNBQ35,0.5454545454545454
H1981F00032736,E01008924,07CNBQ44,0.2
H1981F00032720,E01008924,07CNBQ28,1
H1981F00032712,E01008924,07CNBQ20,1
H1981F00032771,E01008924,07CNBQ79,1
H1981F00032735,E01008924,07CNBQ43,0.8
H1981F00032734,E01008924,07CNBQ42,0.125
H1981F00032711,E01008924,07CNBQ19,0.1111111111111111
H1981F00032729,E01008925,07CNBQ37,1
H1981F00032728,E01008925,07CNBQ36,0.45454545454545453
H1981F00032705,E01008925,07CNBQ13,0.7777777777777778
H1981F00032727,E01008927,07CNBQ35,0.45454545454545453
H1981F00032730,E01008927,07CNBQ38,0.625
H1981F00069599,E01008927,26JSAS01,0.6666666666666666
H1981F00032728,E01008927,07CNBQ36,0.36363636363636365
H1981F00032730,E01008928,07CNBQ38,0.375
H1981F00032731,E01008928,07CNBQ39,0.8421052631578947
H1981F00032726,E01008928,07CNBQ34,0.5833333333333334
H1981F00069599,E01008928,26JSAS01,0.3333333333333333
H1981F00032736,E01008929,07CNBQ44,0.8
H1981F00032734,E01008929,07CNBQ42,0.875
H1981F00032735,E01008929,07CNBQ43,0.2
H1981F00032733,E01008929,07CNBQ41,0.5
H1981F00032744,E01008929,07CNBQ52,0.5
H1981F00032732,E01008929,07CNBQ40,0.3333333333333333
H1981F00032732,E01008930,07CNBQ40,0.6666666666666666
H1981F00032749,E01008930,07CNBQ57,0.8823529411764706
H1981F00032746,E01008930,07CNBQ54,1
H1981F00032748,E01008930,07CNBQ56,1
H1981F00032747,E01008930,07CNBQ55,0.75
H1981F00069600,E01008930,26JSAS02,0.09523809523809523
H1981F00032696,E01008931,07CNBQ04,0.1111111111111111
H1981F00032770,E01008931,07CNBQ78,0.3
H1981F00032701,E01008931,07CNBQ09,1
H1981F00032695,E01008931,07CNBQ03,0.8571428571428571
H1981F00032703,E01008931,07CNBQ11,0.2
H1981F00030992,E01008932,07CNAD01,0.5714285714285714
H1981F00030999,E01008932,07CNAD08,0.18181818181818182
H1981F00031001,E01008932,07CNAD10,0.25
H1981F00031000,E01008932,07CNAD09,0.8
H1981F00031002,E01008932,07CNAD11,0.6
H1981F00030994,E01008932,07CNAD03,0.2727272727272727
H1981F00030993,E01008932,07CNAD02,0.6
H1981F00030992,E01008933,07CNAD01,0.42857142857142855
H1981F00030995,E01008933,07CNAD04,1
H1981F00030994,E01008933,07CNAD03,0.45454545454545453
H1981F00030997,E01008933,07CNAD06,0.2857142857142857
H1981F00030999,E01008933,07CNAD08,0.2727272727272727
H1981F00031001,E01008933,07CNAD10,0.25
H1981F00030993,E01008933,07CNAD02,0.4
H1981F00030994,E01008934,07CNAD03,0.2727272727272727
H1981F00030999,E01008934,07CNAD08,0.5454545454545454
H1981F00030998,E01008934,07CNAD07,1
H1981F00030997,E01008934,07CNAD06,0.5714285714285714
H1981F00031003,E01008934,07CNAD12,0.3333333333333333
H1981F00031005,E01008935,07CNAD14,0.7777777777777778
H1981F00031001,E01008935,07CNAD10,0.5
H1981F00031007,E01008935,07CNAD16,0.3333333333333333
H1981F00031008,E01008935,07CNAD17,0.125
H1981F00031072,E01008935,07CNAE31,1
H1981F00031000,E01008935,07CNAD09,0.2
H1981F00031071,E01008935,07CNAE30,0.3
H1981F00031070,E01008935,07CNAE29,0.25
H1981F00031068,E01008936,07CNAE27,1
H1981F00031071,E01008936,07CNAE30,0.7
H1981F00031069,E01008936,07CNAE28,1
H1981F00031070,E01008936,07CNAE29,0.75
H1981F00031003,E01008937,07CNAD12,0.6666666666666666
H1981F00031005,E01008937,07CNAD14,0.2222222222222222
H1981F00030997,E01008937,07CNAD06,0.14285714285714285
H1981F00031004,E01008937,07CNAD13,1
H1981F00031010,E01008937,07CNAD19,0.2
H1981F00031002,E01008937,07CNAD11,0.4
H1981F00031014,E01008937,07CNAD23,0.2857142857142857
H1981F00031007,E01008938,07CNAD16,0.6666666666666666
H1981F00031006,E01008938,07CNAD15,1
H1981F00031008,E01008938,07CNAD17,0.625
H1981F00031009,E01008938,07CNAD18,0.2222222222222222
H1981F00031010,E01008938,07CNAD19,0.2
H1981F00031009,E01008939,07CNAD18,0.7777777777777778
H1981F00031008,E01008939,07CNAD17,0.25
H1981F00031010,E01008939,07CNAD19,0.6
H1981F00031040,E01008939,07CNAD50,0.2
H1981F00031011,E01008939,07CNAD20,0.2
H1981F00031012,E01008939,07CNAD21,0.42857142857142855
H1981F00031016,E01008939,07CNAD25,0.2
H1981F00031017,E01008939,07CNAD26,0.6
H1981F00031018,E01008940,07CNAD27,1
H1981F00031014,E01008940,07CNAD23,0.7142857142857143
H1981F00031020,E01008940,07CNAD29,0.16666666666666666
H1981F00031021,E01008940,07CNAD30,0.06666666666666667
H1981F00031019,E01008940,07CNAD28,0.8571428571428571
H1981F00031013,E01008940,07CNAD22,0.15384615384615385
H1981F00031012,E01008941,07CNAD21,0.5714285714285714
H1981F00031016,E01008941,07CNAD25,0.8
H1981F00031015,E01008941,07CNAD24,1
H1981F00031025,E01008942,07CNAD35,0.6923076923076923
H1981F00031024,E01008942,07CNAD34,0.2222222222222222
H1981F00031029,E01008942,07CNAD39,0.8333333333333334
H1981F00031028,E01008942,07CNAD38,0.5555555555555556
H1981F00031032,E01008942,07CNAD42,0.1111111111111111
H1981F00031040,E01008943,07CNAD50,0.2
H1981F00031011,E01008943,07CNAD20,0.8
H1981F00031026,E01008943,07CNAD36,1
H1981F00031027,E01008943,07CNAD37,1
H1981F00031025,E01008943,07CNAD35,0.3076923076923077
H1981F00031028,E01008943,07CNAD38,0.3333333333333333
H1981F00031021,E01008944,07CNAD30,0.9333333333333333
H1981F00031019,E01008944,07CNAD28,0.14285714285714285
