lsoa21,oa01,prop_oa01
E01008881,E00045116,1
E01008881,E00045118,1
E01008881,E00045110,1
E01008881,E00045113,1
E01008881,E00045123,1
E01008882,E00045124,1
E01008882,E00045121,1
E01008882,E00045120,1
E01008882,E00045114,1
E01008882,E00045119,1
E01008883,E00045128,1
E01008883,E00045122,1
E01008883,E00045126,1
E01008883,E00045127,1
E01008883,E00045136,1
E01008884,E00045134,1
E01008884,E00045131,1
E01008884,E00045129,1
E01008884,E00045125,1
E01008884,E00045135,1
E01008885,E00045137,1
E01008885,E00045143,1
E01008885,E00045149,1
E01008885,E00045146,1
E01008886,E00045144,1
E01008886,E00045141,1
E01008886,E00045132,1
E01008886,E00045139,1
E01008886,E00045133,1
E01008886,E00045130,1
E01008887,E00045147,1
E01008887,E00045138,1
E01008887,E00045140,1
E01008887,E00045152,1
E01008887,E00045142,1
E01008888,E00045151,1
E01008888,E00045157,1
E01008888,E00045155,1
E01008888,E00045150,1
E01008888,E00045156,1
E01008889,E00045162,1
E01008889,E00045145,1
E01008889,E00045085,1
E01008889,E00045080,1
E01008889,E00045081,1
E01008890,E00045153,1
E01008890,E00045154,1
E01008890,E00045086,1
E01008890,E00045158,1
E01008890,E00045148,1
E01008891,E00045159,1
E01008891,E00045164,1
E01008891,E00045077,1
E01008891,E00045088,1
E01008891,E00045083,1
E01008892,E00045160,1
E01008892,E00045161,1
E01008892,E00045165,1
E01008892,E00045082,1
E01008893,E00045092,1
E01008893,E00045087,1
E01008893,E00045084,1
E01008893,E00045163,1
E01008893,E00045078,1
E01008894,E00045091,1
E01008894,E00045079,1
E01008894,E00045093,1
E01008894,E00045090,1
E01008894,E00045096,1
E01008895,E00045094,1
E01008895,E00045089,1
E01008895,E00045095,1
E01008895,E00045098,1
E01008895,E00045097,1
E01008896,E00045109,1
E01008896,E00045101,1
E01008896,E00045106,1
E01008896,E00045099,1
E01008896,E00045105,1
E01008897,E00045103,1
E01008897,E00045100,1
E01008897,E00045107,1
E01008897,E00045112,1
E01008897,E00045102,1
E01008898,E00045117,1
E01008898,E00045115,1
E01008898,E00045104,1
E01008898,E00045111,1
E01008898,E00045108,1
E01008899,E00045230,1
E01008899,E00045223,1
E01008899,E00045214,1
E01008899,E00045233,1
E01008899,E00045229,1
E01008901,E00045236,1
E01008901,E00045222,1
E01008901,E00045238,1
E01008901,E00045234,1
E01008901,E00045174,1
E01008905,E00045241,1
E01008905,E00045178,1
E01008905,E00045176,1
E01008905,E00045168,1
E01008906,E00045187,1
E01008906,E00045183,1
E01008906,E00045186,1
E01008906,E00045247,1
E01008906,E00045180,1
E01008907,E00045189,1
E01008907,E00045166,1
E01008907,E00045167,1
E01008907,E00045242,1
E01008907,E00045184,1
E01008909,E00045197,1
E01008909,E00045177,1
E01008909,E00045169,1
E01008909,E00045193,1
E01008910,E00045170,1
E01008910,E00045195,1
E01008910,E00045192,1
E01008910,E00045179,1
E01008910,E00045243,1
E01008911,E00045196,1
E01008911,E00045199,1
E01008911,E00045171,1
E01008911,E00045204,1
E01008913,E00045194,1
E01008913,E00045200,1
E01008913,E00045202,1
E01008913,E00045207,1
E01008913,E00045188,1
E01008915,E00045213,1
E01008915,E00045215,1
E01008915,E00045216,1
E01008915,E00045218,1
E01008916,E00045217,1
E01008916,E00045219,1
E01008916,E00045221,1
E01008916,E00045220,1
E01008917,E00045255,1
E01008917,E00045258,1
E01008917,E00045297,1
E01008917,E00045287,1
E01008918,E00045292,1
E01008918,E00045288,1
E01008918,E00045284,1
E01008918,E00045254,1
E01008918,E00045289,1
E01008918,E00045285,1
E01008919,E00045278,1
E01008919,E00045286,1
E01008919,E00045279,1
E01008919,E00045293,1
E01008919,E00045295,1
E01008920,E00045303,1
E01008920,E00045296,1
E01008920,E00045298,1
E01008920,E00045301,1
E01008921,E00045275,1
E01008921,E00045282,1
E01008921,E00045253,1
E01008921,E00045290,1
E01008921,E00045256,1
E01008923,E00045300,1
E01008923,E00045307,1
E01008923,E00045259,1
E01008923,E00045321,1
E01008923,E00045322,1
E01008924,E00045260,1
E01008924,E00045294,1
E01008924,E00045313,1
E01008924,E00045309,1
E01008924,E00045299,1
E01008925,E00045312,1
E01008925,E00045257,1
E01008925,E00045306,1
E01008925,E00045305,1
E01008927,E00045315,1
E01008927,E00045261,1
E01008927,E00045320,1
E01008927,E00045266,1
E01008927,E00045318,1
E01008928,E00045252,1
E01008928,E00045324,1
E01008928,E00045323,1
E01008928,E00045262,1
E01008928,E00045264,1
E01008929,E00045251,1
E01008929,E00045249,1
E01008929,E00045250,1
E01008929,E00045325,1
E01008929,E00045263,1
E01008929,E00045267,1
E01008930,E00045270,1
E01008930,E00045268,1
E01008930,E00045271,1
E01008930,E00045272,1
E01008930,E00045273,1
E01008930,E00045274,1
E01008930,E00045269,1
E01008931,E00045276,1
E01008931,E00045283,1
E01008931,E00045281,1
E01008931,E00045277,1
E01008931,E00045280,1
E01008932,E00045380,1
E01008932,E00045376,1
E01008932,E00045381,1
E01008932,E00045385,1
E01008932,E00045379,1
E01008933,E00045375,1
E01008933,E00045374,1
E01008933,E00045377,1
E01008933,E00045383,1
E01008934,E00045378,1
E01008934,E00045382,1
E01008934,E00045326,1
E01008934,E00045390,1
E01008934,E00045327,1
E01008935,E00045394,1
E01008935,E00045388,1
E01008935,E00045399,1
E01008935,E00045392,1
E01008935,E00045398,1
E01008936,E00045387,1
E01008936,E00045391,1
E01008936,E00045386,1
E01008936,E00045384,1
E01008936,E00045389,1
E01008937,E00045328,1
E01008937,E00045396,1
E01008937,E00045393,1
E01008937,E00045402,1
E01008937,E00045404,1
E01008938,E00045395,1
E01008938,E00045397,1
E01008938,E00045400,1
E01008938,E00045329,1
E01008938,E00045401,1
E01008939,E00045406,1
E01008939,E00045403,1
E01008939,E00045405,1
E01008939,E00045334,1
E01008939,E00045411,1
E01008940,E00045337,1
E01008940,E00045339,1
E01008940,E00045338,1
E01008940,E00045340,1
E01008940,E00045409,1
E01008941,E00045407,1
E01008941,E00045408,1
E01008941,E00045410,1
E01008941,E00045330,1
E01008941,E00045412,1
E01008942,E00045341,1
E01008942,E00045346,1
E01008942,E00045357,1
E01008942,E00045355,1
E01008942,E00045331,1
E01008943,E00045333,1
E01008943,E00045351,1
E01008943,E00045345,1
E01008943,E00045348,1
E01008944,E00045343,1
E01008944,E00045335,1
E01008944,E00045332,1
E01008944,E00045349,1
E01008944,E00045347,1
E01008944,E00045344,1
E01008945,E00045336,1
E01008945,E00045342,1
E01008945,E00045350,1
E01008945,E00045356,1
E01008945,E00045352,1
E01008946,E00045354,1
E01008946,E00045362,1
E01008946,E00045363,1
E01008946,E00045367,1
E01008946,E00045366,1
E01008947,E00045364,1
E01008947,E00045353,1
E01008947,E00045359,1
E01008947,E00045360,1
E01008948,E00045371,1
E01008948,E00045358,1
E01008948,E00045361,1
E01008948,E00045365,1
E01008948,E00045370,1
E01008949,E00045368,1
E01008949,E00045372,1
E01008949,E00045373,1
E01008949,E00045369,1
E01008950,E00045479,1
E01008950,E00045489,1
E01008950,E00045472,1
E01008950,E00045476,1
E01008950,E00045485,1
E01008950,E00045490,1
E01008951,E00045474,1
E01008951,E00045482,1
E01008951,E00045477,1
E01008951,E00045494,1
E01008951,E00045493,1
E01008952,E00045481,1
E01008952,E00045492,1
E01008952,E00045469,1
E01008952,E00045478,1
E01008952,E00045475,1
E01008952,E00045415,1
E01008953,E00045491,1
E01008953,E00045416,1
E01008953,E00045486,1
E01008953,E00045483,1
E01008953,E00045496,1
E01008954,E00045430,1
E01008954,E00045487,1
E01008954,E00045424,1
E01008954,E00045425,1
E01008954,E00045495,1
E01008955,E00045428,1
E01008955,E00045473,1
E01008955,E00045488,1
E01008955,E00045484,1
E01008955,E00045470,1
E01008956,E00045423,1
E01008956,E00045418,1
E01008956,E00045417,1
E01008956,E00045497,1
E01008956,E00045431,1
E01008957,E00045434,1
E01008957,E00045429,1
E01008957,E00045445,1
E01008957,E00045420,1
E01008957,E00045427,1
E01008958,E00045432,1
E01008958,E00045426,1
E01008958,E00045437,1
E01008958,E00045436,1
E01008958,E00045435,1
E01008958,E00045419,1
E01008959,E00045447,1
E01008959,E00045452,1
E01008959,E00045446,1
E01008959,E00045438,1
E01008959,E00045440,1
E01008959,E00045433,1
E01008960,E00045444,1
E01008960,E00045442,1
E01008960,E00045441,1
E01008960,E00045422,1
E01008960,E00045439,1
E01008961,E00045448,1
E01008961,E00045450,1
E01008961,E00045451,1
E01008961,E00045449,1
E01008961,E00045443,1
E01008962,E00045453,1
E01008962,E00045454,1
E01008962,E00045455,1
E01008962,E00045457,1
E01008962,E00045458,1
E01008962,E00045456,1
E01008963,E00045460,1
E01008963,E00045464,1
E01008963,E00045467,1
E01008963,E00045463,1
E01008963,E00045414,1
E01008964,E00045421,1
E01008964,E00045413,1
E01008964,E00045459,1
E01008964,E00045462,1
E01008964,E00045461,1
E01008965,E00045471,1
E01008965,E00045466,1
E01008965,E00045468,1
E01008965,E00045465,1
E01008965,E00045480,1
E01008966,E00045534,1
E01008966,E00045527,1
E01008966,E00045538,1
E01008966,E00045528,1
E01008966,E00045525,1
E01008967,E00045523,1
E01008967,E00045548,1
E01008967,E00045536,1
E01008967,E00045535,1
E01008967,E00045506,1
E01008968,E00045526,1
E01008968,E00045537,1
E01008968,E00045531,1
E01008968,E00045498,1
E01008968,E00045530,1
E01008969,E00045541,1
E01008969,E00045556,1
E01008969,E00045547,1
E01008969,E00045546,1
E01008969,E00045552,1
E01008969,E00045550,1
E01008970,E00045532,1
E01008970,E00045543,1
E01008970,E00045544,1
E01008970,E00045551,1
E01008970,E00045533,1
E01008971,E00045542,1
E01008971,E00045540,1
E01008971,E00045549,1
E01008971,E00045555,1
E01008971,E00045559,1
E01008972,E00045562,1
E01008972,E00045539,1
E01008972,E00045554,1
E01008972,E00045553,1
E01008972,E00045545,1
E01008973,E00045565,1
E01008973,E00045563,1
E01008973,E00045558,1
E01008973,E00045564,1
E01008973,E00045499,1
E01008973,E00045560,1
E01008974,E00045567,1
E01008974,E00045561,1
E01008974,E00045566,1
E01008974,E00045568,1
E01008974,E00045557,1
E01008975,E00045574,1
E01008975,E00045575,1
E01008975,E00045578,1
E01008975,E00045570,1
E01008975,E00045573,1
E01008976,E00045569,1
E01008976,E00045577,1
E01008976,E00045571,1
E01008976,E00045581,1
E01008976,E00045579,1
E01008976,E00045502,1
E01008977,E00045572,1
E01008977,E00045580,1
E01008977,E00045576,1
E01008977,E00045501,1
E01008977,E00045500,1
E01008978,E00045509,1
E01008978,E00045510,1
E01008978,E00045515,1
E01008978,E00045517,1
E01008978,E00045514,1
E01008978,E00045513,1
E01008979,E00045519,1
E01008979,E00045516,1
E01008979,E00045508,1
E01008979,E00045511,1
E01008979,E00045503,1
E01008979,E00045582,1
E01008980,E00045507,1
E01008980,E00045518,1
E01008980,E00045505,1
E01008980,E00045512,1
E01008980,E00045504,1
E01008981,E00045522,1
E01008981,E00045524,1
E01008981,E00045529,1
E01008981,E00045521,1
E01008981,E00045520,1
E01008982,E00045651,1
E01008982,E00045655,1
E01008982,E00045656,1
E01008982,E00045590,1
E01008984,E00045643,1
E01008984,E00045644,1
E01008984,E00045647,1
E01008984,E00045649,1
E01008984,E00045652,1
E01008984,E00045654,1
E01008986,E00045592,1
E01008986,E00045658,1
E01008986,E00045659,1
E01008986,E00045599,1
E01008986,E00045603,1
E01008987,E00045583,1
E01008987,E00045593,1
E01008987,E00045594,1
E01008987,E00045661,1
E01008987,E00045660,1
E01008988,E00045610,1
E01008988,E00045602,1
E01008988,E00045596,1
E01008988,E00045595,1
E01008988,E00045600,1
E01008988,E00045597,1
E01008989,E00045608,1
E01008989,E00045604,1
E01008989,E00045606,1
E01008989,E00045601,1
E01008989,E00045605,1
E01008989,E00045598,1
E01008990,E00045609,1
E01008990,E00045612,1
E01008990,E00045628,1
E01008990,E00045621,1
E01008991,E00045613,1
E01008991,E00045584,1
E01008991,E00045616,1
E01008991,E00045615,1
E01008991,E00045627,1
E01008992,E00045642,1
E01008992,E00045622,1
E01008992,E00045645,1
E01008992,E00045629,1
E01008994,E00045607,1
E01008994,E00045614,1
E01008994,E00045620,1
E01008994,E00045586,1
E01008994,E00045632,1
E01008994,E00045611,1
E01008995,E00045623,1
E01008995,E00045618,1
E01008995,E00045626,1
E01008995,E00045625,1
E01008995,E00045633,1
E01008995,E00045638,1
E01008996,E00045630,1
E01008996,E00045639,1
E01008996,E00045640,1
E01008996,E00045635,1
E01008996,E00045588,1
E01008997,E00045641,1
E01008997,E00045637,1
E01008997,E00045589,1
E01008997,E00045636,1
E01008997,E00045631,1
E01008998,E00045712,1
E01008998,E00045662,1
E01008998,E00045671,1
E01008998,E00045713,1
E01008998,E00045708,1
E01008999,E00045705,1
E01008999,E00045711,1
E01008999,E00045670,1
E01008999,E00045710,1
E01009000,E00045669,1
E01009000,E00045704,1
E01009000,E00045709,1
E01009000,E00045668,1
E01009000,E00045707,1
E01009001,E00045714,1
E01009001,E00045717,1
E01009001,E00045663,1
E01009001,E00045715,1
E01009001,E00045721,1
E01009002,E00045718,1
E01009002,E00045719,1
E01009002,E00045727,1
E01009002,E00045730,1
E01009002,E00045716,1
